Date,rate_DELL_5D,rate_VOO_20D
2016-08,0.0,-0.4305
2016-09,9.3377,-1.1627
2016-10,8.8207,-3.5947
2016-11,16.5338,-0.0307
2016-12,16.7608,1.5718
2017-01,33.7765,3.4628
2017-02,29.0506,6.8614
2017-03,25.8565,5.9098
2017-04,28.3999,6.1911
2017-05,29.3595,6.9023
2017-06,11.308,6.738
2017-07,16.0462,8.2574
2017-08,33.6389,7.7607
2017-09,35.0171,9.3129
2017-10,41.9443,11.165
2017-11,31.5337,13.8898
2017-12,34.4222,14.5122
2018-01,18.5933,21.243
2018-02,21.8378,15.3534
2018-03,18.7666,11.5114
2018-04,15.4834,11.2995
2018-05,28.918,13.43
2018-06,33.4698,13.5507
2018-07,43.8933,17.0838
2018-08,47.5524,20.2165
2018-09,49.0095,20.944
2018-10,36.7808,11.3529
2018-11,57.8209,12.9511
2018-12,30.1845,1.7871
2019-01,29.4389,10.3355
2019-02,47.3327,13.584
2019-03,53.0547,15.2607
2019-04,73.5563,19.4744
2019-05,51.1007,10.8035
2019-06,27.6647,18.5173
2019-07,44.0515,19.6448
2019-08,27.3578,16.9325
2019-09,28.1733,19.3709
2019-10,29.8714,21.48
2019-11,18.2549,25.3854
2019-12,24.8215,28.534
2020-01,18.4585,28.4841
2020-02,-2.168,16.7547
2020-03,-4.4405,0.9197
2020-04,3.4496,14.6342
2020-05,20.3646,19.9225
2020-06,32.6649,21.6449
2020-07,43.6413,28.5216
2020-08,57.4789,37.1603
2020-09,59.9549,30.903
2020-10,41.2098,26.6729
2020-11,60.72,40.5035
2020-12,69.2054,45.0547
2021-01,68.2823,43.5142
2021-02,85.5363,46.6697
2021-03,99.7757,52.6194
2021-04,120.5862,59.8974
2021-05,118.9109,59.8367
2021-06,118.7975,62.4276
2021-07,109.9386,65.3548
2021-08,109.7069,69.2013
2021-09,121.7356,59.821
2021-10,132.0756,70.3645
2021-11,132.7029,67.8611
2021-12,129.2064,74.6062
2022-01,129.5691,63.9214
2022-02,103.9417,57.8093
2022-03,99.2089,63.0624
2022-04,86.425,47.2366
2022-05,96.5386,46.8426
2022-06,80.4424,33.4995
2022-07,76.1434,45.7187
2022-08,48.6743,38.7403
2022-09,32.0456,24.8058
2022-10,49.0419,34.9537
2022-11,72.9363,42.1677
2022-12,54.3481,33.0472
2023-01,57.1492,41.7724
2023-02,56.3695,37.435
2023-03,53.9406,42.167
2023-04,67.0699,43.8928
2023-05,71.1704,43.9833
2023-06,105.5109,53.0933
2023-07,101.0121,57.589
2023-08,112.1894,54.1622
2023-09,157.9081,45.8341
2023-10,149.909,41.9224
2023-11,181.1531,54.9068
2023-12,181.2947,61.5484
2024-01,206.1114,64.2368
2024-02,246.6267,72.2568
2024-03,313.8963,77.1993
2024-04,349.5327,68.9436
2024-05,398.8703,76.8905
2024-06,388.4461,82.4929
2024-07,300.497,83.7095
2024-08,303.6973,87.2914
2024-09,314.1769,91.5025
2024-10,329.8689,88.6212
2024-11,339.6902,99.051
2024-12,293.7737,93.1967
2025-01,255.5261,98.5602
2025-02,249.9666,94.9179
2025-03,208.1143,82.6811
2025-04,209.6937,80.2544
2025-05,272.8354,91.0668
2025-06,307.6904,100.2777
2025-07,339.5391,103.9497
2025-08,301.5336,107.243
2025-09,366.0194,114.8174
2025-10,429.9675,118.9245
2025-11,332.7124,118.2318
2025-12,305.371,117.2486
2026-01,270.2269,120.4806
2026-02,53.5761,118.5277
