Date,rate_MDB_5D,rate_VOO_20D
2017-10,0.0,0.0
2017-11,-7.582,3.3411
2017-12,-0.3455,3.9802
2018-01,-8.869,9.8142
2018-02,10.0001,4.0085
2018-03,45.2685,0.2205
2018-04,15.1954,-0.0473
2018-05,48.0654,2.1369
2018-06,50.4229,2.309
2018-07,58.4622,5.9041
2018-08,103.6174,9.1177
2018-09,120.8761,9.0026
2018-10,111.7171,-0.4738
2018-11,107.278,1.1875
2018-12,102.1478,-9.8711
2019-01,115.8588,-1.5506
2019-02,129.8046,1.7719
2019-03,221.9554,3.5277
2019-04,197.4026,7.8291
2019-05,186.6409,-0.7455
2019-06,200.9735,7.0289
2019-07,174.9646,8.2283
2019-08,184.2988,5.5704
2019-09,118.9281,7.4698
2019-10,127.1181,9.659
2019-11,158.5243,13.6534
2019-12,123.6631,16.8764
2020-01,173.0028,16.0997
2020-02,148.4665,4.5789
2020-03,118.0882,-11.0943
2020-04,154.6658,2.5464
2020-05,257.781,7.9052
2020-06,241.2036,9.7045
2020-07,238.1184,16.6604
2020-08,238.1383,25.4056
2020-09,228.0912,19.2418
2020-10,217.6574,15.0912
2020-11,292.138,29.0376
2020-12,380.778,33.6945
2021-01,385.1059,31.2932
2021-02,396.6515,34.5732
2021-03,237.6062,41.7327
2021-04,269.1442,49.1578
2021-05,256.3032,49.2246
2021-06,334.1227,51.9636
2021-07,323.8133,55.0385
2021-08,355.0858,59.0466
2021-09,438.6458,49.7057
2021-10,485.5572,60.4468
2021-11,450.3364,58.0227
2021-12,475.6141,64.932
2022-01,333.6263,54.2581
2022-02,302.9676,48.1459
2022-03,361.3534,53.5271
2022-04,263.9884,37.5501
2022-05,140.2322,37.2211
2022-06,160.12,23.728
2022-07,209.7324,36.179
2022-08,216.3106,29.1436
2022-09,92.8153,15.0317
2022-10,76.3493,25.4102
2022-11,46.1609,32.7707
2022-12,87.3028,23.5155
2023-01,102.3316,31.9107
2023-02,96.2845,27.5651
2023-03,116.7416,33.5865
2023-04,121.2982,35.3963
2023-05,168.8572,35.5275
2023-06,272.5688,44.8759
2023-07,279.791,49.522
2023-08,238.4886,46.0596
2023-09,204.0359,37.5914
2023-10,200.1361,33.6165
2023-11,258.797,46.9268
2023-12,249.4151,53.7758
2024-01,239.0854,55.7854
2024-02,275.3788,64.0455
2024-03,198.1014,70.356
2024-04,200.9844,61.933
2024-05,93.0472,70.1613
2024-06,103.1898,77.3693
2024-07,103.8167,78.6862
2024-08,133.4808,82.4559
2024-09,115.6129,87.1036
2024-10,114.3521,84.1929
2024-11,154.0213,95.1077
2024-12,82.1563,89.1091
2025-01,112.7101,93.6874
2025-02,106.8904,89.9999
2025-03,35.0443,77.4117
2025-04,32.1721,74.9637
2025-05,44.5529,86.2282
2025-06,60.2053,95.8503
2025-07,80.7443,99.7342
2025-08,138.7232,103.2237
2025-09,133.3503,110.0042
2025-10,168.8427,114.349
2025-11,146.7563,113.7368
2025-12,209.672,112.8184
2026-01,172.1759,115.0664
2026-02,139.2809,112.1102
2026-03,77.356,98.9376
2026-04,80.9527,120.7141
2026-05,140.896,132.1652
2026-06,139.6735,127.851
2026-07,139.4087,126.6415
2026-08,219.7703,131.9896
2026-09,204.359,129.1958
