Date,rate_STLD_5D,rate_VOO_20D
2016-01,12.6295,1.4254
2016-02,2.028,0.6142
2016-03,19.3911,6.1243
2016-04,26.7107,4.6014
2016-05,19.3202,5.2878
2016-06,15.8374,4.687
2016-07,24.0647,7.7174
2016-08,12.0986,6.8637
2016-09,13.0077,5.9421
2016-10,22.7386,3.4868
2016-11,56.1149,6.843
2016-12,51.8097,8.2789
2017-01,39.9461,9.3935
2017-02,47.8308,12.821
2017-03,38.1695,12.0413
2017-04,41.1675,12.4367
2017-05,30.5547,13.2406
2017-06,36.2932,14.1802
2017-07,32.8766,15.6892
2017-08,27.5959,15.2834
2017-09,26.8724,16.8657
2017-10,35.6289,18.7799
2017-11,38.6632,21.509
2017-12,54.1025,22.1709
2018-01,59.6964,27.9258
2018-02,54.0063,22.2578
2018-03,46.0962,18.4465
2018-04,46.4036,18.162
2018-05,59.5978,20.337
2018-06,47.3365,20.5057
2018-07,49.3104,24.0401
2018-08,43.7232,27.2093
2018-09,41.2992,27.1082
2018-10,21.0245,17.9327
2018-11,6.1235,19.5577
2018-12,-7.6399,8.5722
2019-01,12.7467,16.8959
2019-02,14.6324,20.2219
2019-03,5.548,21.9603
2019-04,-5.3473,26.2654
2019-05,-24.8388,20.4953
2019-06,-8.4255,25.3574
2019-07,-4.2814,26.514
2019-08,-12.5812,24.0717
2019-09,-3.1681,25.9454
2019-10,-2.6788,27.4086
2019-11,8.0923,31.384
2019-12,9.6814,34.5804
2020-01,-3.8373,33.8021
2020-02,-14.2182,22.3336
2020-03,-9.8496,15.1867
2020-04,-7.6323,29.6272
2020-05,-5.4778,28.2305
2020-06,-8.03,28.0341
2020-07,-2.8168,33.4885
2020-08,4.7751,42.106
2020-09,-2.0546,38.2475
2020-10,2.3423,34.0563
2020-11,12.1031,42.9575
2020-12,13.7566,47.5016
2021-01,14.558,45.1166
2021-02,29.3222,43.0879
2021-03,51.1095,49.8512
2021-04,60.5458,56.911
2021-05,85.4186,54.6413
2021-06,71.7477,57.2758
2021-07,77.4896,60.2291
2021-08,84.6729,64.0213
2021-09,59.7746,55.5224
2021-10,79.5716,65.5435
2021-11,68.4089,65.5034
2021-12,72.8533,68.4598
2022-01,62.0173,58.7763
2022-02,101.9644,53.2596
2022-03,113.0147,58.2953
2022-04,111.8948,52.2757
2022-05,130.0288,51.0659
2022-06,82.2252,38.0304
2022-07,113.3485,50.1558
2022-08,119.6685,43.3725
2022-09,95.0432,29.6913
2022-10,144.999,39.7003
2022-11,139.8166,46.8631
2022-12,124.1506,40.5677
2023-01,164.1244,48.7988
2023-02,165.5829,45.5387
2023-03,145.134,49.6635
2023-04,118.613,48.4614
2023-05,92.1565,48.1923
2023-06,127.3531,57.2072
2023-07,118.8159,61.7125
2023-08,110.3791,59.5229
2023-09,111.25,51.3631
2023-10,110.2879,47.5518
2023-11,133.5756,60.474
2023-12,130.9988,67.125
2024-01,134.7238,69.1001
2024-02,158.7421,77.1309
2024-03,173.7771,83.2841
2024-04,160.6052,75.177
2024-05,158.8314,83.1784
2024-06,151.5334,90.182
2024-07,146.8321,90.9416
2024-08,122.7113,97.1965
2024-09,134.5734,98.31
2024-10,138.7596,95.5089
2024-11,129.4465,105.9957
2024-12,111.666,100.2436
2025-01,137.6825,104.6582
2025-02,146.7722,101.1287
2025-03,139.189,89.045
2025-04,150.0485,88.6819
2025-05,135.9694,99.6712
2025-06,141.7186,109.046
2025-07,138.648,112.823
2025-08,145.3274,112.1707
2025-09,160.8825,118.6779
2025-10,191.8255,122.8639
2025-11,210.6275,122.3204
2025-12,212.7741,121.4705
2026-01,230.4878,123.6468
2026-02,253.4034,120.852
