Date,rate_PH_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.3151,-1.8027
2016-03,12.2975,4.5695
2016-04,13.8721,3.6217
2016-05,11.7658,4.6859
2016-06,3.2579,4.2011
2016-07,8.4155,7.3141
2016-08,15.8781,6.5393
2016-09,16.851,5.8417
2016-10,12.6357,3.4057
2016-11,26.7302,7.0013
2016-12,25.1526,8.6582
2017-01,29.4701,9.9058
2017-02,34.6828,13.4199
2017-03,36.8665,12.5861
2017-04,34.9633,12.9516
2017-05,30.7739,13.7442
2017-06,30.9079,14.6714
2017-07,34.2416,16.2352
2017-08,29.0514,15.7466
2017-09,38.772,17.3266
2017-10,42.9432,19.2474
2017-11,45.3532,22.0133
2017-12,52.6925,22.6523
2018-01,51.9683,28.4864
2018-02,33.5764,22.6807
2018-03,26.851,18.8927
2018-04,21.1994,18.6249
2018-05,25.5212,20.8091
2018-06,13.6911,20.9812
2018-07,22.8297,24.5763
2018-08,27.4567,27.7899
2018-09,32.6068,27.6747
2018-10,8.5458,18.1983
2018-11,23.2302,19.8597
2018-12,6.2999,8.8011
2019-01,17.2678,17.1215
2019-02,25.3926,20.4441
2019-03,21.5416,22.1999
2019-04,27.5548,26.5012
2019-05,7.3824,17.9266
2019-06,19.6311,25.7011
2019-07,22.7239,26.9004
2019-08,16.3702,24.2426
2019-09,26.3606,26.142
2019-10,27.8545,28.3311
2019-11,38.3181,32.3256
2019-12,42.3671,35.5485
2020-01,34.5561,34.7719
2020-02,27.0177,23.2511
2020-03,-11.0695,7.5779
2020-04,8.8702,21.2186
2020-05,24.38,26.5774
2020-06,26.1564,28.3766
2020-07,22.7315,35.3325
2020-08,41.4049,44.0777
2020-09,38.1191,37.914
2020-10,41.5548,33.7633
2020-11,81.1765,47.7098
2020-12,83.2562,52.3667
2021-01,76.6869,49.9654
2021-02,90.7947,53.2453
2021-03,108.0224,60.4049
2021-04,105.2729,67.83
2021-05,100.6545,67.8968
2021-06,98.4187,70.6358
2021-07,100.1004,73.7106
2021-08,89.5246,77.7187
2021-09,77.4478,68.3779
2021-10,86.9632,79.119
2021-11,89.7854,76.6949
2021-12,98.6151,83.6042
2022-01,92.2427,72.9303
2022-02,83.2258,66.8181
2022-03,74.4276,72.1992
2022-04,65.5561,56.2223
2022-05,66.3334,55.8933
2022-06,49.6409,42.4002
2022-07,75.0351,54.8512
2022-08,62.0189,47.8158
2022-09,47.4327,33.7039
2022-10,76.0759,44.0824
2022-11,80.9671,51.4429
2022-12,75.239,42.1877
2023-01,95.2716,50.5828
2023-02,110.3043,46.2373
2023-03,99.6915,52.2586
2023-04,91.9354,54.0684
2023-05,89.1579,54.1996
2023-06,128.9612,63.548
2023-07,139.1751,68.1942
2023-08,144.2125,64.7317
2023-09,126.7198,56.2636
2023-10,113.4659,52.2886
2023-11,151.7566,65.5989
2023-12,165.9963,72.448
2024-01,166.4632,74.4576
2024-02,205.9325,82.7177
2024-03,215.3706,89.0282
2024-04,207.1009,80.6052
2024-05,198.4755,88.8335
2024-06,182.2121,96.0415
2024-07,211.0829,97.3583
2024-08,231.4729,101.128
2024-09,246.5833,105.7758
2024-10,245.4847,102.865
2024-11,283.0125,113.7798
2024-12,244.2296,107.7813
2025-01,280.1055,112.3595
2025-02,259.6018,108.6721
2025-03,224.8537,96.0839
2025-04,221.3649,93.6359
2025-05,253.701,104.9003
2025-06,269.3058,114.5225
2025-07,284.5133,118.4064
2025-08,296.3945,121.8959
2025-09,294.1722,128.6764
2025-10,299.2619,133.0211
2025-11,345.0705,132.409
2025-12,351.0612,131.4906
2026-01,377.117,133.7386
2026-02,413.8477,130.7823
2026-03,375.7388,126.4154
