Date,rate_CDNS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.9173,-3.7423
2016-03,9.6155,0.3764
2016-04,14.463,5.1946
2016-05,8.7127,3.5695
2016-06,14.0987,4.8356
2016-07,10.1064,4.3651
2016-08,7.6234,7.2005
2016-09,12.6644,6.5176
2016-10,11.3333,5.8316
2016-11,8.593,2.6321
2016-12,7.8885,6.5262
2017-01,7.3931,8.6002
2017-02,9.358,9.8701
2017-03,31.7911,14.9815
2017-04,30.0377,12.5254
2017-05,33.5007,13.1716
2017-06,40.6517,14.581
2017-07,32.493,14.626
2017-08,43.3906,16.4591
2017-09,48.7922,15.9061
2017-10,49.4168,17.2911
2017-11,60.3651,19.4181
2017-12,60.3401,21.7575
2018-01,50.9631,22.6249
2018-02,50.3805,28.3844
2018-03,34.3789,21.0506
2018-04,28.0188,18.8566
2018-05,39.3464,18.843
2018-06,47.8032,22.0592
2018-07,46.5448,20.962
2018-08,47.3174,24.4135
2018-09,55.947,27.7869
2018-10,47.756,28.1445
2018-11,47.1604,19.3954
2018-12,44.9413,19.8359
2019-01,38.7133,8.7501
2019-02,54.1283,17.203
2019-03,82.3757,21.2677
2019-04,100.91,23.6016
2019-05,109.8347,25.5902
2019-06,92.1322,17.8911
2019-07,119.1572,26.7327
2019-08,115.4692,25.8061
2019-09,99.5546,24.2046
2019-10,88.1473,24.595
2019-11,86.7709,29.5299
2019-12,98.3935,32.3145
2020-01,93.8541,35.5516
2020-02,99.5467,34.7733
2020-03,81.1982,23.2161
2020-04,77.1602,2.6957
2020-05,104.2174,17.923
2020-06,144.4911,27.1545
2020-07,156.0301,29.2791
2020-08,184.9609,35.3897
2020-09,193.8506,45.4969
2020-10,176.8149,38.8421
2020-11,175.6296,33.8054
2020-12,188.3067,49.4413
2021-01,236.4053,52.4925
2021-02,227.5803,52.5474
2021-03,255.3349,57.1165
2021-04,237.1043,62.2404
2021-05,210.4944,68.0147
2021-06,193.2174,67.9506
2021-07,216.0968,71.7835
2021-08,237.364,73.9065
2021-09,271.1824,78.108
2021-10,242.3274,70.559
2021-11,284.9953,79.7147
2021-12,283.6317,74.8714
2022-01,304.2012,83.8439
2022-02,225.4572,74.2485
2022-03,220.1125,64.4857
2022-04,248.993,72.8765
2022-05,214.8655,56.3809
2022-06,216.9767,54.7432
2022-07,206.8525,43.9638
2022-08,276.2045,54.5402
2022-09,242.5342,48.4061
2022-10,226.3398,33.808
2022-11,198.8293,43.6413
2022-12,247.203,51.6237
2023-01,212.8281,42.3283
2023-02,264.8962,52.4008
2023-03,266.6802,45.8599
2023-04,299.0577,52.4428
2023-05,296.7128,54.1535
2023-06,333.9762,55.8684
2023-07,334.2079,63.7729
2023-08,328.9003,67.9151
2023-09,343.4018,65.3142
2023-10,322.9908,56.4671
2023-11,338.4989,54.158
2023-12,380.1723,66.8181
2024-01,379.7693,72.7134
2024-02,407.5627,77.0248
2024-03,446.2368,84.7703
2024-04,436.384,89.0895
2024-05,367.9648,80.3005
2024-06,384.2092,89.1407
2024-07,421.7382,96.817
2024-08,334.2158,94.9948
2024-09,344.4199,101.4737
2024-10,331.9364,104.2286
2024-11,359.37,104.0979
2024-12,395.9714,114.1559
2025-01,382.115,108.1307
2025-02,374.0845,112.719
2025-03,296.1631,109.0154
2025-04,306.5163,97.097
2025-05,367.6555,95.2965
2025-06,344.7857,105.2137
2025-07,376.2154,114.7559
2025-08,445.5519,115.142
2025-09,431.7855,122.2543
2025-10,430.4149,129.8729
2025-11,406.8913,133.4127
2025-12,360.2579,131.7276
2026-01,361.6263,131.8756
2026-02,339.4408,131.1612
