Date,rate_ROK_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.0374,-3.7423
2016-03,9.7574,0.3764
2016-04,13.2103,5.1946
2016-05,9.7957,3.5695
2016-06,11.0614,4.8356
2016-07,8.9468,4.3651
2016-08,5.8709,7.2005
2016-09,8.0623,6.5176
2016-10,12.594,5.8316
2016-11,8.2489,2.6321
2016-12,24.649,6.5262
2017-01,20.0929,8.6002
2017-02,30.323,9.8701
2017-03,35.5045,14.9815
2017-04,33.3272,12.5254
2017-05,31.9039,13.1716
2017-06,34.4495,14.581
2017-07,33.2618,14.626
2017-08,32.8132,16.4591
2017-09,32.4105,15.9061
2017-10,41.889,17.2911
2017-11,53.2943,19.4181
2017-12,49.2748,21.7575
2018-01,51.7683,22.6249
2018-02,51.8588,28.3844
2018-03,35.0541,21.0506
2018-04,32.2541,18.8566
2018-05,25.8607,18.843
2018-06,35.5162,22.0592
2018-07,25.0234,20.962
2018-08,37.7828,24.4135
2018-09,36.1026,27.7869
2018-10,40.2632,28.1445
2018-11,28.239,19.3954
2018-12,28.8627,19.8359
2019-01,10.5317,8.7501
2019-02,23.7611,17.203
2019-03,32.9442,21.2677
2019-04,33.8701,23.6016
2019-05,30.4106,25.5902
2019-06,10.9505,17.8911
2019-07,22.3971,26.7327
2019-08,15.3285,25.8061
2019-09,14.9336,24.2046
2019-10,21.7227,24.595
2019-11,32.7613,29.5299
2019-12,47.8174,32.3145
2020-01,51.9372,35.5516
2020-02,42.679,34.7733
2020-03,38.8043,23.2161
2020-04,8.0838,2.6957
2020-05,37.6047,17.923
2020-06,62.7041,27.1545
2020-07,58.4009,29.2791
2020-08,63.0477,35.3897
2020-09,75.9194,45.4969
2020-10,63.8223,38.8421
2020-11,75.7662,33.8054
2020-12,84.083,49.4413
2021-01,85.5255,52.4925
2021-02,81.824,52.5474
2021-03,86.2162,57.1165
2021-04,93.8189,62.2404
2021-05,92.9501,68.0147
2021-06,96.4758,67.9506
2021-07,107.6838,71.7835
2021-08,122.0526,73.9065
2021-09,133.733,78.108
2021-10,111.5842,70.559
2021-11,127.8142,79.7147
2021-12,136.9497,74.8714
2022-01,146.9656,83.8439
2022-02,103.6987,74.2485
2022-03,85.1277,64.4857
2022-04,99.6841,72.8765
2022-05,76.1897,56.3809
2022-06,52.8024,54.7432
2022-07,39.2938,43.9638
2022-08,76.4153,54.5402
2022-09,70.2903,48.4061
2022-10,50.7371,33.808
2022-11,78.4085,43.6413
2022-12,85.987,51.6237
2023-01,78.596,42.3283
2023-02,95.1219,52.4008
2023-03,103.96,45.8599
2023-04,103.315,52.4428
2023-05,94.7003,54.1535
2023-06,94.5669,55.8684
2023-07,127.3068,63.7729
2023-08,113.1937,67.9151
2023-09,116.5163,65.3142
2023-10,95.9445,56.4671
2023-11,82.0424,54.158
2023-12,93.5558,66.8181
2024-01,112.4259,72.7134
2024-02,78.9649,77.0248
2024-03,99.1841,84.7703
2024-04,94.2835,89.0895
2024-05,84.047,80.3005
2024-06,77.461,89.1407
2024-07,82.1802,96.817
2024-08,80.7666,94.9948
2024-09,85.8794,101.4737
2024-10,80.4541,104.2286
2024-11,82.0381,104.0979
2024-12,99.9763,114.1559
2025-01,92.7429,108.1307
2025-02,86.9493,112.719
2025-03,92.864,109.0154
2025-04,73.027,97.097
2025-05,66.0052,95.2965
2025-06,110.3501,105.2137
2025-07,124.6816,114.7559
2025-08,127.486,115.142
2025-09,126.5438,122.2543
2025-10,129.3273,129.8729
2025-11,140.6704,133.4127
2025-12,154.4278,131.7276
2026-01,152.5614,131.8756
2026-02,144.3336,120.852
