Date,rate_AVGO_5D,rate_VOO_20D
2016-01,0.0,-0.1777
2016-02,-3.1668,-0.0314
2016-03,11.4339,5.187
2016-04,1.8282,3.6797
2016-05,7.2937,3.1295
2016-06,6.6642,1.6351
2016-07,10.2246,4.6041
2016-08,18.4603,4.1366
2016-09,13.7427,2.987
2016-10,11.003,0.8639
2016-11,10.1724,4.3141
2016-12,14.365,6.0824
2017-01,28.969,7.9429
2017-02,33.7731,11.2911
2017-03,36.811,10.5412
2017-04,35.4605,10.8734
2017-05,44.4591,11.6776
2017-06,38.7311,11.6154
2017-07,44.6134,13.1314
2017-08,45.3206,12.7287
2017-09,38.1919,14.3342
2017-10,48.4002,16.2325
2017-11,54.033,18.9549
2017-12,41.2367,19.6262
2018-01,36.3967,26.238
2018-02,34.1969,19.9516
2018-03,28.9221,16.2518
2018-04,24.5971,15.1572
2018-05,35.8583,17.311
2018-06,31.3362,17.5108
2018-07,19.0446,20.9213
2018-08,17.0062,24.0281
2018-09,32.7325,24.7402
2018-10,19.2182,17.981
2018-11,25.8939,18.3692
2018-12,35.3109,7.5007
2019-01,42.6642,15.9689
2019-02,45.1585,19.2225
2019-03,58.5051,20.8741
2019-04,66.0133,25.0855
2019-05,29.7851,19.0127
2019-06,48.8883,22.8977
2019-07,48.546,24.0373
2019-08,43.6268,20.9149
2019-09,41.6354,23.2381
2019-10,49.1633,23.2464
2019-11,59.7485,27.0887
2019-12,59.9205,30.1681
2020-01,54.4829,29.6659
2020-02,36.8878,22.8765
2020-03,19.8689,18.5968
2020-04,37.0613,33.4196
2020-05,46.2213,38.995
2020-06,59.0119,38.083
2020-07,58.3929,42.4175
2020-08,72.2718,51.3811
2020-09,80.8214,43.2295
2020-10,71.986,37.6534
2020-11,95.9569,46.2699
2020-12,113.4282,50.7796
2021-01,119.5423,48.7298
2021-02,126.5669,45.5951
2021-03,122.9823,47.1283
2021-04,117.1685,53.9463
2021-05,122.7689,48.9882
2021-06,124.4824,51.4587
2021-07,126.4334,54.2414
2021-08,129.8127,57.8367
2021-09,123.7494,49.5896
2021-10,143.1204,57.5002
2021-11,150.8569,54.8735
2021-12,200.5063,57.0876
2022-01,161.9147,47.5504
2022-02,160.164,39.1192
2022-03,178.1799,43.2002
2022-04,142.6533,36.1244
2022-05,151.719,37.7767
2022-06,110.7835,22.6093
2022-07,130.6739,33.3609
2022-08,113.3301,27.4386
2022-09,90.1706,18.8272
2022-10,99.9734,23.4213
2022-11,132.8421,29.8603
2022-12,136.4368,24.6232
2023-01,147.2896,29.7169
2023-02,149.1827,26.3204
2023-03,168.863,29.739
2023-04,160.4792,31.4054
2023-05,233.3174,31.633
2023-06,256.7006,39.7142
2023-07,266.286,43.7604
2023-08,272.8763,39.1386
2023-09,234.5953,32.0966
2023-10,236.1474,28.8359
2023-11,266.8352,40.1718
2023-12,340.7206,46.0836
2024-01,365.7714,43.7661
2024-02,408.7209,50.6773
2024-03,415.7899,54.9988
2024-04,401.4537,49.5349
2024-05,407.9456,53.3569
2024-06,510.503,58.1938
2024-07,505.4674,56.5839
2024-08,508.2208,59.3404
2024-09,546.3524,58.4112
2024-10,530.5975,56.3075
2024-11,496.8172,64.8064
2024-12,748.4929,60.3186
2025-01,709.9124,64.6165
2025-02,623.5565,61.4171
2025-03,504.4059,55.5919
2025-04,589.0008,54.3347
2025-05,759.229,63.4201
2025-06,872.0525,71.1544
2025-07,926.8836,74.355
2025-08,930.855,77.2278
2025-09,1045.6048,83.4997
2025-10,1172.3936,87.0447
2025-11,1275.1783,86.633
2025-12,1073.2355,85.9674
2026-01,1023.1621,88.6607
2026-02,1017.9302,85.4175
