Date,rate_XYZ_5D,rate_VOO_20D
2016-01,0.0,1.4254
2016-02,21.0909,0.6142
2016-03,64.594,6.1243
2016-04,46.4462,4.6014
2016-05,-11.9342,5.2878
2016-06,-14.617,4.687
2016-07,-3.063,7.7174
2016-08,17.7574,6.8637
2016-09,11.0175,5.9421
2016-10,5.5986,3.4868
2016-11,21.3908,6.843
2016-12,26.1121,8.2789
2017-01,32.3565,9.3935
2017-02,53.9972,12.821
2017-03,50.0915,12.0413
2017-04,55.1188,12.4367
2017-05,91.2801,13.2406
2017-06,89.9022,14.1802
2017-07,107.0191,15.6892
2017-08,99.9931,15.2834
2017-09,115.4514,16.8657
2017-10,171.1136,18.7799
2017-11,178.1564,21.509
2017-12,139.8082,22.1709
2018-01,216.8934,27.9258
2018-02,191.3434,22.2578
2018-03,214.2058,18.4465
2018-04,194.6013,18.162
2018-05,254.1104,20.337
2018-06,265.6829,20.5057
2018-07,274.3035,24.0401
2018-08,400.9726,27.2093
2018-09,446.0559,27.1082
2018-10,279.5066,17.9327
2018-11,246.7623,19.5577
2018-12,172.9983,8.5722
2019-01,241.3159,16.8959
2019-02,281.0921,20.2219
2019-03,243.4798,21.9603
2019-04,223.4964,26.2654
2019-05,170.5453,20.4953
2019-06,186.3459,25.3574
2019-07,206.9714,26.514
2019-08,173.4075,24.0717
2019-09,170.0353,25.9454
2019-10,164.1205,27.4086
2019-11,193.2078,31.384
2019-12,161.9348,34.5804
2020-01,208.7379,33.8021
2020-02,229.3283,22.3336
2020-03,194.6316,15.1867
2020-04,262.4173,29.6272
2020-05,346.1723,28.2305
2020-06,378.9382,28.0341
2020-07,452.2882,33.4885
2020-08,496.7948,42.106
2020-09,491.8183,38.2475
2020-10,534.2603,34.0563
2020-11,620.1897,42.9575
2020-12,599.2981,47.5016
2021-01,563.2847,45.1166
2021-02,617.9601,43.0879
2021-03,563.7012,49.8512
2021-04,600.3871,56.911
2021-05,512.5568,54.6413
2021-06,562.6357,57.2758
2021-07,518.8971,60.2291
2021-08,542.1384,64.0213
2021-09,464.9662,55.5224
2021-10,485.4743,65.5435
2021-11,373.9191,65.5034
2021-12,262.9101,68.4598
2022-01,172.0554,58.7763
2022-02,143.4664,53.2596
2022-03,112.6999,58.2953
2022-04,94.3129,52.2757
2022-05,77.7779,51.0659
2022-06,24.1993,38.0304
2022-07,53.2591,50.1558
2022-08,38.2194,43.3725
2022-09,9.893,29.6913
2022-10,19.7546,39.7003
2022-11,20.2157,46.8631
2022-12,1.0294,40.5677
2023-01,31.0599,48.7988
2023-02,28.9826,45.5387
2023-03,9.1047,49.6635
2023-04,-3.4395,48.4614
2023-05,-4.0036,48.1923
2023-06,5.8273,57.2072
2023-07,27.9412,61.7125
2023-08,12.3548,59.5229
2023-09,-13.8514,51.3631
2023-10,-21.885,47.5518
2023-11,12.1924,60.474
2023-12,36.4427,67.125
2024-01,14.5376,69.1001
2024-02,21.7609,77.1309
2024-03,29.3585,83.2841
2024-04,15.2465,75.177
2024-05,1.0284,83.1784
2024-06,1.6331,90.182
2024-07,-2.7445,90.9416
2024-08,3.4891,97.1965
2024-09,3.4277,98.31
2024-10,6.9928,95.5089
2024-11,25.309,105.9957
2024-12,19.9738,100.2436
2025-01,27.9304,104.6582
2025-02,-8.2006,101.1287
2025-03,-23.4642,89.045
2025-04,-17.4306,88.6819
2025-05,-12.6075,99.6712
2025-06,-9.9072,109.046
2025-07,2.162,112.823
2025-08,-0.2128,112.1707
2025-09,-9.4464,118.6779
2025-10,-8.0891,122.8639
2025-11,-18.9255,122.3204
2025-12,-20.8172,121.4705
2026-01,-26.3665,123.6468
2026-02,-22.0333,120.852
