Date,rate_MGM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.0402,-0.6039
2016-03,6.6068,5.2168
2016-04,3.6128,3.9893
2016-05,9.8901,4.6886
2016-06,6.7268,4.1237
2016-07,11.8871,7.1795
2016-08,9.9348,6.3603
2016-09,18.1397,5.6281
2016-10,16.8396,3.196
2016-11,26.3597,6.7601
2016-12,24.6959,8.3626
2017-01,24.5661,10.2536
2017-02,12.0247,13.6522
2017-03,16.1329,12.7005
2017-04,28.8135,12.9818
2017-05,31.1023,13.693
2017-06,27.8422,13.5288
2017-07,33.0315,15.0481
2017-08,31.469,14.5515
2017-09,28.8101,16.1037
2017-10,22.8642,17.9557
2017-11,32.6448,20.6805
2017-12,28.8336,21.3029
2018-01,40.5947,28.0338
2018-02,30.3782,22.1441
2018-03,32.6933,18.3021
2018-04,18.0415,18.0902
2018-05,17.469,20.2208
2018-06,8.2552,20.3415
2018-07,16.7776,23.8746
2018-08,7.6976,27.0072
2018-09,4.1328,27.7347
2018-10,-0.4727,18.1437
2018-11,0.4322,19.7418
2018-12,-9.3011,8.5778
2019-01,9.9591,17.1263
2019-02,-0.3935,20.3748
2019-03,-3.992,22.0514
2019-04,-0.3844,26.2651
2019-05,-7.0796,17.5943
2019-06,7.7566,25.308
2019-07,12.9842,26.4355
2019-08,5.3449,23.7232
2019-09,4.5569,26.1617
2019-10,7.3728,28.2707
2019-11,20.1281,32.1761
2019-12,25.0768,35.3247
2020-01,16.8022,35.2749
2020-02,-7.9516,23.5454
2020-03,-55.1311,7.7105
2020-04,-34.3114,21.425
2020-05,-31.9504,26.7132
2020-06,-32.8852,28.4357
2020-07,-35.0837,35.3124
2020-08,-8.3057,43.9511
2020-09,-11.2362,37.6938
2020-10,-15.8601,33.4637
2020-11,15.896,47.2943
2020-12,28.887,51.8455
2021-01,16.8248,50.305
2021-02,54.0908,53.4604
2021-03,53.9023,59.4101
2021-04,63.8552,66.6882
2021-05,71.3123,66.6274
2021-06,69.2023,69.2184
2021-07,47.843,72.1455
2021-08,67.0003,75.992
2021-09,67.9901,66.6118
2021-10,82.3423,77.1553
2021-11,51.9166,74.6519
2021-12,71.3992,81.397
2022-01,62.0949,70.7122
2022-02,67.0327,64.6001
2022-03,57.3107,69.8532
2022-04,53.1179,54.0273
2022-05,29.7916,53.6333
2022-06,7.1229,40.2902
2022-07,20.9339,52.5094
2022-08,20.3043,45.531
2022-09,9.2941,31.5965
2022-10,30.5991,41.7445
2022-11,34.8966,48.9584
2022-12,22.2788,39.838
2023-01,51.0152,48.5632
2023-02,56.1474,44.2258
2023-03,60.4842,48.9578
2023-04,61.5242,50.6836
2023-05,40.5851,50.7741
2023-06,56.5937,59.884
2023-07,80.2224,64.3798
2023-08,55.3039,60.953
2023-09,29.2575,52.6248
2023-10,22.4599,48.7132
2023-11,38.0091,61.6976
2023-12,55.8019,68.3392
2024-01,51.2348,71.0275
2024-02,50.308,79.0476
2024-03,63.3496,83.99
2024-04,35.8762,75.7344
2024-05,37.9792,83.6813
2024-06,52.1836,89.2836
2024-07,46.6466,90.5002
2024-08,27.9913,94.0822
2024-09,33.0976,98.2932
2024-10,25.2216,95.412
2024-11,29.9506,105.8418
2024-12,17.1668,99.9875
2025-01,16.5921,105.351
2025-02,17.3744,101.7087
2025-03,-0.0219,89.4719
2025-04,6.1007,87.0451
2025-05,6.6953,97.8575
2025-06,15.8713,107.0685
2025-07,22.5757,110.7404
2025-08,33.2517,114.0337
2025-09,16.3653,121.6081
2025-10,7.3901,125.7153
2025-11,18.233,125.0226
2025-12,22.069,124.0393
2026-01,12.2029,127.2713
2026-02,23.8488,125.3185
