Date,rate_BTC-USD_5D,rate_VOO_20D
2016-01,0.0,1.4254
2016-02,13.4268,0.6142
2016-03,4.1368,6.1243
2016-04,10.6259,4.6014
2016-05,27.085,5.2878
2016-06,43.1116,4.687
2016-07,33.6216,7.7174
2016-08,24.9842,6.8637
2016-09,29.5264,5.9421
2016-10,45.4281,3.4868
2016-11,50.0025,6.843
2016-12,88.0324,8.2789
2017-01,82.1995,9.3935
2017-02,114.2149,12.821
2017-03,87.2857,12.0413
2017-04,128.5818,12.4367
2017-05,272.69,13.2406
2017-06,287.0121,14.1802
2017-07,330.3392,15.6892
2017-08,577.3804,15.2834
2017-09,500.3681,16.8657
2017-10,761.0495,18.7799
2017-11,1209.5684,21.509
2017-12,1639.9497,22.1709
2018-01,1108.3636,27.9258
2018-02,1061.0729,22.2578
2018-03,724.2603,18.4465
2018-04,942.9144,18.162
2018-05,719.4652,20.337
2018-06,579.6858,20.5057
2018-07,703.0367,24.0401
2018-08,607.0565,27.2093
2018-09,548.2751,27.1082
2018-10,502.7817,17.9327
2018-11,274.12,19.5577
2018-12,241.5649,8.5722
2019-01,209.4585,16.8959
2019-02,238.8327,20.2219
2019-03,254.2064,21.9603
2019-04,353.3229,26.2654
2019-05,573.0131,20.4953
2019-06,698.0052,25.3574
2019-07,628.5731,26.514
2019-08,572.8962,24.0717
2019-09,428.2553,25.9454
2019-10,475.5906,27.4086
2019-11,365.2697,31.384
2019-12,334.9554,34.5804
2020-01,456.4819,33.8021
2020-02,445.4356,22.3336
2020-03,395.1837,15.1867
2020-04,555.5441,29.6272
2020-05,558.9328,28.2305
2020-06,518.1162,28.0341
2020-07,643.9431,33.4885
2020-08,650.7975,42.106
2020-09,616.9194,38.2475
2020-10,802.5597,34.0563
2020-11,1056.1392,42.9575
2020-12,1455.5227,47.5016
2021-01,1678.5608,45.1166
2021-02,2190.7841,43.0879
2021-03,2379.5917,49.8512
2021-04,2282.1026,56.911
2021-05,1743.1238,54.6413
2021-06,1618.6587,57.2758
2021-07,1913.0238,60.2291
2021-08,2071.1772,64.0213
2021-09,1821.7044,55.5224
2021-10,2387.922,65.5435
2021-11,2201.435,65.5034
2021-12,1978.3554,68.4598
2022-01,1604.6711,58.7763
2022-02,1695.8841,53.2596
2022-03,1655.2328,58.2953
2022-04,1479.0051,52.2757
2022-05,1374.6995,51.0659
2022-06,987.8167,38.0304
2022-07,1168.8707,50.1558
2022-08,977.5919,43.3725
2022-09,932.6041,29.6913
2022-10,977.1521,39.7003
2022-11,868.1185,46.8631
2022-12,823.2356,40.5677
2023-01,1176.5708,48.7988
2023-02,1110.2963,45.5387
2023-03,1286.7148,49.6635
2023-04,1216.3258,48.4614
2023-05,1167.54,48.1923
2023-06,1280.5235,57.2072
2023-07,1246.0363,61.7125
2023-08,1070.349,59.5229
2023-09,1105.1609,51.3631
2023-10,1367.5343,47.5518
2023-11,1480.7111,60.474
2023-12,1654.1369,67.125
2024-01,1650.0278,69.1001
2024-02,2390.8687,77.1309
2024-03,2775.2159,83.2841
2024-04,2531.3179,75.177
2024-05,2697.4471,83.1784
2024-06,2473.3442,90.182
2024-07,2528.3257,90.9416
2024-08,2337.2432,97.1965
2024-09,2433.2695,98.31
2024-10,2494.0673,95.5089
2024-11,3125.4952,105.9957
2024-12,2996.3875,100.2436
2025-01,3263.6783,104.6582
2025-02,2646.9689,101.1287
2025-03,2681.3914,89.045
2025-04,3008.7452,88.6819
2025-05,3323.3595,99.6712
2025-06,3208.9409,109.046
2025-07,3487.6053,112.823
2025-08,3268.1362,112.1707
2025-09,3372.8464,118.6779
2025-10,3208.3421,122.8639
2025-11,2607.4495,122.3204
2025-12,2500.0268,121.4705
2026-01,2375.5397,123.6468
2026-02,1630.9511,120.852
