Date,rate_ESS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.7095,-0.6039
2016-03,8.4193,5.2168
2016-04,0.2644,3.9893
2016-05,2.9072,4.6886
2016-06,4.1301,4.1237
2016-07,6.0069,7.1795
2016-08,2.1941,6.3603
2016-09,0.6562,5.6281
2016-10,-3.0984,3.196
2016-11,-2.0112,6.7601
2016-12,6.4469,8.3626
2017-01,2.7569,10.2536
2017-02,7.3214,13.6522
2017-03,6.1857,12.7005
2017-04,11.623,12.9818
2017-05,16.3803,13.693
2017-06,16.2882,13.5288
2017-07,17.2349,15.0481
2017-08,18.1563,14.5515
2017-09,12.7423,16.1037
2017-10,15.823,17.9557
2017-11,8.3406,20.6805
2017-12,6.273,21.3029
2018-01,2.6252,28.0338
2018-02,-1.39,22.1441
2018-03,6.8728,18.3021
2018-04,6.2186,18.0902
2018-05,5.6622,20.2208
2018-06,6.2852,20.3415
2018-07,6.7063,23.8746
2018-08,9.0261,27.0072
2018-09,10.0337,27.7347
2018-10,11.5084,18.1437
2018-11,16.2781,19.7418
2018-12,8.9814,8.5778
2019-01,20.4012,17.1263
2019-02,23.6094,20.3748
2019-03,27.8909,22.0514
2019-04,24.1515,26.2651
2019-05,27.4983,17.5943
2019-06,27.7109,25.308
2019-07,31.4227,26.4355
2019-08,38.793,23.7232
2019-09,41.9492,26.1617
2019-10,41.1261,28.2707
2019-11,33.7811,32.1761
2019-12,29.063,35.3247
2020-01,32.8507,35.2749
2020-02,20.8551,23.5454
2020-03,-5.6199,7.7105
2020-04,4.9673,21.425
2020-05,4.355,26.7132
2020-06,-0.7254,28.4357
2020-07,-4.457,35.3124
2020-08,-6.1409,43.9511
2020-09,-11.9298,37.6938
2020-10,-10.1293,33.4637
2020-11,8.0341,47.2943
2020-12,5.0821,51.8455
2021-01,6.0392,50.305
2021-02,12.5895,53.4604
2021-03,20.7379,59.4101
2021-04,28.5691,66.6882
2021-05,30.1854,66.6274
2021-06,32.6102,69.2184
2021-07,44.3719,72.1455
2021-08,44.791,75.992
2021-09,40.1533,66.6118
2021-10,48.2461,77.1553
2021-11,47.2886,74.6519
2021-12,53.0154,81.397
2022-01,43.6667,70.7122
2022-02,36.4224,64.6001
2022-03,48.9423,69.8532
2022-04,41.2459,54.0273
2022-05,21.3033,53.6333
2022-06,12.436,40.2902
2022-07,22.9117,52.5094
2022-08,13.4503,45.531
2022-09,4.4359,31.5965
2022-10,-4.2865,41.7445
2022-11,-5.0317,48.9584
2022-12,-7.6696,39.838
2023-01,-1.5685,48.5632
2023-02,-0.704,44.2258
2023-03,-7.9018,48.9578
2023-04,-3.1458,50.6836
2023-05,-4.7371,50.7741
2023-06,4.3472,59.884
2023-07,8.3737,64.3798
2023-08,5.9746,60.953
2023-09,-4.7375,52.6248
2023-10,-3.838,48.7132
2023-11,-3.9719,61.6976
2023-12,12.5492,68.3392
2024-01,5.9644,71.0275
2024-02,5.001,79.0476
2024-03,12.1123,83.99
2024-04,12.6722,75.7344
2024-05,18.7138,83.6813
2024-06,25.2782,89.2836
2024-07,27.8189,90.5002
2024-08,38.2177,94.0822
2024-09,36.4228,98.2932
2024-10,30.73,95.412
2024-11,42.6333,105.8418
2024-12,30.7754,99.9875
2025-01,31.4977,105.351
2025-02,43.6059,101.7087
2025-03,42.0429,89.4719
2025-04,28.9722,87.0451
2025-05,30.8504,97.8575
2025-06,31.4952,107.0685
2025-07,20.4316,110.7404
2025-08,24.8782,114.0337
2025-09,24.8874,121.6081
2025-10,17.2603,125.7153
2025-11,22.5889,125.0226
2025-12,21.4875,124.0393
2026-01,18.1289,127.2713
2026-02,10.7333,125.3185
