Date,rate_ICE_5D,rate_VOO_20D
2016-01,4.8825,1.4254
2016-02,-10.3345,0.6142
2016-03,-7.886,6.1243
2016-04,-4.044,4.6014
2016-05,8.7345,5.2878
2016-06,2.4826,4.687
2016-07,5.6238,7.7174
2016-08,11.3215,6.8637
2016-09,5.319,5.9421
2016-10,5.2547,3.4868
2016-11,7.5684,6.843
2016-12,9.0683,8.2789
2017-01,11.961,9.3935
2017-02,8.7586,12.821
2017-03,13.5398,12.0413
2017-04,13.2145,12.4367
2017-05,12.353,13.2406
2017-06,22.6486,14.1802
2017-07,22.9061,15.6892
2017-08,17.9942,15.2834
2017-09,24.7745,16.8657
2017-10,18.9438,18.7799
2017-11,27.5165,21.509
2017-12,25.1289,22.1709
2018-01,29.7794,27.9258
2018-02,27.4181,22.2578
2018-03,26.3692,18.4465
2018-04,25.315,18.162
2018-05,21.7913,20.337
2018-06,25.948,20.5057
2018-07,25.6804,24.0401
2018-08,28.8189,27.2093
2018-09,26.0877,27.1082
2018-10,27.5252,17.9327
2018-11,31.0861,19.5577
2018-12,20.4782,8.5722
2019-01,22.1989,16.8959
2019-02,22.2041,20.2219
2019-03,20.4804,21.9603
2019-04,28.145,26.2654
2019-05,28.7797,20.4953
2019-06,34.3124,25.3574
2019-07,36.4227,26.514
2019-08,44.168,24.0717
2019-09,42.576,25.9454
2019-10,44.7547,27.4086
2019-11,43.6034,31.384
2019-12,41.4805,34.5804
2020-01,51.5573,33.8021
2020-02,35.0968,22.3336
2020-03,19.5161,15.1867
2020-04,31.9951,29.6272
2020-05,37.0112,28.2305
2020-06,29.0962,28.0341
2020-07,34.9332,33.4885
2020-08,47.4224,42.106
2020-09,40.8838,38.2475
2020-10,37.0841,34.0563
2020-11,45.6366,42.9575
2020-12,58.6478,47.5016
2021-01,55.4139,45.1166
2021-02,49.2046,43.0879
2021-03,50.6546,49.8512
2021-04,57.9168,56.911
2021-05,50.6413,54.6413
2021-06,58.0946,57.2758
2021-07,58.7167,60.2291
2021-08,57.4869,64.0213
2021-09,50.8806,55.5224
2021-10,70.825,65.5435
2021-11,60.3435,65.5034
2021-12,67.2501,68.4598
2022-01,54.0372,58.7763
2022-02,55.0588,53.2596
2022-03,50.606,58.2953
2022-04,44.4205,52.2757
2022-05,44.2354,51.0659
2022-06,32.471,38.0304
2022-07,43.2049,50.1558
2022-08,41.0879,43.3725
2022-09,26.4453,29.6913
2022-10,33.354,39.7003
2022-11,47.274,46.8631
2022-12,45.1139,40.5677
2023-01,51.5643,48.7988
2023-02,42.9156,45.5387
2023-03,45.2704,49.6635
2023-04,48.5721,48.4614
2023-05,43.8429,48.1923
2023-06,53.4869,57.2072
2023-07,55.2237,61.7125
2023-08,57.5138,59.5229
2023-09,46.8322,51.3631
2023-10,42.8921,47.5518
2023-11,50.9221,60.474
2023-12,70.2001,67.125
2024-01,68.0221,69.1001
2024-02,81.8777,77.1309
2024-03,79.6058,83.2841
2024-04,67.5305,75.177
2024-05,73.5062,83.1784
2024-06,77.2141,90.182
2024-07,95.344,90.9416
2024-08,101.1278,97.1965
2024-09,99.5975,98.31
2024-10,92.7382,95.5089
2024-11,98.1349,105.9957
2024-12,83.1336,100.2436
2025-01,95.6123,104.6582
2025-02,111.0692,101.1287
2025-03,105.0451,89.045
2025-04,108.8502,88.6819
2025-05,122.5044,99.6712
2025-06,123.1646,109.046
2025-07,123.7604,112.823
2025-08,112.7759,112.1707
2025-09,102.6514,118.6779
2025-10,75.2595,122.8639
2025-11,87.7525,122.3204
2025-12,93.1388,121.4705
2026-01,106.3858,123.6468
2026-02,106.2381,120.852
