Date,rate_HCA_5D,rate_VOO_20D
2016-01,5.3319,1.4254
2016-02,-1.1792,0.6142
2016-03,10.909,6.1243
2016-04,11.3436,4.6014
2016-05,6.3528,5.2878
2016-06,3.8302,4.687
2016-07,3.4111,7.7174
2016-08,0.8721,6.8637
2016-09,0.9087,5.9421
2016-10,2.003,3.4868
2016-11,-6.0058,6.843
2016-12,-1.3687,8.2789
2017-01,6.7461,9.3935
2017-02,15.2662,12.821
2017-03,16.5165,12.0413
2017-04,9.2751,12.4367
2017-05,5.7268,13.2406
2017-06,12.0835,14.1802
2017-07,2.6751,15.6892
2017-08,0.4519,15.2834
2017-09,1.6124,16.8657
2017-10,-3.4932,18.7799
2017-11,8.3989,21.509
2017-12,11.7463,22.1709
2018-01,28.096,27.9258
2018-02,23.8412,22.2578
2018-03,18.4001,18.4465
2018-04,16.429,18.162
2018-05,25.1733,20.337
2018-06,23.5644,20.5057
2018-07,48.5924,24.0401
2018-08,59.0595,27.2093
2018-09,64.2861,27.1082
2018-10,51.3222,17.9327
2018-11,54.0855,19.5577
2018-12,32.5087,8.5722
2019-01,47.4785,16.8959
2019-02,46.2316,20.2219
2019-03,36.1501,21.9603
2019-04,31.9713,26.2654
2019-05,25.1085,20.4953
2019-06,35.5867,25.3574
2019-07,33.0149,26.514
2019-08,26.4591,24.0717
2019-09,29.6563,25.9454
2019-10,43.7573,27.4086
2019-11,49.1425,31.384
2019-12,58.1895,34.5804
2020-01,47.556,33.8021
2020-02,34.7583,22.3336
2020-03,15.727,15.1867
2020-04,39.4616,29.6272
2020-05,37.5499,28.2305
2020-06,28.175,28.0341
2020-07,65.1636,33.4885
2020-08,71.8913,42.106
2020-09,66.7389,38.2475
2020-10,68.6174,34.0563
2020-11,84.5783,42.9575
2020-12,91.2146,47.5016
2021-01,85.7541,45.1166
2021-02,84.2697,43.0879
2021-03,87.9283,49.8512
2021-04,97.1621,56.911
2021-05,102.9264,54.6413
2021-06,94.2997,57.2758
2021-07,131.5255,60.2291
2021-08,127.6328,64.0213
2021-09,122.5106,55.5224
2021-10,124.9224,65.5435
2021-11,101.0021,65.5034
2021-12,127.687,68.4598
2022-01,119.7804,58.7763
2022-02,127.156,53.2596
2022-03,132.3596,58.2953
2022-04,92.8722,52.2757
2022-05,87.894,51.0659
2022-06,49.6533,38.0304
2022-07,88.2969,50.1558
2022-08,74.3684,43.3725
2022-09,61.4393,29.6913
2022-10,89.9938,39.7003
2022-11,99.1521,46.8631
2022-12,94.7009,40.5677
2023-01,97.8141,48.7988
2023-02,89.0834,45.5387
2023-03,100.0377,49.6635
2023-04,116.7332,48.4614
2023-05,96.8213,48.1923
2023-06,124.3914,57.2072
2023-07,111.4687,61.7125
2023-08,115.3951,59.5229
2023-09,90.4169,51.3631
2023-10,74.1751,47.5518
2023-11,92.0323,60.474
2023-12,106.9126,67.125
2024-01,131.7849,69.1001
2024-02,133.7374,77.1309
2024-03,142.5508,83.2841
2024-04,130.2914,75.177
2024-05,151.1602,83.1784
2024-06,137.5598,90.182
2024-07,166.9101,90.9416
2024-08,189.0896,97.1965
2024-09,185.4108,98.31
2024-10,144.965,95.5089
2024-11,122.2122,105.9957
2024-12,104.0708,100.2436
2025-01,123.2541,104.6582
2025-02,106.2357,101.1287
2025-03,121.5343,89.045
2025-04,114.1298,88.6819
2025-05,135.4419,99.6712
2025-06,136.7577,109.046
2025-07,117.676,112.823
2025-08,147.2325,112.1707
2025-09,149.5652,118.6779
2025-10,160.6973,122.8639
2025-11,186.7713,122.3204
2025-12,162.3696,121.4705
2026-01,172.9769,123.6468
2026-02,194.5969,120.852
