Date,rate_EPAM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-10.2171,-0.6039
2016-03,0.595,5.2168
2016-04,-2.7384,3.9893
2016-05,2.3173,4.6886
2016-06,-14.0932,4.1237
2016-07,-3.9218,7.1795
2016-08,-6.4981,6.3603
2016-09,-4.4648,5.6281
2016-10,-10.7025,3.196
2016-11,-7.6197,6.7601
2016-12,-8.8537,8.3626
2017-01,-8.7829,10.2536
2017-02,5.0034,13.6522
2017-03,7.1682,12.7005
2017-04,8.8575,12.9818
2017-05,17.8844,13.693
2017-06,16.9113,13.5288
2017-07,18.5559,15.0481
2017-08,11.2775,14.5515
2017-09,19.6122,16.1037
2017-10,22.9857,17.9557
2017-11,35.6964,20.6805
2017-12,42.1457,21.3029
2018-01,55.4292,28.0338
2018-02,47.4917,22.1441
2018-03,47.383,18.3021
2018-04,45.4057,18.0902
2018-05,54.7704,20.2208
2018-06,54.1984,20.3415
2018-07,59.5114,23.8746
2018-08,72.8303,27.0072
2018-09,66.5194,27.7347
2018-10,42.651,18.1437
2018-11,53.7992,19.7418
2018-12,35.4379,8.5778
2019-01,65.1529,17.1263
2019-02,86.572,20.3748
2019-03,92.4121,22.0514
2019-04,101.2575,26.2651
2019-05,91.0445,17.5943
2019-06,89.3462,25.308
2019-07,109.3207,26.4355
2019-08,103.9563,23.7232
2019-09,94.3607,26.1617
2019-10,85.3731,28.2707
2019-11,120.6496,32.1761
2019-12,118.2296,35.3247
2020-01,134.6555,35.2749
2020-02,126.5216,23.5454
2020-03,86.1005,7.7105
2020-04,119.2648,21.425
2020-05,126.3276,26.7132
2020-06,144.3614,28.4357
2020-07,177.8356,35.3124
2020-08,209.207,43.9511
2020-09,201.492,37.6938
2020-10,184.3724,33.4637
2020-11,193.0009,47.2943
2020-12,221.6662,51.8455
2021-01,209.1898,50.305
2021-02,231.1472,53.4604
2021-03,247.1452,59.4101
2021-04,295.4951,66.6882
2021-05,307.2929,66.6274
2021-06,330.118,69.2184
2021-07,365.1472,72.1455
2021-08,419.0009,75.992
2021-09,361.8735,66.6118
2021-10,438.1495,77.1553
2021-11,380.2911,74.6519
2021-12,421.0866,81.397
2022-01,266.7559,70.7122
2022-02,58.4458,64.6001
2022-03,124.8515,69.8532
2022-04,99.3395,54.0273
2022-05,152.6102,53.6333
2022-06,118.1626,40.2902
2022-07,156.4293,52.5094
2022-08,210.3997,45.531
2022-09,161.269,31.5965
2022-10,150.3941,41.7445
2022-11,161.6162,48.9584
2022-12,130.759,39.838
2023-01,134.2152,48.5632
2023-02,115.0024,44.2258
2023-03,107.5492,48.9578
2023-04,94.8002,50.6836
2023-05,75.9484,50.7741
2023-06,53.2834,59.884
2023-07,60.8077,64.3798
2023-08,75.0368,60.953
2023-09,71.9332,52.6248
2023-10,45.6216,48.7132
2023-11,72.1763,61.6976
2023-12,97.3284,68.3392
2024-01,84.5667,71.0275
2024-02,100.9261,79.0476
2024-03,81.2786,83.99
2024-04,53.7001,75.7344
2024-05,15.848,83.6813
2024-06,22.2947,89.2836
2024-07,39.5716,90.5002
2024-08,29.8628,94.0822
2024-09,28.7447,98.2932
2024-10,21.761,95.412
2024-11,57.084,105.8418
2024-12,50.0248,99.9875
2025-01,62.9309,105.351
2025-02,31.7519,101.7087
2025-03,7.707,89.4719
2025-04,0.0384,87.0451
2025-05,11.2249,97.8575
2025-06,12.6177,107.0685
2025-07,0.3356,110.7404
2025-08,12.2371,114.0337
2025-09,-4.0303,121.6081
2025-10,4.1019,125.7153
2025-11,18.9785,125.0226
2025-12,30.1231,124.0393
2026-01,32.4825,127.2713
2026-02,-34.6862,125.3185
