Date,rate_IBKR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.2913,-0.6039
2016-03,16.5531,5.2168
2016-04,8.1111,3.9893
2016-05,12.0686,4.6886
2016-06,-3.0322,4.1237
2016-07,-4.0685,7.1795
2016-08,-0.8528,6.3603
2016-09,-2.2703,5.6281
2016-10,-7.958,3.196
2016-11,2.7459,6.7601
2016-12,1.8438,8.3626
2017-01,4.1574,10.2536
2017-02,1.9968,13.6522
2017-03,-3.9963,12.7005
2017-04,-3.3311,12.9818
2017-05,-3.0981,13.693
2017-06,4.0572,13.5288
2017-07,10.9745,15.0481
2017-08,15.5045,14.5515
2017-09,23.1165,16.1037
2017-10,46.1404,17.9557
2017-11,52.1392,20.6805
2017-12,55.4168,21.3029
2018-01,67.9591,28.0338
2018-02,78.873,22.1441
2018-03,70.4011,18.3021
2018-04,85.1846,18.0902
2018-05,78.5357,20.2208
2018-06,55.5271,20.3415
2018-07,42.723,23.8746
2018-08,46.6731,27.0072
2018-09,30.5129,27.7347
2018-10,15.7004,18.1437
2018-11,34.6998,19.7418
2018-12,26.2283,8.5778
2019-01,16.4146,17.1263
2019-02,27.0767,20.3748
2019-03,18.6156,22.0514
2019-04,23.3517,26.2651
2019-05,14.8799,17.5943
2019-06,22.154,25.308
2019-07,15.0017,26.4355
2019-08,5.5528,23.7232
2019-09,20.2632,26.1617
2019-10,6.1546,28.2707
2019-11,7.9198,32.1761
2019-12,3.7956,35.3247
2020-01,4.6415,35.2749
2020-02,13.4414,23.5454
2020-03,-4.5293,7.7105
2020-04,-9.248,21.425
2020-05,-6.0697,26.7132
2020-06,-7.2575,28.4357
2020-07,10.2629,35.3124
2020-08,17.5891,43.9511
2020-09,6.8555,37.6938
2020-10,5.0264,33.4637
2020-11,16.3574,47.2943
2020-12,33.9441,51.8455
2021-01,34.5377,50.305
2021-02,58.2649,53.4604
2021-03,58.5244,59.4101
2021-04,54.1974,66.6882
2021-05,44.1514,66.6274
2021-06,40.122,69.2184
2021-07,31.2246,72.1455
2021-08,36.5509,75.992
2021-09,31.0996,66.6118
2021-10,48.3648,77.1553
2021-11,53.7115,74.6519
2021-12,64.4474,81.397
2022-01,40.3703,70.7122
2022-02,35.5987,64.6001
2022-03,34.6084,69.8532
2022-04,21.1651,54.0273
2022-05,24.8647,53.6333
2022-06,11.3283,40.2902
2022-07,18.5785,52.5094
2022-08,24.2234,45.531
2022-09,28.5268,31.5965
2022-10,60.7054,41.7445
2022-11,60.1969,48.9584
2022-12,43.6521,39.838
2023-01,58.7212,48.5632
2023-02,70.1139,44.2258
2023-03,62.2272,48.9578
2023-04,52.2356,50.6836
2023-05,50.388,50.7741
2023-06,61.0707,59.884
2023-07,68.5409,64.3798
2023-08,74.9004,60.953
2023-09,65.3605,52.6248
2023-10,52.2662,48.7132
2023-11,47.4576,61.6976
2023-12,56.4576,68.3392
2024-01,67.4979,71.0275
2024-02,104.2187,79.0476
2024-03,108.6214,83.99
2024-04,113.7501,75.7344
2024-05,132.0558,83.6813
2024-06,124.8995,89.2836
2024-07,117.4603,90.5002
2024-08,133.6585,94.0822
2024-09,152.6367,98.2932
2024-10,174.863,95.412
2024-11,241.9582,105.8418
2024-12,213.8956,99.9875
2025-01,286.3248,105.351
2025-02,260.4088,101.7087
2025-03,189.8772,89.4719
2025-04,198.8349,87.0451
2025-05,262.216,97.8575
2025-06,280.1872,107.0685
2025-07,346.6107,110.7404
2025-08,320.885,114.0337
2025-09,365.3107,121.6081
2025-10,372.2628,125.7153
2025-11,333.1699,125.0226
2025-12,325.4057,124.0393
2026-01,395.3243,127.2713
2026-02,388.8315,125.3185
