Date,rate_APO_5D,rate_VOO_20D
2016-01,-1.0289,1.4254
2016-02,16.3295,0.6142
2016-03,21.4524,6.1243
2016-04,14.9316,4.6014
2016-05,10.6348,5.2878
2016-06,0.3185,4.687
2016-07,13.6449,7.7174
2016-08,23.9725,6.8637
2016-09,17.479,5.9421
2016-10,17.7679,3.4868
2016-11,24.7848,6.843
2016-12,22.8319,8.2789
2017-01,32.6536,9.3935
2017-02,42.0977,12.821
2017-03,48.9681,12.0413
2017-04,60.5983,12.4367
2017-05,61.3585,13.2406
2017-06,54.3087,14.1802
2017-07,60.7925,15.6892
2017-08,74.4889,15.2834
2017-09,74.2643,16.8657
2017-10,79.1724,18.7799
2017-11,76.562,21.509
2017-12,85.3797,22.1709
2018-01,94.2307,27.9258
2018-02,78.1605,22.2578
2018-03,58.238,18.4465
2018-04,51.9818,18.162
2018-05,65.119,20.337
2018-06,65.7149,20.5057
2018-07,82.0764,24.0401
2018-08,76.8247,27.2093
2018-09,74.5946,27.1082
2018-10,45.5804,17.9327
2018-11,40.2684,19.5577
2018-12,21.1328,8.5722
2019-01,43.8428,16.8959
2019-02,45.5064,20.2219
2019-03,38.236,21.9603
2019-04,57.1862,26.2654
2019-05,51.886,20.4953
2019-06,64.2957,25.3574
2019-07,56.5608,26.514
2019-08,79.6797,24.0717
2019-09,85.5693,25.9454
2019-10,96.0889,27.4086
2019-11,108.7304,31.384
2019-12,124.894,34.5804
2020-01,120.2861,33.8021
2020-02,96.8875,22.3336
2020-03,58.6382,15.1867
2020-04,90.6717,29.6272
2020-05,109.7413,28.2305
2020-06,109.0496,28.0341
2020-07,103.3797,33.4885
2020-08,95.3596,42.106
2020-09,83.0989,38.2475
2020-10,67.199,34.0563
2020-11,83.4134,42.9575
2020-12,91.1724,47.5016
2021-01,77.9979,45.1166
2021-02,86.0706,43.0879
2021-03,78.179,49.8512
2021-04,108.3799,56.911
2021-05,110.2912,54.6413
2021-06,122.878,57.2758
2021-07,109.1572,60.2291
2021-08,112.5865,64.0213
2021-09,108.884,55.5224
2021-10,144.4207,65.5435
2021-11,124.6303,65.5034
2021-12,129.8228,68.4598
2022-01,120.3954,58.7763
2022-02,104.5255,53.2596
2022-03,86.5192,58.2953
2022-04,59.3151,52.2757
2022-05,76.2443,51.0659
2022-06,56.6339,38.0304
2022-07,83.5908,50.1558
2022-08,78.9772,43.3725
2022-09,48.8688,29.6913
2022-10,76.3725,39.7003
2022-11,103.0445,46.8631
2022-12,88.318,40.5677
2023-01,107.7218,48.7988
2023-02,101.7156,45.5387
2023-03,75.545,49.6635
2023-04,71.8012,48.4614
2023-05,83.8326,48.1923
2023-06,110.1134,57.2072
2023-07,110.4418,61.7125
2023-08,121.1737,59.5229
2023-09,127.6645,51.3631
2023-10,117.0884,47.5518
2023-11,141.5924,60.474
2023-12,143.2142,67.125
2024-01,160.4191,69.1001
2024-02,187.77,77.1309
2024-03,185.3263,83.2841
2024-04,167.8958,75.177
2024-05,186.4685,83.1784
2024-06,189.3195,90.182
2024-07,205.0922,90.9416
2024-08,191.6126,97.1965
2024-09,199.2856,98.31
2024-10,241.1649,95.5089
2024-11,260.9161,105.9957
2024-12,238.3586,100.2436
2025-01,248.0052,104.6582
2025-02,202.7848,101.1287
2025-03,176.2653,89.045
2025-04,177.2386,88.6819
2025-05,166.7884,99.6712
2025-06,182.8915,109.046
2025-07,191.4009,112.823
2025-08,184.2562,112.1707
2025-09,176.5384,118.6779
2025-10,156.5888,122.8639
2025-11,171.8117,122.3204
2025-12,196.7531,121.4705
2026-01,174.3495,123.6468
2026-02,112.1988,120.852
