Date,rate_WBD_5D,rate_VOO_20D
2016-01,2.5338,1.4254
2016-02,-8.1061,0.6142
2016-03,5.9429,6.1243
2016-04,-0.5102,4.6014
2016-05,0.8348,5.2878
2016-06,-8.7734,4.687
2016-07,-8.0586,7.7174
2016-08,-6.1638,6.8637
2016-09,-0.3743,5.9421
2016-10,-3.4343,3.4868
2016-11,0.5749,6.843
2016-12,1.187,8.2789
2017-01,4.5564,9.3935
2017-02,5.8169,12.821
2017-03,6.8125,12.0413
2017-04,5.2471,12.4367
2017-05,-2.7781,13.2406
2017-06,-5.1347,14.1802
2017-07,-9.4701,15.6892
2017-08,-17.4194,15.2834
2017-09,-20.0392,16.8657
2017-10,-28.287,18.7799
2017-11,-26.0904,21.509
2017-12,-11.8704,22.1709
2018-01,-1.1089,27.9258
2018-02,-4.801,22.2578
2018-03,-15.9657,18.4465
2018-04,-6.7258,18.162
2018-05,-16.665,20.337
2018-06,9.129,20.5057
2018-07,5.3015,24.0401
2018-08,10.0664,27.2093
2018-09,16.5431,27.1082
2018-10,10.3812,17.9327
2018-11,3.2018,19.5577
2018-12,-16.9399,8.5722
2019-01,-4.1971,16.8959
2019-02,-2.3488,20.2219
2019-03,-8.531,21.9603
2019-04,4.7696,26.2654
2019-05,-7.6762,20.4953
2019-06,4.163,25.3574
2019-07,2.7008,26.514
2019-08,-5.8153,24.0717
2019-09,-10.3341,25.9454
2019-10,-9.041,27.4086
2019-11,11.2751,31.384
2019-12,10.3583,34.5804
2020-01,-1.5643,33.8021
2020-02,-13.5935,22.3336
2020-03,-23.0322,15.1867
2020-04,-16.4062,29.6272
2020-05,-18.1851,28.2305
2020-06,-17.47,28.0341
2020-07,-17.1089,33.4885
2020-08,-12.9818,42.106
2020-09,-16.783,38.2475
2020-10,-24.9202,34.0563
2020-11,-2.4584,42.9575
2020-12,4.4551,47.5016
2021-01,32.6295,45.1166
2021-02,52.196,43.0879
2021-03,66.4537,49.8512
2021-04,57.998,56.911
2021-05,33.9536,54.6413
2021-06,27.4997,57.2758
2021-07,20.1471,60.2291
2021-08,19.1485,64.0213
2021-09,4.3154,55.5224
2021-10,-3.8657,65.5435
2021-11,-4.6288,65.5034
2021-12,-4.8895,68.4598
2022-01,11.5736,58.7763
2022-02,9.7603,53.2596
2022-03,2.2764,58.2953
2022-04,-16.139,52.2757
2022-05,-14.1897,51.0659
2022-06,-29.777,38.0304
2022-07,-21.1835,50.1558
2022-08,-30.2318,43.3725
2022-09,-38.0411,29.6913
2022-10,-31.6804,39.7003
2022-11,-38.2725,46.8631
2022-12,-48.0794,40.5677
2023-01,-18.06,48.7988
2023-02,-14.9141,45.5387
2023-03,-13.9003,49.6635
2023-04,-20.6024,48.4614
2023-05,-34.1334,48.1923
2023-06,-26.4698,57.2072
2023-07,-23.0617,61.7125
2023-08,-21.2497,59.5229
2023-09,-33.7326,51.3631
2023-10,-38.6421,47.5518
2023-11,-38.3661,60.474
2023-12,-32.5349,67.125
2024-01,-40.2219,69.1001
2024-02,-47.2349,77.1309
2024-03,-47.1163,83.2841
2024-04,-55.0194,75.177
2024-05,-49.129,83.1784
2024-06,-53.6342,90.182
2024-07,-45.4387,90.9416
2024-08,-47.0151,97.1965
2024-09,-49.8344,98.31
2024-10,-48.5116,95.5089
2024-11,-33.0642,105.9957
2024-12,-32.3044,100.2436
2025-01,-32.7983,104.6582
2025-02,-25.9063,101.1287
2025-03,-28.9572,89.045
2025-04,-30.677,88.6819
2025-05,-19.9492,99.6712
2025-06,-7.7856,109.046
2025-07,2.6604,112.823
2025-08,-3.0884,112.1707
2025-09,62.6109,118.6779
2025-10,73.1298,122.8639
2025-11,84.4264,122.3204
2025-12,120.5976,121.4705
2026-01,113.4342,123.6468
2026-02,115.6763,120.852
