Date,rate_BXP_5D,rate_VOO_20D
2016-01,-2.2512,1.4254
2016-02,-2.2242,0.6142
2016-03,8.9694,6.1243
2016-04,7.5989,4.6014
2016-05,2.8841,5.2878
2016-06,7.8286,4.687
2016-07,14.956,7.7174
2016-08,11.6191,6.8637
2016-09,7.6151,5.9421
2016-10,-5.4871,3.4868
2016-11,-2.1291,6.843
2016-12,0.2739,8.2789
2017-01,4.3191,9.3935
2017-02,10.3896,12.821
2017-03,5.3389,12.0413
2017-04,0.3914,12.4367
2017-05,-3.5269,13.2406
2017-06,-1.4072,14.1802
2017-07,-2.9689,15.6892
2017-08,-3.1145,15.2834
2017-09,-0.5614,16.8657
2017-10,-1.9136,18.7799
2017-11,1.4827,21.509
2017-12,5.7647,22.1709
2018-01,0.4033,27.9258
2018-02,-3.2829,22.2578
2018-03,1.0751,18.4465
2018-04,0.8496,18.162
2018-05,1.0892,20.337
2018-06,4.7513,20.5057
2018-07,4.6904,24.0401
2018-08,8.5326,27.2093
2018-09,3.1026,27.1082
2018-10,1.3722,17.9327
2018-11,10.1168,19.5577
2018-12,-3.3735,8.5722
2019-01,13.314,16.8959
2019-02,13.6497,20.2219
2019-03,15.0304,21.9603
2019-04,17.825,26.2654
2019-05,11.591,20.4953
2019-06,10.9395,25.3574
2019-07,12.2314,26.514
2019-08,8.1845,24.0717
2019-09,11.4357,25.9454
2019-10,16.9775,27.4086
2019-11,17.7325,31.384
2019-12,17.6017,34.5804
2020-01,21.9093,33.8021
2020-02,9.2571,22.3336
2020-03,4.1872,15.1867
2020-04,2.9158,29.6272
2020-05,-1.1108,28.2305
2020-06,9.6515,28.0341
2020-07,3.7298,33.4885
2020-08,-0.84,42.106
2020-09,-10.1533,38.2475
2020-10,-15.9979,34.0563
2020-11,9.9014,42.9575
2020-12,8.9187,47.5016
2021-01,4.4456,45.1166
2021-02,13.3375,43.0879
2021-03,19.3008,49.8512
2021-04,24.6413,56.911
2021-05,29.6991,54.6413
2021-06,28.2369,57.2758
2021-07,28.6326,60.2291
2021-08,23.4176,64.0213
2021-09,19.0471,55.5224
2021-10,24.5167,65.5435
2021-11,17.7923,65.5034
2021-12,26.5027,68.4598
2022-01,28.7434,58.7763
2022-02,37.8553,53.2596
2022-03,45.7274,58.2953
2022-04,31.4573,52.2757
2022-05,31.5453,51.0659
2022-06,6.1725,38.0304
2022-07,8.6638,50.1558
2022-08,-5.3921,43.3725
2022-09,-9.5009,29.6913
2022-10,-14.9941,39.7003
2022-11,-16.742,46.8631
2022-12,-22.2416,40.5677
2023-01,-13.9445,48.7988
2023-02,-17.6184,45.5387
2023-03,-15.2905,49.6635
2023-04,-16.2976,48.4614
2023-05,-23.8613,48.1923
2023-06,-8.0714,57.2072
2023-07,6.4593,61.7125
2023-08,6.6046,59.5229
2023-09,-3.5336,51.3631
2023-10,-14.5166,47.5518
2023-11,-9.0295,60.474
2023-12,13.6788,67.125
2024-01,7.5537,69.1001
2024-02,4.5938,77.1309
2024-03,7.0571,83.2841
2024-04,-5.5831,75.177
2024-05,-7.3545,83.1784
2024-06,-1.4281,90.182
2024-07,13.7965,90.9416
2024-08,15.5015,97.1965
2024-09,18.375,98.31
2024-10,22.2994,95.5089
2024-11,23.8404,105.9957
2024-12,13.5948,100.2436
2025-01,13.0169,104.6582
2025-02,9.4864,101.1287
2025-03,5.1505,89.045
2025-04,-0.2056,88.6819
2025-05,5.4191,99.6712
2025-06,11.152,109.046
2025-07,4.8662,112.823
2025-08,16.3035,112.1707
2025-09,20.1843,118.6779
2025-10,14.9878,122.8639
2025-11,16.7349,122.3204
2025-12,9.8636,121.4705
2026-01,6.2584,123.6468
2026-02,-5.4382,120.852
