Date,rate_J_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.7488,-3.7423
2016-03,-2.1163,0.3764
2016-04,8.7444,5.1946
2016-05,8.5296,3.5695
2016-06,21.8971,4.8356
2016-07,15.5819,4.3651
2016-08,21.8867,7.2005
2016-09,15.8865,6.5176
2016-10,13.4304,5.8316
2016-11,9.9754,2.6321
2016-12,32.44,6.5262
2017-01,19.9824,8.6002
2017-02,22.2609,9.8701
2017-03,18.3054,14.9815
2017-04,12.4796,12.5254
2017-05,10.1578,13.1716
2017-06,7.2235,14.581
2017-07,9.1851,14.626
2017-08,6.4182,16.4591
2017-09,10.1367,15.9061
2017-10,15.8942,17.2911
2017-11,15.5032,19.4181
2017-12,28.9486,21.7575
2018-01,28.7139,22.6249
2018-02,35.4131,28.3844
2018-03,13.8884,21.0506
2018-04,13.0071,18.8566
2018-05,11.093,18.843
2018-06,24.3013,22.0592
2018-07,19.8629,20.962
2018-08,25.9037,24.4135
2018-09,35.8932,27.7869
2018-10,43.1844,28.1445
2018-11,39.0935,19.3954
2018-12,19.962,19.8359
2019-01,6.2951,8.7501
2019-02,18.7023,17.203
2019-03,34.0975,21.2677
2019-04,38.7824,23.6016
2019-05,38.6862,25.5902
2019-06,33.959,17.8911
2019-07,49.9658,26.7327
2019-08,41.6773,25.8061
2019-09,55.2072,24.2046
2019-10,55.1219,24.595
2019-11,65.4758,29.5299
2019-12,57.2828,32.3145
2020-01,52.2567,35.5516
2020-02,56.0522,34.7733
2020-03,54.6107,23.2161
2020-04,31.7228,2.6957
2020-05,33.6926,17.923
2020-06,40.4671,27.1545
2020-07,37.7616,29.2791
2020-08,39.7526,35.3897
2020-09,48.9616,45.4969
2020-10,48.4248,38.8421
2020-11,53.3171,33.8054
2020-12,74.4393,49.4413
2021-01,73.5633,52.4925
2021-02,60.8084,52.5474
2021-03,81.4118,57.1165
2021-04,103.2148,62.2404
2021-05,107.2786,68.0147
2021-06,119.3699,67.9506
2021-07,105.3004,71.7835
2021-08,105.4716,73.9065
2021-09,103.1197,78.108
2021-10,101.534,70.559
2021-11,109.3834,79.7147
2021-12,104.9903,74.8714
2022-01,104.1906,83.8439
2022-02,89.4805,74.2485
2022-03,78.329,64.4857
2022-04,101.1638,72.8765
2022-05,98.3567,56.3809
2022-06,97.8462,54.7432
2022-07,78.95,43.9638
2022-08,82.6656,54.5402
2022-09,72.9783,48.4061
2022-10,51.6669,33.808
2022-11,59.3743,43.6413
2022-12,72.5999,51.6237
2023-01,65.5705,42.3283
2023-02,71.784,52.4008
2023-03,63.3951,45.8599
2023-04,60.1303,52.4428
2023-05,57.899,54.1535
2023-06,50.0991,55.8684
2023-07,60.4307,63.7729
2023-08,70.4085,67.9151
2023-09,81.4785,65.3142
2023-10,82.0954,56.4671
2023-11,73.149,54.158
2023-12,71.583,66.8181
2024-01,71.1528,72.7134
2024-02,79.8057,77.0248
2024-03,92.0078,84.7703
2024-04,97.0848,89.0895
2024-05,85.6868,80.3005
2024-06,80.242,89.1407
2024-07,78.1146,96.817
2024-08,86.7552,94.9948
2024-09,93.779,101.4737
2024-10,102.0993,104.2286
2024-11,113.9584,104.0979
2024-12,115.346,114.1559
2025-01,102.731,108.1307
2025-02,111.6188,112.719
2025-03,93.9809,109.0154
2025-04,83.8907,97.097
2025-05,86.624,95.2965
2025-06,92.6685,105.2137
2025-07,101.4986,114.7559
2025-08,110.3397,115.142
2025-09,121.5973,122.2543
2025-10,129.9976,129.8729
2025-11,133.8786,133.4127
2025-12,98.4396,131.7276
2026-01,97.5291,131.8756
2026-02,103.898,131.1612
