Date,rate_CMI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.2651,-0.6039
2016-03,16.562,5.2168
2016-04,19.3471,3.9893
2016-05,13.9095,4.6886
2016-06,9.5943,4.1237
2016-07,17.9767,7.1795
2016-08,19.3891,6.3603
2016-09,19.5393,5.6281
2016-10,17.2571,3.196
2016-11,29.5325,6.7601
2016-12,22.4108,8.3626
2017-01,31.6306,10.2536
2017-02,31.3379,13.6522
2017-03,31.1854,12.7005
2017-04,28.9187,12.9818
2017-05,33.5882,13.693
2017-06,35.2076,13.5288
2017-07,37.8251,15.0481
2017-08,30.1589,14.5515
2017-09,35.587,16.1037
2017-10,40.8689,17.9557
2017-11,32.4927,20.6805
2017-12,38.3589,21.3029
2018-01,47.2493,28.0338
2018-02,30.7834,22.1441
2018-03,25.0639,18.3021
2018-04,22.4622,18.0902
2018-05,9.3152,20.2208
2018-06,1.7446,20.3415
2018-07,9.1624,23.8746
2018-08,9.0116,27.0072
2018-09,12.2568,27.7347
2018-10,4.6131,18.1437
2018-11,16.1594,19.7418
2018-12,2.3145,8.5778
2019-01,12.6007,17.1263
2019-02,18.4087,20.3748
2019-03,20.7414,22.0514
2019-04,26.4626,26.2651
2019-05,14.8964,17.5943
2019-06,30.0459,25.308
2019-07,23.7056,26.4355
2019-08,13.1008,23.7232
2019-09,23.1508,26.1617
2019-10,30.0749,28.2707
2019-11,38.04,32.1761
2019-12,34.2478,35.3247
2020-01,20.0274,35.2749
2020-02,14.028,23.5454
2020-03,1.6536,7.7105
2020-04,22.827,21.425
2020-05,27.9434,26.7132
2020-06,30.086,28.4357
2020-07,44.4286,35.3124
2020-08,54.8631,43.9511
2020-09,56.6186,37.6938
2020-10,61.9894,33.4637
2020-11,69.9747,47.2943
2020-12,65.7048,51.8455
2021-01,71.0457,50.305
2021-02,84.3229,53.4604
2021-03,86.9618,59.4101
2021-04,80.3885,66.6882
2021-05,83.6527,66.6274
2021-06,72.6556,69.2184
2021-07,63.2313,72.1455
2021-08,65.9325,75.992
2021-09,56.8928,66.6118
2021-10,66.5599,77.1553
2021-11,45.7432,74.6519
2021-12,50.8299,81.397
2022-01,51.9253,70.7122
2022-02,40.6415,64.6001
2022-03,40.8055,69.8532
2022-04,29.3692,54.0273
2022-05,43.4401,53.6333
2022-06,32.2033,40.2902
2022-07,50.649,52.5094
2022-08,47.011,45.531
2022-09,38.3234,31.5965
2022-10,65.4809,41.7445
2022-11,70.1281,48.9584
2022-12,63.2562,39.838
2023-01,68.1335,48.5632
2023-02,63.974,44.2258
2023-03,60.2718,48.9578
2023-04,56.9504,50.6836
2023-05,36.9422,50.7741
2023-06,63.6367,59.884
2023-07,73.2311,64.3798
2023-08,53.1194,60.953
2023-09,51.3748,52.6248
2023-10,42.7685,48.7132
2023-11,48.5329,61.6976
2023-12,58.1082,68.3392
2024-01,57.9302,71.0275
2024-02,77.5923,79.0476
2024-03,93.8321,83.99
2024-04,84.8457,75.7344
2024-05,84.5124,83.6813
2024-06,80.52,89.2836
2024-07,89.3078,90.5002
2024-08,103.0582,94.0822
2024-09,110.1174,98.2932
2024-10,112.2911,95.412
2024-11,141.8322,105.8418
2024-12,123.4164,99.9875
2025-01,128.3186,105.351
2025-02,135.7852,101.7087
2025-03,99.6753,89.4719
2025-04,86.2548,87.0451
2025-05,103.9731,97.8575
2025-06,106.7807,107.0685
2025-07,130.9338,110.7404
2025-08,150.2201,114.0337
2025-09,165.1707,121.6081
2025-10,173.1388,125.7153
2025-11,210.1192,125.0226
2025-12,215.8836,124.0393
2026-01,258.1717,127.2713
2026-02,144.6075,125.3185
