Date,rate_AMAT_5D,rate_VOO_20D
2016-01,4.1461,1.4254
2016-02,4.3484,0.6142
2016-03,14.443,6.1243
2016-04,6.8226,4.6014
2016-05,26.8424,5.2878
2016-06,20.1678,4.687
2016-07,28.8536,7.7174
2016-08,42.1406,6.8637
2016-09,38.6613,5.9421
2016-10,30.5859,3.4868
2016-11,42.0394,6.843
2016-12,38.7932,8.2789
2017-01,41.0174,9.3935
2017-02,47.4495,12.821
2017-03,54.8324,12.0413
2017-04,57.8943,12.4367
2017-05,74.7442,13.2406
2017-06,54.1529,14.1802
2017-07,61.7014,15.6892
2017-08,61.9187,15.2834
2017-09,83.5244,16.8657
2017-10,94.6977,18.7799
2017-11,78.6757,21.509
2017-12,69.9268,22.1709
2018-01,75.1726,27.9258
2018-02,78.558,22.2578
2018-03,76.6295,18.4465
2018-04,55.1359,18.162
2018-05,57.1907,20.337
2018-06,41.1606,20.5057
2018-07,47.2205,24.0401
2018-08,29.5652,27.2093
2018-09,15.5959,27.1082
2018-10,-2.0373,17.9327
2018-11,12.1716,19.5577
2018-12,-1.7889,8.5722
2019-01,17.2785,16.8959
2019-02,15.1918,20.2219
2019-03,18.7022,21.9603
2019-04,31.2798,26.2654
2019-05,14.5213,20.4953
2019-06,27.7319,25.3574
2019-07,39.6737,26.514
2019-08,36.5298,24.0717
2019-09,39.9322,25.9454
2019-10,47.314,27.4086
2019-11,56.6199,31.384
2019-12,63.8255,34.5804
2020-01,54.3337,33.8021
2020-02,57.9896,22.3336
2020-03,48.193,15.1867
2020-04,55.9793,29.6272
2020-05,65.1941,28.2305
2020-06,61.3735,28.0341
2020-07,62.2993,33.4885
2020-08,55.9318,42.106
2020-09,59.8919,38.2475
2020-10,63.5326,34.0563
2020-11,106.4377,42.9575
2020-12,116.6712,47.5016
2021-01,143.9154,45.1166
2021-02,160.9527,43.0879
2021-03,191.0982,49.8512
2021-04,186.1047,56.911
2021-05,182.3302,54.6413
2021-06,188.2205,57.2758
2021-07,180.506,60.2291
2021-08,168.7987,64.0213
2021-09,153.7507,55.5224
2021-10,161.1797,65.5435
2021-11,184.8704,65.5034
2021-12,175.2654,68.4598
2022-01,145.3655,58.7763
2022-02,136.3175,53.2596
2022-03,121.8916,58.2953
2022-04,84.5849,52.2757
2022-05,84.0381,51.0659
2022-06,41.9374,38.0304
2022-07,58.8135,50.1558
2022-08,40.6969,43.3725
2022-09,22.065,29.6913
2022-10,31.1749,39.7003
2022-11,56.5853,46.8631
2022-12,52.368,40.5677
2023-01,65.9566,48.7988
2023-02,61.4711,45.5387
2023-03,63.3571,49.6635
2023-04,51.641,48.4614
2023-05,78.5981,48.1923
2023-06,92.6907,57.2072
2023-07,96.0585,61.7125
2023-08,93.6463,59.5229
2023-09,74.5848,51.3631
2023-10,66.1319,47.5518
2023-11,87.9797,60.474
2023-12,102.3151,67.125
2024-01,104.0764,69.1001
2024-02,149.4516,77.1309
2024-03,145.8063,83.2841
2024-04,132.0674,75.177
2024-05,150.3571,83.1784
2024-06,173.0396,90.182
2024-07,143.8069,90.9416
2024-08,141.4274,97.1965
2024-09,143.3291,98.31
2024-10,121.177,95.5089
2024-11,107.0089,105.9957
2024-12,91.7645,100.2436
2025-01,111.7167,104.6582
2025-02,85.1211,101.1287
2025-03,69.2701,89.045
2025-04,75.1515,88.6819
2025-05,82.0033,99.6712
2025-06,99.9215,109.046
2025-07,105.1023,112.823
2025-08,78.7763,112.1707
2025-09,126.8265,118.6779
2025-10,156.9646,122.8639
2025-11,177.1344,122.3204
2025-12,180.8289,121.4705
2026-01,250.2974,123.6468
2026-02,271.0841,120.852
