Date,rate_WRB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.4593,-1.8027
2016-03,8.0798,4.5695
2016-04,5.4491,3.6217
2016-05,6.2755,4.6859
2016-06,10.5412,4.2011
2016-07,5.984,7.3141
2016-08,7.3772,6.5393
2016-09,7.2049,5.8417
2016-10,5.267,3.4057
2016-11,14.4409,7.0013
2016-12,21.7909,8.6582
2017-01,21.3767,9.9058
2017-02,26.6429,13.4199
2017-03,24.0795,12.5861
2017-04,17.9811,12.9516
2017-05,18.6695,13.7442
2017-06,19.0138,14.6714
2017-07,17.6711,16.2352
2017-08,12.8234,15.7466
2017-09,12.4068,17.3266
2017-10,14.9231,19.2474
2017-11,16.2408,22.0133
2017-12,19.7564,22.6523
2018-01,21.1714,28.4864
2018-02,12.7585,22.6807
2018-03,19.3997,18.8927
2018-04,21.74,18.6249
2018-05,24.0665,20.8091
2018-06,19.1186,20.9812
2018-07,24.0565,24.5763
2018-08,27.2847,27.7899
2018-09,30.2032,27.6747
2018-10,22.8689,18.1983
2018-11,27.8986,19.8597
2018-12,19.2705,8.8011
2019-01,23.532,17.1215
2019-02,33.6948,20.4441
2019-03,34.4914,22.1999
2019-04,45.0174,26.5012
2019-05,46.0314,17.9266
2019-06,55.0391,25.7011
2019-07,61.7912,26.9004
2019-08,64.7033,24.2426
2019-09,65.5091,26.142
2019-10,58.8292,28.3311
2019-11,55.248,32.3256
2019-12,56.5853,35.5485
2020-01,65.3875,34.7719
2020-02,49.8343,23.2511
2020-03,15.6948,7.5779
2020-04,19.5135,21.2186
2020-05,27.9543,26.5774
2020-06,25.9865,28.3766
2020-07,35.2857,35.3325
2020-08,35.3092,44.0777
2020-09,32.7219,37.914
2020-10,29.9437,33.7633
2020-11,40.211,47.7098
2020-12,42.2407,52.3667
2021-01,32.4363,49.9654
2021-02,47.1394,53.2453
2021-03,59.0714,60.4049
2021-04,67.2872,67.83
2021-05,62.6465,67.8968
2021-06,55.6319,70.6358
2021-07,52.1266,73.7106
2021-08,55.7828,77.7187
2021-09,50.5977,68.3779
2021-10,62.9847,79.119
2021-11,56.0676,76.6949
2021-12,69.236,83.6042
2022-01,72.5914,72.9303
2022-02,83.3601,66.8181
2022-03,101.6148,72.1992
2022-04,99.9634,56.2223
2022-05,112.5208,55.8933
2022-06,107.9131,42.4002
2022-07,89.1173,54.8512
2022-08,94.8469,47.8158
2022-09,93.0154,33.7039
2022-10,120.9783,44.0824
2022-11,125.11,51.4429
2022-12,112.7651,42.1877
2023-01,105.8179,50.5828
2023-02,93.1093,46.2373
2023-03,80.6287,52.2586
2023-04,70.077,54.0684
2023-05,59.9719,54.1996
2023-06,70.373,63.548
2023-07,75.6604,68.1942
2023-08,75.3194,64.7317
2023-09,84.2522,56.2636
2023-10,94.692,52.2886
2023-11,108.415,65.5989
2023-12,107.2753,72.448
2024-01,138.6778,74.4576
2024-02,142.2655,82.7177
2024-03,154.7761,89.0282
2024-04,120.412,80.6052
2024-05,130.7652,88.8335
2024-06,124.303,96.0415
2024-07,134.7558,97.3583
2024-08,152.8097,101.128
2024-09,140.2437,105.7758
2024-10,140.7501,102.865
2024-11,170.3216,113.7798
2024-12,146.0665,107.7813
2025-01,146.0198,112.3595
2025-02,162.3607,108.6721
2025-03,194.3026,96.0839
2025-04,194.7574,93.6359
2025-05,205.2977,104.9003
2025-06,200.9382,114.5225
2025-07,180.2473,118.4064
2025-08,190.3468,121.8959
2025-09,208.5663,128.6764
2025-10,185.6787,133.0211
2025-11,209.3957,132.409
2025-12,182.0502,131.4906
2026-01,174.3827,133.7386
2026-02,185.3643,130.7823
2026-03,168.6627,126.4154
