Date,rate_XLRE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.6259,-1.8027
2016-03,9.8175,4.5695
2016-04,4.7097,3.6217
2016-05,5.5491,4.6859
2016-06,12.7482,4.2011
2016-07,14.5093,7.3141
2016-08,8.4523,6.5393
2016-09,6.129,5.8417
2016-10,-0.3268,3.4057
2016-11,-3.1395,7.0013
2016-12,4.9896,8.6582
2017-01,4.4651,9.9058
2017-02,9.0676,13.4199
2017-03,8.6613,12.5861
2017-04,8.2886,12.9516
2017-05,8.4772,13.7442
2017-06,11.9,14.6714
2017-07,12.6155,16.2352
2017-08,13.0947,15.7466
2017-09,12.5666,17.3266
2017-10,12.8946,19.2474
2017-11,15.6175,22.0133
2017-12,16.9676,22.6523
2018-01,14.0652,28.4864
2018-02,5.8713,22.6807
2018-03,10.9942,18.8927
2018-04,9.9245,18.6249
2018-05,12.0014,20.8091
2018-06,18.425,20.9812
2018-07,19.0508,24.5763
2018-08,21.2972,27.7899
2018-09,19.9752,27.6747
2018-10,17.5322,18.1983
2018-11,23.432,19.8597
2018-12,16.4676,8.8011
2019-01,28.4655,17.1215
2019-02,29.1444,20.4441
2019-03,36.2405,22.1999
2019-04,34.6374,26.5012
2019-05,35.4248,17.9266
2019-06,39.0373,25.7011
2019-07,40.5391,26.9004
2019-08,46.3215,24.2426
2019-09,48.6944,26.142
2019-10,47.6391,28.3311
2019-11,44.0975,32.3256
2019-12,47.8371,35.5485
2020-01,48.9809,34.7719
2020-02,38.8024,23.2511
2020-03,17.092,7.5779
2020-04,27.933,21.2186
2020-05,30.2077,26.5774
2020-06,31.2194,28.3766
2020-07,36.01,35.3325
2020-08,35.3296,44.0777
2020-09,31.8653,37.914
2020-10,27.1088,33.7633
2020-11,35.3562,47.7098
2020-12,36.6863,52.3667
2021-01,36.8268,49.9654
2021-02,38.3435,53.2453
2021-03,47.0654,60.4049
2021-04,58.4234,67.83
2021-05,59.3278,67.8968
2021-06,63.3611,70.6358
2021-07,69.9096,73.7106
2021-08,73.6112,77.7187
2021-09,61.7836,68.3779
2021-10,73.0603,79.119
2021-11,70.4824,76.6949
2021-12,86.8433,83.6042
2022-01,69.6459,72.9303
2022-02,60.6307,66.8181
2022-03,72.2916,72.1992
2022-04,65.2027,56.2223
2022-05,55.9672,55.8933
2022-06,44.5718,42.4002
2022-07,56.2153,54.8512
2022-08,46.7966,47.8158
2022-09,27.0957,33.7039
2022-10,29.2963,44.0824
2022-11,37.7484,51.4429
2022-12,30.6967,42.1877
2023-01,43.2388,50.5828
2023-02,34.3672,46.2373
2023-03,31.9795,52.2586
2023-04,32.9169,54.0684
2023-05,26.5588,54.1996
2023-06,33.2949,63.548
2023-07,34.6898,68.1942
2023-08,30.2032,64.7317
2023-09,20.5582,56.2636
2023-10,16.9156,52.2886
2023-11,31.2827,65.5989
2023-12,42.3583,72.448
2024-01,35.0875,74.4576
2024-02,38.1714,82.7177
2024-03,40.1823,89.0282
2024-04,28.0097,80.6052
2024-05,34.2916,88.8335
2024-06,36.583,96.0415
2024-07,46.1033,97.3583
2024-08,53.983,101.128
2024-09,58.5073,105.7758
2024-10,52.7718,102.865
2024-11,58.6288,113.7798
2024-12,44.4103,107.7813
2025-01,46.6545,112.3595
2025-02,52.3326,108.6721
2025-03,48.2183,96.0839
2025-04,45.8448,93.6359
2025-05,46.9495,104.9003
2025-06,46.7657,114.5225
2025-07,46.3078,118.4064
2025-08,49.0797,121.8959
2025-09,49.1412,128.6764
2025-10,44.3853,133.0211
2025-11,46.7215,132.409
2025-12,43.2416,131.4906
2026-01,46.7038,133.7386
2026-02,54.8251,130.7823
2026-03,44.7416,117.6098
2026-04,56.9878,139.3863
2026-05,55.0888,150.8374
2026-06,56.1439,146.5232
2026-07,59.3678,145.3136
2026-08,59.82,149.574
