Date,rate_CNC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-10.7693,-0.6039
2016-03,-0.8306,5.2168
2016-04,-0.2105,3.9893
2016-05,0.0638,4.6886
2016-06,14.0958,4.1237
2016-07,10.7441,7.1795
2016-08,6.0364,6.3603
2016-09,3.4177,5.6281
2016-10,-3.3123,3.196
2016-11,-10.4981,6.7601
2016-12,-11.4668,8.3626
2017-01,-0.8762,10.2536
2017-02,10.3598,13.6522
2017-03,10.5778,12.7005
2017-04,14.6365,12.9818
2017-05,10.9163,13.693
2017-06,21.0178,13.5288
2017-07,19.1174,15.0481
2017-08,32.0131,14.5515
2017-09,42.0228,16.1037
2017-10,35.5093,17.9557
2017-11,45.7476,20.6805
2017-12,42.0767,21.3029
2018-01,51.0222,28.0338
2018-02,40.8201,22.1441
2018-03,46.7091,18.3021
2018-04,47.2342,18.0902
2018-05,56.948,20.2208
2018-06,62.8785,20.3415
2018-07,69.9503,23.8746
2018-08,88.293,27.0072
2018-09,86.1085,27.7347
2018-10,65.0187,18.1437
2018-11,77.8627,19.7418
2018-12,42.2011,8.5778
2019-01,61.0109,17.1263
2019-02,48.4722,20.3748
2019-03,28.2432,22.0514
2019-04,23.7004,26.2651
2019-05,37.9177,17.5943
2019-06,24.5991,25.308
2019-07,23.1837,26.4355
2019-08,9.7589,23.7232
2019-09,1.8545,26.1617
2019-10,24.9395,28.2707
2019-11,41.6906,32.1761
2019-12,46.302,35.3247
2020-01,46.1625,35.2749
2020-02,22.4934,23.5454
2020-03,36.5684,7.7105
2020-04,52.2887,21.425
2020-05,50.468,26.7132
2020-06,43.3373,28.4357
2020-07,46.1918,35.3124
2020-08,36.5785,43.9511
2020-09,29.2311,37.6938
2020-10,30.3402,33.4637
2020-11,35.2501,47.2943
2020-12,31.0179,51.8455
2021-01,31.6069,50.305
2021-02,27.2206,53.4604
2021-03,38.3219,59.4101
2021-04,32.9875,66.6882
2021-05,57.8085,66.6274
2021-06,55.4002,69.2184
2021-07,45.3091,72.1455
2021-08,32.6685,75.992
2021-09,30.7356,66.6118
2021-10,48.8747,77.1553
2021-11,48.4456,74.6519
2021-12,70.4431,81.397
2022-01,59.8307,70.7122
2022-02,68.8763,64.6001
2022-03,71.0352,69.8532
2022-04,62.6267,54.0273
2022-05,63.5372,53.6333
2022-06,68.9659,40.2902
2022-07,84.5665,52.5094
2022-08,77.0404,45.531
2022-09,52.5778,31.5965
2022-10,66.1142,41.7445
2022-11,68.9512,48.9584
2022-12,58.3407,39.838
2023-01,47.2054,48.5632
2023-02,31.5454,44.2258
2023-03,21.1911,48.9578
2023-04,31.83,50.6836
2023-05,19.0084,50.7741
2023-06,28.3065,59.884
2023-07,29.1745,64.3798
2023-08,16.6403,60.953
2023-09,30.0978,52.6248
2023-10,29.9236,48.7132
2023-11,38.3952,61.6976
2023-12,38.9276,68.3392
2024-01,40.9863,71.0275
2024-02,46.3398,79.0476
2024-03,45.9187,83.99
2024-04,35.3771,75.7344
2024-05,32.2842,83.6813
2024-06,22.1948,89.2836
2024-07,41.5034,90.5002
2024-08,44.55,94.0822
2024-09,38.0404,98.2932
2024-10,13.8551,95.412
2024-11,9.56,105.8418
2024-12,10.5142,99.9875
2025-01,16.8052,105.351
2025-02,5.9269,101.7087
2025-03,10.4964,89.4719
2025-04,8.8284,87.0451
2025-05,2.5494,97.8575
2025-06,-1.377,107.0685
2025-07,-52.6192,110.7404
2025-08,-46.6634,114.0337
2025-09,-34.4711,121.6081
2025-10,-34.7242,125.7153
2025-11,-27.0159,125.0226
2025-12,-23.3651,124.0393
2026-01,-19.3245,127.2713
2026-02,-18.4048,125.3185
