Date,rate_L_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.1595,-0.6039
2016-03,2.667,5.2168
2016-04,5.4625,3.9893
2016-05,6.1307,4.6886
2016-06,6.6198,4.1237
2016-07,6.2825,7.1795
2016-08,7.0309,6.3603
2016-09,4.5426,5.6281
2016-10,8.8321,3.196
2016-11,12.1938,6.7601
2016-12,16.4841,8.3626
2017-01,15.8633,10.2536
2017-02,15.6528,13.6522
2017-03,13.8706,12.7005
2017-04,12.554,12.9818
2017-05,12.9523,13.693
2017-06,11.2662,13.5288
2017-07,14.9591,15.0481
2017-08,9.1738,14.5515
2017-09,11.6382,16.1037
2017-10,14.8604,17.9557
2017-11,15.9342,20.6805
2017-12,14.6314,21.3029
2018-01,18.3363,28.0338
2018-02,12.2778,22.1441
2018-03,12.7272,18.3021
2018-04,18.4688,18.0902
2018-05,9.7102,20.2208
2018-06,8.0046,20.3415
2018-07,13.2802,23.8746
2018-08,11.7229,27.0072
2018-09,11.5453,27.7347
2018-10,3.034,18.1437
2018-11,6.1984,19.7418
2018-12,0.3736,8.5778
2019-01,5.6168,17.1263
2019-02,4.8115,20.3748
2019-03,5.3239,22.0514
2019-04,12.4849,26.2651
2019-05,12.3404,17.5943
2019-06,19.1694,25.308
2019-07,16.1709,26.4355
2019-08,3.957,23.7232
2019-09,11.3311,26.1617
2019-10,5.7591,28.2707
2019-11,9.662,32.1761
2019-12,12.8762,35.3247
2020-01,10.6414,35.2749
2020-02,-2.1261,23.5454
2020-03,-25.369,7.7105
2020-04,-25.052,21.425
2020-05,-27.4226,26.7132
2020-06,-24.5857,28.4357
2020-07,-19.354,35.3124
2020-08,-20.1558,43.9511
2020-09,-22.2678,37.6938
2020-10,-22.0128,33.4637
2020-11,-5.435,47.2943
2020-12,1.6478,51.8455
2021-01,2.2573,50.305
2021-02,7.8665,53.4604
2021-03,15.4636,59.4101
2021-04,25.1813,66.6882
2021-05,30.5795,66.6274
2021-06,21.7421,69.2184
2021-07,19.0906,72.1455
2021-08,23.7265,75.992
2021-09,19.0613,66.6118
2021-10,23.4206,77.1553
2021-11,17.2919,74.6519
2021-12,26.4264,81.397
2022-01,30.1524,70.7122
2022-02,33.3222,64.6001
2022-03,40.3966,69.8532
2022-04,35.5235,54.0273
2022-05,40.7317,53.6333
2022-06,26.8381,40.2902
2022-07,24.2826,52.5094
2022-08,17.7486,45.531
2022-09,5.8771,31.5965
2022-10,20.9809,41.7445
2022-11,23.1012,48.9584
2022-12,23.177,39.838
2023-01,29.8289,48.5632
2023-02,28.6385,44.2258
2023-03,21.8234,48.9578
2023-04,20.6111,50.6836
2023-05,17.0206,50.7741
2023-06,23.8468,59.884
2023-07,30.3472,64.3798
2023-08,28.8127,60.953
2023-09,30.9871,52.6248
2023-10,32.0838,48.7132
2023-11,44.6034,61.6976
2023-12,42.6604,68.3392
2024-01,49.3639,71.0275
2024-02,53.4465,79.0476
2024-03,59.2866,83.99
2024-04,52.2813,75.7344
2024-05,55.0205,83.6813
2024-06,50.2944,89.2836
2024-07,60.191,90.5002
2024-08,63.5314,94.0822
2024-09,57.7666,98.2932
2024-10,56.9772,95.412
2024-11,71.7682,105.8418
2024-12,67.0157,99.9875
2025-01,68.514,105.351
2025-02,70.2139,101.7087
2025-03,79.7459,89.4719
2025-04,69.0609,87.0451
2025-05,73.1554,97.8575
2025-06,77.0129,107.0685
2025-07,74.1088,110.7404
2025-08,85.3844,114.0337
2025-09,92.2566,121.6081
2025-10,89.8021,125.7153
2025-11,104.7252,125.0226
2025-12,98.9287,124.0393
2026-01,99.4198,127.2713
2026-02,39.0018,125.3185
