Date,rate_COST_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.2909,-3.7423
2016-03,-2.9077,0.3764
2016-04,3.0623,5.1946
2016-05,-3.9776,3.5695
2016-06,-0.3336,4.8356
2016-07,2.0522,4.3651
2016-08,9.2073,7.2005
2016-09,1.0155,6.5176
2016-10,-1.4984,5.8316
2016-11,-5.1423,2.6321
2016-12,-1.0898,6.5262
2017-01,4.4528,8.6002
2017-02,5.2404,9.8701
2017-03,15.5159,14.9815
2017-04,7.929,12.5254
2017-05,13.9424,13.1716
2017-06,19.6479,14.581
2017-07,4.961,14.626
2017-08,4.5572,16.4591
2017-09,3.6842,15.9061
2017-10,7.461,17.2911
2017-11,6.0741,19.4181
2017-12,20.7247,21.7575
2018-01,20.4977,22.6249
2018-02,24.3998,28.3844
2018-03,20.9433,21.0506
2018-04,19.7822,18.8566
2018-05,24.2033,18.843
2018-06,24.087,22.0592
2018-07,30.6912,20.962
2018-08,34.756,24.4135
2018-09,43.8673,27.7869
2018-10,43.464,28.1445
2018-11,39.1227,19.3954
2018-12,39.3544,19.8359
2019-01,21.7769,8.7501
2019-02,25.0882,17.203
2019-03,30.1889,21.2677
2019-04,44.0079,23.6016
2019-05,41.3836,25.5902
2019-06,39.5816,17.8911
2019-07,52.5071,26.7327
2019-08,57.6094,25.8061
2019-09,68.1609,24.2046
2019-10,60.5208,24.595
2019-11,66.3857,29.5299
2019-12,67.0434,32.3145
2020-01,62.3904,35.5516
2020-02,67.4737,34.7733
2020-03,53.2194,23.2161
2020-04,55.2264,2.6957
2020-05,62.6774,17.923
2020-06,64.8998,27.1545
2020-07,61.8164,29.2791
2020-08,72.0168,35.3897
2020-09,84.286,45.4969
2020-10,86.4889,38.8421
2020-11,84.9237,33.8054
2020-12,103.9741,49.4413
2021-01,96.6094,52.4925
2021-02,81.4316,52.5474
2021-03,70.8415,57.1165
2021-04,81.5676,62.2404
2021-05,89.4041,68.0147
2021-06,91.1294,67.9506
2021-07,97.9244,71.7835
2021-08,114.3781,73.9065
2021-09,125.9591,78.108
2021-10,120.1112,70.559
2021-11,139.9883,79.7147
2021-12,156.3885,74.8714
2022-01,172.3801,83.8439
2022-02,141.817,74.2485
2022-03,147.1234,64.4857
2022-04,169.8387,72.8765
2022-05,147.6337,56.3809
2022-06,111.181,54.7432
2022-07,122.9595,43.9638
2022-08,149.6376,54.5402
2022-09,139.7726,48.4061
2022-10,112.4495,33.808
2022-11,123.855,43.6413
2022-12,124.0957,51.6237
2023-01,101.6924,42.3283
2023-02,127.4661,52.4008
2023-03,109.2537,45.8599
2023-04,115.9048,52.4428
2023-05,113.17,54.1535
2023-06,120.4962,55.8684
2023-07,130.1777,63.7729
2023-08,136.0072,67.9151
2023-09,130.2212,65.3142
2023-10,137.5266,56.4671
2023-11,132.6529,54.158
2023-12,148.0639,66.8181
2024-01,179.1125,72.7134
2024-02,196.3369,77.0248
2024-03,213.1164,84.7703
2024-04,199.2617,89.0895
2024-05,198.1501,80.3005
2024-06,232.1408,89.1407
2024-07,244.4369,96.817
2024-08,231.8293,94.9948
2024-09,260.0564,101.4737
2024-10,251.5682,104.2286
2024-11,249.6278,104.0979
2024-12,285.6485,114.1559
2025-01,261.0868,108.1307
2025-02,283.5918,112.719
2025-03,309.0907,109.0154
2025-04,269.8004,97.097
2025-05,284.5745,95.2965
2025-06,299.2796,105.2137
2025-07,275.9762,114.7559
2025-08,261.3979,115.142
2025-09,256.6546,122.2543
2025-10,244.697,129.8729
2025-11,241.3936,133.4127
2025-12,240.0372,131.7276
2026-01,219.643,131.8756
2026-02,271.8979,131.1612
