Date,rate_MSCI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.8589,-0.6039
2016-03,7.0464,5.2168
2016-04,7.5953,3.9893
2016-05,11.5784,4.6886
2016-06,6.1484,4.1237
2016-07,17.3397,7.1795
2016-08,20.9452,6.3603
2016-09,10.5646,5.6281
2016-10,4.6347,3.196
2016-11,2.8429,6.7601
2016-12,2.718,8.3626
2017-01,7.879,10.2536
2017-02,22.8048,13.6522
2017-03,24.3611,12.7005
2017-04,26.6773,12.9818
2017-05,27.061,13.693
2017-06,26.853,13.5288
2017-07,32.595,15.0481
2017-08,38.0284,14.5515
2017-09,38.7768,16.1037
2017-10,37.4417,17.9557
2017-11,49.2376,20.6805
2017-12,44.6052,21.3029
2018-01,59.0607,28.0338
2018-02,59.3644,22.1441
2018-03,65.7394,18.3021
2018-04,63.6796,18.0902
2018-05,75.3778,20.2208
2018-06,75.6782,20.3415
2018-07,73.81,23.8746
2018-08,86.4866,27.0072
2018-09,83.5511,27.7347
2018-10,53.3263,18.1437
2018-11,59.0469,19.7418
2018-12,47.4687,8.5778
2019-01,70.3087,17.1263
2019-02,82.9991,20.3748
2019-03,94.2961,22.0514
2019-04,117.1397,26.2651
2019-05,109.4506,17.5943
2019-06,124.1994,25.308
2019-07,110.3233,26.4355
2019-08,114.9388,23.7232
2019-09,99.5358,26.1617
2019-10,112.3256,28.2707
2019-11,132.1295,32.1761
2019-12,128.1798,35.3247
2020-01,152.5881,35.2749
2020-02,158.0466,23.5454
2020-03,148.7691,7.7105
2020-04,178.0109,21.425
2020-05,176.3792,26.7132
2020-06,176.764,28.4357
2020-07,207.5189,35.3124
2020-08,201.8262,43.9511
2020-09,184.7052,37.6938
2020-10,175.6683,33.4637
2020-11,219.2254,47.2943
2020-12,243.6456,51.8455
2021-01,204.2744,50.305
2021-02,215.6347,53.4604
2021-03,215.3218,59.4101
2021-04,260.8468,66.6882
2021-05,243.9853,66.6274
2021-06,286.9858,69.2184
2021-07,327.2546,72.1455
2021-08,349.8823,75.992
2021-09,325.8557,66.6118
2021-10,359.7057,77.1553
2021-11,330.6174,74.6519
2021-12,314.2424,81.397
2022-01,258.3613,70.7122
2022-02,232.4598,64.6001
2022-03,229.8147,69.8532
2022-04,173.5565,54.0273
2022-05,185.2902,53.6333
2022-06,163.449,40.2902
2022-07,204.9673,52.5094
2022-08,182.81,45.531
2022-09,163.1987,31.5965
2022-10,190.0955,41.7445
2022-11,212.2461,48.9584
2022-12,183.4429,39.838
2023-01,223.8804,48.5632
2023-02,216.1386,44.2258
2023-03,235.9475,48.9578
2023-04,187.1363,50.6836
2023-05,178.595,50.7741
2023-06,175.6941,59.884
2023-07,219.4132,64.3798
2023-08,215.0214,60.953
2023-09,194.9565,52.6248
2023-10,169.0354,48.7132
2023-11,195.7468,61.6976
2023-12,218.69,68.3392
2024-01,237.2357,71.0275
2024-02,214.4192,79.0476
2024-03,211.7235,83.99
2024-04,157.1841,75.7344
2024-05,172.4383,83.6813
2024-06,163.2578,89.2836
2024-07,193.5372,90.5002
2024-08,213.8077,94.0822
2024-09,215.0688,98.2932
2024-10,206.5493,95.412
2024-11,225.7043,105.8418
2024-12,218.2993,99.9875
2025-01,216.5834,105.351
2025-02,212.0716,101.7087
2025-03,196.8421,89.4719
2025-04,184.265,87.0451
2025-05,193.1717,97.8575
2025-06,197.8451,107.0685
2025-07,188.0461,110.7404
2025-08,190.4151,114.0337
2025-09,190.2572,121.6081
2025-10,199.226,125.7153
2025-11,185.7499,125.0226
2025-12,189.0767,124.0393
2026-01,206.9532,127.2713
2026-02,189.6338,125.3185
