Date,rate_EBAY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.5116,-3.7423
2016-03,-3.5731,0.3764
2016-04,-3.9043,5.1946
2016-05,-0.718,3.5695
2016-06,-2.0592,4.8356
2016-07,-2.9166,4.3651
2016-08,28.1089,7.2005
2016-09,28.0911,6.5176
2016-10,27.9534,5.8316
2016-11,7.9545,2.6321
2016-12,3.4819,6.5262
2017-01,11.848,8.6002
2017-02,20.2322,9.8701
2017-03,26.4943,14.9815
2017-04,22.1738,12.5254
2017-05,19.8462,13.1716
2017-06,23.9457,14.581
2017-07,23.068,14.626
2017-08,25.3031,16.4591
2017-09,25.5527,15.9061
2017-10,31.5482,17.2911
2017-11,26.9973,19.4181
2017-12,17.9764,21.7575
2018-01,25.6819,22.6249
2018-02,52.56,28.3844
2018-03,37.7592,21.0506
2018-04,29.8085,18.8566
2018-05,21.03,18.843
2018-06,21.9232,22.0592
2018-07,14.6144,20.962
2018-08,4.1612,24.4135
2018-09,8.8066,27.7869
2018-10,1.9511,28.1445
2018-11,-7.4803,19.3954
2018-12,-6.2328,19.8359
2019-01,-11.6641,8.7501
2019-02,8.3552,17.203
2019-03,18.1549,21.2677
2019-04,18.7262,23.6016
2019-05,18.6321,25.5902
2019-06,12.7667,17.8911
2019-07,24.8546,26.7327
2019-08,28.0439,25.8061
2019-09,26.1954,24.2046
2019-10,20.5904,24.595
2019-11,9.8843,29.5299
2019-12,11.8186,32.3145
2020-01,13.4222,35.5516
2020-02,5.1562,34.7733
2020-03,9.9342,23.2161
2020-04,-8.8279,2.6957
2020-05,24.5689,17.923
2020-06,44.4343,27.1545
2020-07,68.263,29.2791
2020-08,74.3366,35.3897
2020-09,68.4068,45.4969
2020-10,63.2464,38.8421
2020-11,47.4495,33.8054
2020-12,56.0339,49.4413
2021-01,54.269,52.4925
2021-02,78.4675,52.5474
2021-03,78.8671,57.1165
2021-04,91.674,62.2404
2021-05,68.1745,68.0147
2021-06,85.9964,67.9506
2021-07,110.0594,71.7835
2021-08,103.6677,73.9065
2021-09,126.2055,78.108
2021-10,105.9884,70.559
2021-11,123.1623,79.7147
2021-12,94.4082,74.8714
2022-01,92.1991,83.8439
2022-02,73.6501,74.2485
2022-03,55.154,64.4857
2022-04,64.5887,72.8765
2022-05,47.3093,56.3809
2022-06,33.3296,54.7432
2022-07,21.3561,43.9638
2022-08,38.1645,54.5402
2022-09,26.5734,48.4061
2022-10,3.7977,33.808
2022-11,12.2058,43.6413
2022-12,27.736,51.6237
2023-01,16.9939,42.3283
2023-02,41.9425,52.4008
2023-03,28.4029,45.8599
2023-04,24.9119,52.4428
2023-05,28.2503,54.1535
2023-06,21.9078,55.8684
2023-07,25.6843,63.7729
2023-08,22.2301,67.9151
2023-09,27.0002,65.3142
2023-10,23.8705,56.4671
2023-11,8.5316,54.158
2023-12,17.6012,66.8181
2024-01,22.734,72.7134
2024-02,17.1066,77.0248
2024-03,34.7371,84.7703
2024-04,48.453,89.0895
2024-05,44.54,80.3005
2024-06,54.5399,89.1407
2024-07,50.3955,96.817
2024-08,60.0063,94.9948
2024-09,69.8622,101.4737
2024-10,89.2335,104.2286
2024-11,66.2971,104.0979
2024-12,82.7546,114.1559
2025-01,78.1321,108.1307
2025-02,93.2513,112.719
2025-03,84.5902,109.0154
2025-04,94.9864,97.097
2025-05,93.7627,95.2965
2025-06,111.0934,105.2137
2025-07,118.5294,114.7559
2025-08,162.1978,115.142
2025-09,160.8839,122.2543
2025-10,150.8269,129.8729
2025-11,131.6823,133.4127
2025-12,137.0688,131.7276
2026-01,148.3853,131.8756
2026-02,105.7596,120.852
