Date,rate_INTC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.555,-1.8027
2016-03,2.8177,4.5695
2016-04,-4.4852,3.6217
2016-05,1.4042,4.6859
2016-06,4.9842,4.2011
2016-07,10.827,7.3141
2016-08,13.5243,6.5393
2016-09,17.7658,5.8417
2016-10,7.1764,3.4057
2016-11,6.8939,7.0013
2016-12,11.384,8.6582
2017-01,12.1795,9.9058
2017-02,11.8527,13.4199
2017-03,10.7282,12.5861
2017-04,10.3012,12.9516
2017-05,10.3746,13.7442
2017-06,2.6068,14.6714
2017-07,7.7141,16.2352
2017-08,6.8267,15.7466
2017-09,15.6277,17.3266
2017-10,37.2484,19.2474
2017-11,34.3963,22.0133
2017-12,36.8907,22.6523
2018-01,41.2126,28.4864
2018-02,43.8665,22.6807
2018-03,50.4301,18.8927
2018-04,47.318,18.6249
2018-05,58.1955,20.8091
2018-06,40.5651,20.9812
2018-07,34.7537,24.5763
2018-08,35.3692,27.7899
2018-09,31.1391,27.6747
2018-10,29.1477,18.1983
2018-11,35.6912,19.8597
2018-12,28.2069,8.8011
2019-01,27.9599,17.1215
2019-02,43.7256,20.4441
2019-03,44.5721,22.1999
2019-04,36.3258,26.5012
2019-05,17.73,17.9266
2019-06,27.493,25.7011
2019-07,33.9375,26.9004
2019-08,25.779,24.2426
2019-09,36.0729,26.142
2019-10,48.4417,28.3311
2019-11,52.1906,32.3256
2019-12,55.7825,35.5485
2020-01,65.177,34.7719
2020-02,43.1888,23.2511
2020-03,38.7559,7.5779
2020-04,53.0242,21.2186
2020-05,60.4203,26.5774
2020-06,51.5043,28.3766
2020-07,20.1734,35.3325
2020-08,28.7135,44.0777
2020-09,30.3036,37.914
2020-10,10.9902,33.7633
2020-11,21.8039,47.7098
2020-12,25.0664,52.3667
2021-01,38.8805,49.9654
2021-02,52.1935,53.2453
2021-03,59.2899,60.4049
2021-04,42.3576,67.83
2021-05,41.5535,67.8968
2021-06,38.5169,70.6358
2021-07,32.0038,73.7106
2021-08,33.2157,77.7187
2021-09,30.8366,68.3779
2021-10,19.9196,79.119
2021-11,20.9596,76.6949
2021-12,26.3301,83.6042
2022-01,19.4199,72.9303
2022-02,19.093,66.8181
2022-03,23.5435,72.1992
2022-04,8.4412,56.2223
2022-05,11.2973,55.8933
2022-06,-6.358,42.4002
2022-07,-8.9937,54.8512
2022-08,-18.9859,47.8158
2022-09,-34.3747,33.7039
2022-10,-27.1498,44.0824
2022-11,-19.7886,51.4429
2022-12,-29.2522,42.1877
2023-01,-23.9929,50.5828
2023-02,-31.7342,46.2373
2023-03,-10.1412,52.2586
2023-04,-14.4535,54.0684
2023-05,-12.871,54.1996
2023-06,-7.1695,63.548
2023-07,-0.6256,68.1942
2023-08,-1.3273,64.7317
2023-09,-0.249,56.2636
2023-10,2.4166,52.2886
2023-11,25.6884,65.5989
2023-12,41.0145,72.448
2024-01,20.5452,74.4576
2024-02,20.5941,82.7177
2024-03,23.4905,89.0282
2024-04,-14.9481,80.6052
2024-05,-13.3869,88.8335
2024-06,-12.9191,96.0415
2024-07,-13.4364,97.3583
2024-08,-37.4186,101.128
2024-09,-33.0149,105.7758
2024-10,-38.2298,102.865
2024-11,-30.6574,113.7798
2024-12,-41.9366,107.7813
2025-01,-43.3561,112.3595
2025-02,-30.3629,108.6721
2025-03,-33.0897,96.0839
2025-04,-40.4812,93.6359
2025-05,-41.7531,104.9003
2025-06,-32.8568,114.5225
2025-07,-40.3993,118.4064
2025-08,-26.2731,121.8959
2025-09,1.8502,128.6764
2025-10,21.2943,133.0211
2025-11,22.8402,132.409
2025-12,11.602,131.4906
2026-01,40.398,133.7386
2026-02,37.477,130.7823
2026-03,44.2939,126.4154
