Date,rate_CIBR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.0534,-1.8027
2016-03,3.1463,4.5695
2016-04,1.4412,3.6217
2016-05,4.813,4.6859
2016-06,2.6044,4.2011
2016-07,9.1682,7.3141
2016-08,10.5697,6.5393
2016-09,15.2797,5.8417
2016-10,11.6317,3.4057
2016-11,13.4482,7.0013
2016-12,10.1797,8.6582
2017-01,16.4709,9.9058
2017-02,18.6688,13.4199
2017-03,19.2545,12.5861
2017-04,16.1501,12.9516
2017-05,17.4337,13.7442
2017-06,15.2377,14.6714
2017-07,12.9516,16.2352
2017-08,13.6969,15.7466
2017-09,14.5818,17.3266
2017-10,16.4171,19.2474
2017-11,16.9744,22.0133
2017-12,19.0767,22.6523
2018-01,23.4727,28.4864
2018-02,26.3942,22.6807
2018-03,26.3117,18.8927
2018-04,29.3192,18.6249
2018-05,31.3699,20.8091
2018-06,29.7984,20.9812
2018-07,27.6666,24.5763
2018-08,39.0295,27.7899
2018-09,37.1739,27.6747
2018-10,19.0018,18.1983
2018-11,20.8717,19.8597
2018-12,10.7057,8.8011
2019-01,22.1396,17.1215
2019-02,32.185,20.4441
2019-03,30.9328,22.1999
2019-04,37.2161,26.5012
2019-05,24.7541,17.9266
2019-06,30.9832,25.7011
2019-07,35.1276,26.9004
2019-08,28.1783,24.2426
2019-09,24.6046,26.142
2019-10,28.2254,28.3311
2019-11,35.935,32.3256
2019-12,33.3146,35.5485
2020-01,37.497,34.7719
2020-02,24.9872,23.2511
2020-03,14.5279,7.5779
2020-04,27.6499,21.2186
2020-05,44.6302,26.5774
2020-06,45.2154,28.3766
2020-07,56.0682,35.3325
2020-08,57.8429,44.0777
2020-09,50.0595,37.914
2020-10,42.7876,33.7633
2020-11,64.5606,47.7098
2020-12,87.9995,52.3667
2021-01,84.6249,49.9654
2021-02,76.0999,53.2453
2021-03,73.2282,60.4049
2021-04,81.1487,67.83
2021-05,81.7785,67.8968
2021-06,89.7523,70.6358
2021-07,97.5926,73.7106
2021-08,106.19,77.7187
2021-09,93.4221,68.3779
2021-10,112.9093,79.119
2021-11,102.8367,76.6949
2021-12,109.5136,83.6042
2022-01,88.3173,72.9303
2022-02,96.4739,66.8181
2022-03,106.5686,72.1992
2022-04,81.3855,56.2223
2022-05,62.8288,55.8933
2022-06,53.807,42.4002
2022-07,60.3964,54.8512
2022-08,62.2501,47.8158
2022-09,45.1805,33.7039
2022-10,56.6373,44.0824
2022-11,52.5698,51.4429
2022-12,45.5475,42.1877
2023-01,51.3349,50.5828
2023-02,53.8001,46.2373
2023-03,58.8287,52.2586
2023-04,47.0704,54.0684
2023-05,62.7156,54.1996
2023-06,66.6825,63.548
2023-07,71.9384,68.1942
2023-08,71.5449,64.7317
2023-09,64.5144,56.2636
2023-10,60.8374,52.2886
2023-11,78.5743,65.5989
2023-12,94.8319,72.448
2024-01,100.58,74.4576
2024-02,106.59,82.7177
2024-03,100.918,89.0282
2024-04,91.3394,80.6052
2024-05,88.2138,88.8335
2024-06,98.1592,96.0415
2024-07,95.1733,97.3583
2024-08,106.4209,101.128
2024-09,105.0613,105.7758
2024-10,107.1832,102.865
2024-11,116.5979,113.7798
2024-12,116.473,107.7813
2025-01,129.4839,112.3595
2025-02,123.2773,108.6721
2025-03,111.7216,96.0839
2025-04,122.5504,93.6359
2025-05,139.029,104.9003
2025-06,150.5516,114.5225
2025-07,139.7333,118.4064
2025-08,140.0188,121.8959
2025-09,148.1876,128.6764
2025-10,151.1791,133.0211
2025-11,138.0537,132.409
2025-12,131.8464,131.4906
2026-01,123.0396,133.7386
2026-02,102.2705,130.7823
2026-03,101.055,117.6098
2026-04,115.4603,139.3863
2026-05,183.1436,150.8374
2026-06,184.2066,146.5232
2026-07,188.9737,145.3136
2026-08,214.9379,152.6879
