Date,rate_FDS_5D,rate_VOO_20D
2016-01,-3.552,-3.28
2016-02,-1.3275,-1.8027
2016-03,-1.0859,4.5695
2016-04,-1.5364,3.6217
2016-05,4.4164,4.6859
2016-06,5.268,4.2011
2016-07,11.3113,7.3141
2016-08,14.1402,6.5393
2016-09,2.5408,5.8417
2016-10,-2.3646,3.4057
2016-11,1.7159,7.0013
2016-12,3.6816,8.6582
2017-01,9.4661,9.9058
2017-02,12.7419,13.4199
2017-03,3.6122,12.5861
2017-04,2.3549,12.9516
2017-05,5.1386,13.7442
2017-06,5.149,14.6714
2017-07,5.5291,16.2352
2017-08,-0.6291,15.7466
2017-09,13.7825,17.3266
2017-10,19.2776,19.2474
2017-11,25.1086,22.0133
2017-12,19.6388,22.6523
2018-01,23.7373,28.4864
2018-02,24.6227,22.6807
2018-03,21.4276,18.8927
2018-04,14.4393,18.6249
2018-05,21.4732,20.8091
2018-06,18.9722,20.9812
2018-07,20.3048,24.5763
2018-08,36.7087,27.7899
2018-09,32.2572,27.6747
2018-10,31.3125,18.1983
2018-11,37.0341,19.8597
2018-12,16.1523,8.8011
2019-01,26.3656,17.1215
2019-02,35.5118,20.4441
2019-03,42.0663,22.1999
2019-04,56.6675,26.5012
2019-05,57.0248,17.9266
2019-06,60.3243,25.7011
2019-07,53.794,26.9004
2019-08,50.0978,24.2426
2019-09,33.0647,26.142
2019-10,38.1047,28.3311
2019-11,41.3648,32.3256
2019-12,45.1697,35.5485
2020-01,53.8069,34.7719
2020-02,42.4101,23.2511
2020-03,38.7562,7.5779
2020-04,45.6233,21.2186
2020-05,62.2506,26.5774
2020-06,72.0506,28.3766
2020-07,79.9501,35.3325
2020-08,81.8188,44.0777
2020-09,72.3982,37.914
2020-10,56.7018,33.7633
2020-11,70.7263,47.7098
2020-12,68.8373,52.3667
2021-01,52.5298,49.9654
2021-02,52.8046,53.2453
2021-03,54.2523,60.4049
2021-04,67.0506,67.83
2021-05,65.507,67.8968
2021-06,65.1896,70.6358
2021-07,74.7918,73.7106
2021-08,85.2224,77.7187
2021-09,90.9893,68.3779
2021-10,113.2647,79.119
2021-11,123.8345,76.6949
2021-12,130.3977,83.6042
2022-01,98.4837,72.9303
2022-02,90.9352,66.8181
2022-03,102.7774,72.1992
2022-04,87.238,56.2223
2022-05,77.7609,55.8933
2022-06,78.1177,42.4002
2022-07,97.8324,54.8512
2022-08,98.7027,47.8158
2022-09,82.3617,33.7039
2022-10,92.8399,44.0824
2022-11,108.208,51.4429
2022-12,79.9875,42.1877
2023-01,88.7352,50.5828
2023-02,84.3724,46.2373
2023-03,83.6468,52.2586
2023-04,81.2006,54.0684
2023-05,69.0043,54.1996
2023-06,75.0948,63.548
2023-07,89.1972,68.1942
2023-08,89.245,64.7317
2023-09,88.655,56.2636
2023-10,85.4097,52.2886
2023-11,94.1143,65.5989
2023-12,103.1539,72.448
2024-01,101.6128,74.4576
2024-02,95.362,82.7177
2024-03,90.969,89.0282
2024-04,74.4184,80.6052
2024-05,68.8568,88.8335
2024-06,70.713,96.0415
2024-07,72.0207,97.3583
2024-08,76.2432,101.128
2024-09,91.7426,105.7758
2024-10,88.4926,102.865
2024-11,103.6028,113.7798
2024-12,98.7761,107.7813
2025-01,95.4572,112.3595
2025-02,89.8317,108.6721
2025-03,86.9587,96.0839
2025-04,77.0074,93.6359
2025-05,87.826,104.9003
2025-06,83.0096,114.5225
2025-07,64.2218,118.4064
2025-08,53.0273,121.8959
2025-09,17.4668,128.6764
2025-10,9.2754,133.0211
2025-11,14.821,132.409
2025-12,20.0268,131.4906
2026-01,5.0849,133.7386
2026-02,-9.5314,130.7823
2026-03,-7.6949,129.7769
