Date,rate_TSCO_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.9453,-0.6039
2016-03,3.4218,5.2168
2016-04,6.8029,3.9893
2016-05,6.745,4.6886
2016-06,0.0601,4.1237
2016-07,0.2954,7.1795
2016-08,-8.1546,6.3603
2016-09,-25.6176,5.6281
2016-10,-28.4483,3.196
2016-11,-11.5068,6.7601
2016-12,-9.8159,8.3626
2017-01,-12.359,10.2536
2017-02,-14.6292,13.6522
2017-03,-16.0777,12.7005
2017-04,-23.6601,12.9818
2017-05,-30.653,13.693
2017-06,-30.1896,13.5288
2017-07,-26.1012,15.0481
2017-08,-20.2174,14.5515
2017-09,-14.1046,16.1037
2017-10,-17.5779,17.9557
2017-11,-5.6998,20.6805
2017-12,3.5492,21.3029
2018-01,5.627,28.0338
2018-02,-10.0296,22.1441
2018-03,-12.2403,18.3021
2018-04,-4.6374,18.0902
2018-05,4.3911,20.2208
2018-06,7.233,20.3415
2018-07,9.1683,23.8746
2018-08,23.1885,27.0072
2018-09,26.8163,27.7347
2018-10,27.3555,18.1437
2018-11,30.9262,19.7418
2018-12,13.9855,8.5778
2019-01,16.663,17.1263
2019-02,29.6318,20.3748
2019-03,32.0369,22.0514
2019-04,38.8388,26.2651
2019-05,34.2214,17.5943
2019-06,43.9032,25.308
2019-07,42.7373,26.4355
2019-08,32.6533,23.7232
2019-09,17.7584,26.1617
2019-10,23.271,28.2707
2019-11,21.9375,32.1761
2019-12,20.0982,35.3247
2020-01,19.4685,35.2749
2020-02,13.2963,23.5454
2020-03,7.8674,7.7105
2020-04,29.196,21.425
2020-05,54.6427,26.7132
2020-06,65.7692,28.4357
2020-07,78.0614,35.3124
2020-08,83.9534,43.9511
2020-09,75.5712,37.6938
2020-10,61.8216,33.4637
2020-11,69.8063,47.2943
2020-12,68.2442,51.8455
2021-01,69.6323,50.305
2021-02,89.4518,53.4604
2021-03,109.1911,59.4101
2021-04,120.7529,66.6882
2021-05,111.2301,66.6274
2021-06,114.3536,69.2184
2021-07,106.5664,72.1455
2021-08,120.4766,75.992
2021-09,127.9111,66.6118
2021-10,142.1113,77.1553
2021-11,149.4965,74.6519
2021-12,161.7554,81.397
2022-01,137.2669,70.7122
2022-02,120.5454,64.6001
2022-03,150.4906,69.8532
2022-04,114.3801,54.0273
2022-05,98.8018,53.6333
2022-06,104.1931,40.2902
2022-07,100.2441,52.5094
2022-08,93.2293,45.531
2022-09,92.6781,31.5965
2022-10,126.2651,41.7445
2022-11,132.2154,48.9584
2022-12,129.1391,39.838
2023-01,132.2148,48.5632
2023-02,136.8704,44.2258
2023-03,136.9968,48.9578
2023-04,138.6058,50.6836
2023-05,109.2839,50.7741
2023-06,119.3954,59.884
2023-07,120.7996,64.3798
2023-08,114.9866,60.953
2023-09,98.5027,52.6248
2023-10,87.154,48.7132
2023-11,97.2558,61.6976
2023-12,107.677,68.3392
2024-01,116.9186,71.0275
2024-02,145.1241,79.0476
2024-03,150.6013,83.99
2024-04,159.7617,75.7344
2024-05,170.6023,83.6813
2024-06,154.4861,89.2836
2024-07,146.5913,90.5002
2024-08,150.031,94.0822
2024-09,171.7867,98.2932
2024-10,146.3759,95.412
2024-11,162.6164,105.8418
2024-12,144.0082,99.9875
2025-01,149.9856,105.351
2025-02,154.0366,101.7087
2025-03,151.3625,89.4719
2025-04,129.5476,87.0451
2025-05,119.3054,97.8575
2025-06,137.8543,107.0685
2025-07,155.231,110.7404
2025-08,176.1904,114.0337
2025-09,154.4043,121.6081
2025-10,140.6943,125.7153
2025-11,143.3854,125.0226
2025-12,121.0114,124.0393
2026-01,124.8555,127.2713
2026-02,39.7047,125.3185
