Date,rate_PCG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.7372,-0.6039
2016-03,7.3877,5.2168
2016-04,2.7069,3.9893
2016-05,5.1772,4.6886
2016-06,11.669,4.1237
2016-07,9.938,7.1795
2016-08,5.2212,6.3603
2016-09,4.1395,5.6281
2016-10,5.4587,3.196
2016-11,-0.558,6.7601
2016-12,3.7165,8.3626
2017-01,5.6112,10.2536
2017-02,13.5379,13.6522
2017-03,12.8006,12.7005
2017-04,13.0517,12.9818
2017-05,14.4796,13.693
2017-06,11.0974,13.5288
2017-07,12.7134,15.0481
2017-08,16.4211,14.5515
2017-09,12.7249,16.1037
2017-10,-4.8662,17.9557
2017-11,-10.4495,20.6805
2017-12,-25.5956,21.3029
2018-01,-29.5713,28.0338
2018-02,-30.6357,22.1441
2018-03,-24.573,18.3021
2018-04,-19.8215,18.0902
2018-05,-23.9712,20.2208
2018-06,-24.4091,20.3415
2018-07,-22.7459,23.8746
2018-08,-16.3493,27.0072
2018-09,-16.657,27.7347
2018-10,-14.668,18.1437
2018-11,-51.6618,19.7418
2018-12,-55.1584,8.5778
2019-01,-75.4531,17.1263
2019-02,-64.9812,20.3748
2019-03,-61.6182,22.0514
2019-04,-49.3455,26.2651
2019-05,-60.448,17.5943
2019-06,-45.0342,25.308
2019-07,-55.6431,26.4355
2019-08,-73.6263,23.7232
2019-09,-74.7614,26.1617
2019-10,-83.2945,28.2707
2019-11,-77.5362,32.1761
2019-12,-64.8318,35.3247
2020-01,-50.7924,35.2749
2020-02,-48.9617,23.5454
2020-03,-69.7213,7.7105
2020-04,-62.2115,21.425
2020-05,-56.3009,26.7132
2020-06,-66.4461,28.4357
2020-07,-63.2504,35.3124
2020-08,-62.3067,43.9511
2020-09,-60.5183,37.6938
2020-10,-58.7155,33.4637
2020-11,-43.7238,47.2943
2020-12,-44.0,51.8455
2021-01,-48.6274,50.305
2021-02,-51.9654,53.4604
2021-03,-45.5411,59.4101
2021-04,-46.5597,66.6882
2021-05,-51.4317,66.6274
2021-06,-50.424,69.2184
2021-07,-56.4546,72.1455
2021-08,-53.6459,75.992
2021-09,-50.5825,66.6118
2021-10,-39.3288,77.1553
2021-11,-37.2166,74.6519
2021-12,-35.2485,81.397
2022-01,-31.2364,70.7122
2022-02,-38.3903,64.6001
2022-03,-34.7074,69.8532
2022-04,-30.3413,54.0273
2022-05,-32.4079,53.6333
2022-06,-44.343,40.2902
2022-07,-38.8117,52.5094
2022-08,-29.9423,45.531
2022-09,-28.595,31.5965
2022-10,-14.3405,41.7445
2022-11,-9.7654,48.9584
2022-12,-6.4158,39.838
2023-01,-8.4875,48.5632
2023-02,-9.9773,44.2258
2023-03,-6.6826,48.9578
2023-04,-1.1782,50.6836
2023-05,-2.1581,50.7741
2023-06,-0.1455,59.884
2023-07,1.7571,64.3798
2023-08,-5.8205,60.953
2023-09,-6.7517,52.6248
2023-10,-5.625,48.7132
2023-11,-0.553,61.6976
2023-12,4.4087,68.3392
2024-01,-2.3075,71.0275
2024-02,-3.3462,79.0476
2024-03,-2.903,83.99
2024-04,-0.8349,75.7344
2024-05,7.4364,83.6813
2024-06,1.115,89.2836
2024-07,5.6902,90.5002
2024-08,14.0044,94.0822
2024-09,14.4095,98.2932
2024-10,16.8512,95.412
2024-11,24.8175,105.8418
2024-12,16.2598,99.9875
2025-01,-9.8339,105.351
2025-02,-5.7266,101.7087
2025-03,-0.8313,89.4719
2025-04,-4.6421,87.0451
2025-05,-2.5319,97.8575
2025-06,-19.4794,107.0685
2025-07,-18.8466,110.7404
2025-08,-11.3707,114.0337
2025-09,-12.5307,121.6081
2025-10,-7.3434,125.7153
2025-11,-6.347,125.0226
2025-12,-6.5673,124.0393
2026-01,-10.3463,127.2713
2026-02,-21.796,125.3185
