Date,rate_T_5D,rate_VOO_20D
2016-01,5.6396,1.4254
2016-02,5.0825,0.6142
2016-03,8.8179,6.1243
2016-04,7.2802,4.6014
2016-05,6.6764,5.2878
2016-06,16.6849,4.687
2016-07,16.1115,7.7174
2016-08,8.4634,6.8637
2016-09,6.7473,5.9421
2016-10,-2.3611,3.4868
2016-11,2.7909,6.843
2016-12,12.8502,8.2789
2017-01,14.0954,9.3935
2017-02,12.1205,12.821
2017-03,10.6268,12.0413
2017-04,6.6461,12.4367
2017-05,3.4693,13.2406
2017-06,1.0793,14.1802
2017-07,6.2172,15.6892
2017-08,1.742,15.2834
2017-09,6.3429,16.8657
2017-10,-3.6253,18.7799
2017-11,4.5316,21.509
2017-12,11.494,22.1709
2018-01,8.8604,27.9258
2018-02,1.7828,22.2578
2018-03,-0.1659,18.4465
2018-04,-6.6988,18.162
2018-05,-7.5149,20.337
2018-06,-7.8855,20.5057
2018-07,-6.1511,24.0401
2018-08,-6.0433,27.2093
2018-09,-1.1077,27.1082
2018-10,-7.6809,17.9327
2018-11,-5.5164,19.5577
2018-12,-13.5458,8.5722
2019-01,-6.5193,16.8959
2019-02,-3.0233,20.2219
2019-03,-2.1748,21.9603
2019-04,-1.3649,26.2654
2019-05,-2.5183,20.4953
2019-06,6.7359,25.3574
2019-07,10.4576,26.514
2019-08,14.1263,24.0717
2019-09,21.0603,25.9454
2019-10,23.1759,27.4086
2019-11,19.1184,31.384
2019-12,24.076,34.5804
2020-01,21.029,33.8021
2020-02,12.8723,22.3336
2020-03,4.311,15.1867
2020-04,11.6635,29.6272
2020-05,11.0726,28.2305
2020-06,9.2718,28.0341
2020-07,9.5213,33.4885
2020-08,10.1758,42.106
2020-09,5.276,38.2475
2020-10,2.089,34.0563
2020-11,8.5637,42.9575
2020-12,10.5989,47.5016
2021-01,15.614,45.1166
2021-02,12.2866,43.0879
2021-03,16.4918,49.8512
2021-04,23.2426,56.911
2021-05,15.1369,54.6413
2021-06,12.3767,57.2758
2021-07,11.9978,60.2291
2021-08,9.3078,64.0213
2021-09,7.5285,55.5224
2021-10,3.0317,65.5435
2021-11,-6.9236,65.5034
2021-12,-0.874,68.4598
2022-01,14.4275,58.7763
2022-02,10.5897,53.2596
2022-03,10.1678,58.2953
2022-04,20.0168,52.2757
2022-05,28.956,51.0659
2022-06,26.9305,38.0304
2022-07,25.6739,50.1558
2022-08,18.9293,43.3725
2022-09,3.8203,29.6913
2022-10,25.516,39.7003
2022-11,30.4954,46.8631
2022-12,28.7533,40.5677
2023-01,44.0003,48.7988
2023-02,32.356,45.5387
2023-03,34.5089,49.6635
2023-04,30.1567,48.4614
2023-05,14.9789,48.1923
2023-06,16.4337,57.2072
2023-07,13.9125,61.7125
2023-08,15.8924,59.5229
2023-09,17.5305,51.3631
2023-10,18.7031,47.5518
2023-11,27.4871,60.474
2023-12,28.8024,67.125
2024-01,37.6828,69.1001
2024-02,31.382,77.1309
2024-03,36.2478,83.2841
2024-04,32.5868,75.177
2024-05,42.6793,83.1784
2024-06,49.2092,90.182
2024-07,52.0098,90.9416
2024-08,56.6143,97.1965
2024-09,69.8994,98.31
2024-10,73.5196,95.5089
2024-11,77.6046,105.9957
2024-12,73.8899,100.2436
2025-01,87.246,104.6582
2025-02,115.3665,101.1287
2025-03,110.878,89.045
2025-04,102.6967,88.6819
2025-05,102.5179,99.6712
2025-06,109.8855,109.046
2025-07,99.8826,112.823
2025-08,112.66,112.1707
2025-09,104.1072,118.6779
2025-10,83.79,122.8639
2025-11,92.48,122.3204
2025-12,83.0217,121.4705
2026-01,92.401,123.6468
2026-02,104.8024,120.852
