Date,rate_CLSK_5D,rate_VOO_20D
2016-11,0.0,0.0
2016-12,0.1381,2.8854
2017-01,-14.0747,4.1331
2017-02,17.5684,7.6471
2017-03,34.1539,6.8133
2017-04,15.6278,7.1788
2017-05,-13.0049,7.9715
2017-06,-11.3796,8.8986
2017-07,-10.1154,10.4625
2017-08,-9.1041,9.9739
2017-09,-8.2767,11.5538
2017-10,-7.8546,13.4746
2017-11,-34.1737,16.2405
2017-12,-31.7329,16.8796
2018-01,-29.6175,22.7136
2018-02,-52.8947,16.9079
2018-03,-50.4127,13.1199
2018-04,-33.4691,12.8521
2018-05,-22.9974,15.0363
2018-06,-21.8476,15.2084
2018-07,2.0355,18.8035
2018-08,1.9429,22.0171
2018-09,107.1191,21.902
2018-10,-14.194,12.4256
2018-11,-47.4581,14.0869
2018-12,-26.2345,3.0283
2019-01,-19.0737,11.3488
2019-02,68.8554,14.6713
2019-03,26.2548,16.4271
2019-04,-20.6521,20.7285
2019-05,-24.2131,12.1539
2019-06,-30.0715,19.9283
2019-07,-54.0349,21.1277
2019-08,-61.1286,18.4699
2019-09,-65.4593,20.3692
2019-10,-81.9758,22.5584
2019-11,-69.4881,26.5528
2019-12,-72.9482,29.7758
2020-01,-74.8488,28.9991
2020-02,-84.8472,17.4783
2020-03,-92.1093,1.8051
2020-04,-87.1806,15.4458
2020-05,-79.8434,20.8046
2020-06,-71.8294,22.6039
2020-07,-16.251,29.5598
2020-08,16.8872,38.305
2020-09,44.2862,32.1413
2020-10,-13.2923,27.9906
2020-11,25.5245,41.937
2020-12,232.6747,46.5939
2021-01,198.0805,44.1926
2021-02,166.943,47.4726
2021-03,162.2833,54.6321
2021-04,134.6413,62.0572
2021-05,80.6093,62.124
2021-06,77.8824,64.863
2021-07,43.2649,67.9379
2021-08,45.6834,71.946
2021-09,21.7252,62.6051
2021-10,111.8537,73.3462
2021-11,84.2307,70.9221
2021-12,-1.9557,77.8314
2022-01,-30.738,67.1575
2022-02,9.7773,61.0453
2022-03,27.9009,66.4265
2022-04,-33.0945,50.4496
2022-05,-38.8218,50.1205
2022-06,-58.8109,36.6274
2022-07,-57.2209,49.0784
2022-08,-53.3724,42.043
2022-09,-64.7201,27.9311
2022-10,-60.4175,38.3096
2022-11,-73.7775,45.6701
2022-12,-75.3384,36.4149
2023-01,-60.1713,44.8101
2023-02,-64.6452,40.4645
2023-03,-63.453,46.4859
2023-04,-47.4931,48.2957
2023-05,-41.5414,48.4269
2023-06,-41.0309,57.7753
2023-07,-16.7182,62.4214
2023-08,-31.4699,58.959
2023-09,-46.6492,50.4908
2023-10,-41.9983,46.5159
2023-11,-11.042,59.8262
2023-12,57.0192,66.6752
2024-01,14.1472,68.6848
2024-02,136.5556,76.9449
2024-03,198.0164,83.2554
2024-04,128.5979,74.8324
2024-05,122.9376,83.0607
2024-06,119.9474,90.2687
2024-07,119.2237,91.5856
2024-08,45.7016,95.3553
2024-09,26.8946,100.003
2024-10,43.9185,97.0923
2024-11,94.0379,108.0071
2024-12,23.9558,102.0085
2025-01,40.2219,106.5868
2025-02,7.0313,102.8993
2025-03,-10.0236,90.3111
2025-04,9.3561,87.8631
2025-05,15.3524,99.1276
2025-06,47.2148,108.7497
2025-07,51.2815,112.6336
2025-08,25.6854,116.1231
2025-09,92.02,122.9036
2025-10,134.6458,127.2484
2025-11,98.0207,126.6362
2025-12,32.1928,125.7178
2026-01,54.3031,127.9658
2026-02,29.2802,125.0096
2026-03,10.3636,111.837
2026-04,62.2993,133.6135
2026-05,136.1072,145.0646
2026-06,86.8963,140.7504
2026-07,76.107,139.5409
2026-08,54.1794,147.9887
