Date,rate_CNP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.8139,-3.7423
2016-03,2.5253,0.3764
2016-04,15.424,5.1946
2016-05,12.8584,3.5695
2016-06,17.4533,4.8356
2016-07,21.9286,4.3651
2016-08,16.9049,7.2005
2016-09,12.5681,6.5176
2016-10,15.0705,5.8316
2016-11,9.985,2.6321
2016-12,16.6206,6.5262
2017-01,19.2929,8.6002
2017-02,23.9685,9.8701
2017-03,31.8576,14.9815
2017-04,29.1171,12.5254
2017-05,30.7076,13.1716
2017-06,35.3789,14.581
2017-07,26.2569,14.626
2017-08,28.8375,16.4591
2017-09,34.8221,15.9061
2017-10,31.2705,17.2911
2017-11,32.0672,19.4181
2017-12,31.0556,21.7575
2018-01,24.6153,22.6249
2018-02,20.8368,28.3844
2018-03,16.9052,21.0506
2018-04,19.2333,18.8566
2018-05,10.0631,18.843
2018-06,11.8604,22.0592
2018-07,20.3652,20.962
2018-08,20.6554,24.4135
2018-09,20.5998,27.7869
2018-10,18.8921,28.1445
2018-11,16.8296,19.3954
2018-12,21.0442,19.8359
2019-01,21.4019,8.7501
2019-02,31.8628,17.203
2019-03,29.5248,21.2677
2019-04,31.026,23.6016
2019-05,30.5872,25.5902
2019-06,21.1829,17.8911
2019-07,20.8871,26.7327
2019-08,22.9346,25.8061
2019-09,17.7318,24.2046
2019-10,26.6567,24.595
2019-11,22.4054,29.5299
2019-12,4.398,32.3145
2020-01,15.8122,35.5516
2020-02,12.1418,34.7733
2020-03,-1.4985,23.2161
2020-04,-39.5651,2.6957
2020-05,-28.665,17.923
2020-06,-20.5282,27.1545
2020-07,-14.7535,29.2791
2020-08,-15.6408,35.3897
2020-09,-10.2878,45.4969
2020-10,-12.8064,38.8421
2020-11,-4.7923,33.8054
2020-12,3.63,49.4413
2021-01,-1.8313,52.4925
2021-02,-3.618,52.5474
2021-03,-10.2811,57.1165
2021-04,3.8662,62.2404
2021-05,12.2369,68.0147
2021-06,15.6158,67.9506
2021-07,13.6309,71.7835
2021-08,16.7742,73.9065
2021-09,17.4872,78.108
2021-10,14.4283,70.559
2021-11,20.5969,79.7147
2021-12,18.658,74.8714
2022-01,28.2784,83.8439
2022-02,28.6687,74.2485
2022-03,23.5745,64.4857
2022-04,42.8381,72.8765
2022-05,39.8068,56.3809
2022-06,46.6602,54.7432
2022-07,38.9528,43.9638
2022-08,43.5883,54.5402
2022-09,45.3034,48.4061
2022-10,27.6629,33.808
2022-11,28.0924,43.6413
2022-12,40.6407,51.6237
2023-01,35.4575,42.3283
2023-02,35.5345,52.4008
2023-03,23.6731,45.8599
2023-04,32.8704,52.4428
2023-05,37.9826,54.1535
2023-06,28.0945,55.8684
2023-07,31.2473,63.7729
2023-08,32.4296,67.9151
2023-09,24.6862,65.3142
2023-10,20.8191,56.4671
2023-11,22.7075,54.158
2023-12,29.9536,66.8181
2024-01,28.649,72.7134
2024-02,27.499,77.0248
2024-03,23.9002,84.7703
2024-04,28.0732,89.0895
2024-05,31.8384,80.3005
2024-06,37.7574,89.1407
2024-07,37.5654,96.817
2024-08,26.4214,94.9948
2024-09,23.2531,101.4737
2024-10,34.7019,104.2286
2024-11,28.4843,104.0979
2024-12,47.2838,114.1559
2025-01,42.8376,108.1307
2025-02,46.2147,112.719
2025-03,54.8805,109.0154
2025-04,65.2513,97.097
2025-05,72.7222,95.2965
2025-06,66.9957,105.2137
2025-07,63.1889,114.7559
2025-08,72.8368,115.142
2025-09,68.3033,122.2543
2025-10,69.7636,129.8729
2025-11,69.4818,133.4127
2025-12,73.7997,131.7276
2026-01,69.6865,131.8756
2026-02,91.1941,131.1612
