Date,rate_CRWD_5D,rate_VOO_20D
2019-06,0.0,2.6381
2019-07,39.6087,3.7657
2019-08,14.43,1.0533
2019-09,-17.728,3.4918
2019-10,-25.6305,5.6009
2019-11,-7.0701,9.5063
2019-12,-18.3562,12.6549
2020-01,-0.0302,12.605
2020-02,-2.4549,0.8756
2020-03,-8.587,-14.9594
2020-04,12.3661,-1.2449
2020-05,43.7086,4.0433
2020-06,58.7257,5.7658
2020-07,73.2816,12.6425
2020-08,85.9526,21.2812
2020-09,95.3535,15.0239
2020-10,70.1917,10.7938
2020-11,105.1181,24.6244
2020-12,174.8703,29.1756
2021-01,180.0209,27.6351
2021-02,170.2618,30.7905
2021-03,120.7571,36.7403
2021-04,145.1056,44.0183
2021-05,153.7645,43.9575
2021-06,179.0929,46.5485
2021-07,173.767,49.4756
2021-08,195.26,53.3221
2021-09,151.6414,43.9419
2021-10,181.6176,54.4854
2021-11,112.0746,51.982
2021-12,96.4742,58.7271
2022-01,70.5445,48.0423
2022-02,81.6947,41.9302
2022-03,108.2013,47.1833
2022-04,79.3081,31.3574
2022-05,42.3922,30.9634
2022-06,48.642,17.6203
2022-07,60.1599,29.8395
2022-08,57.6277,22.8612
2022-09,41.0103,8.9267
2022-10,36.7877,19.0746
2022-11,-0.7843,26.2885
2022-12,-11.2879,17.1681
2023-01,-10.7755,25.8933
2023-02,1.8195,21.5559
2023-03,15.7397,26.2879
2023-04,0.9257,28.0137
2023-05,34.5293,28.1042
2023-06,22.7359,37.2141
2023-07,34.5265,41.7099
2023-08,34.8574,38.2831
2023-09,37.7142,29.9549
2023-10,44.573,26.0433
2023-11,92.5506,39.0277
2023-12,105.4779,45.6693
2024-01,135.3677,48.3576
2024-02,157.8536,56.3777
2024-03,152.1261,61.3201
2024-04,127.5409,53.0645
2024-05,141.4411,61.0114
2024-06,191.8186,66.6138
2024-07,74.8599,67.8303
2024-08,107.5495,71.4123
2024-09,109.9365,75.6233
2024-10,120.2404,72.7421
2024-11,154.2041,83.1719
2024-12,148.8967,77.3176
2025-01,189.5002,82.6811
2025-02,180.3867,79.0388
2025-03,151.1714,66.802
2025-04,202.5155,64.3752
2025-05,229.0032,75.1876
2025-06,251.6582,84.3986
2025-07,210.6086,88.0705
2025-08,186.6538,91.3639
2025-09,231.7609,98.9383
2025-10,263.6062,103.0454
2025-11,237.4344,102.3527
2025-12,207.6382,101.3695
2026-01,189.7226,104.6014
2026-02,151.1736,102.6486
