Date,rate_AI_5D,rate_VOO_20D
2020-12,0.0,0.0
2021-01,23.8502,1.0892
2021-02,-5.3815,4.3692
2021-03,-44.3768,11.5287
2021-04,-36.0646,18.9538
2021-05,-34.8325,19.0206
2021-06,-30.9655,21.7596
2021-07,-41.3404,24.8345
2021-08,-35.267,28.8425
2021-09,-38.8515,19.5017
2021-10,-36.9272,30.2428
2021-11,-45.6661,27.8187
2021-12,-50.4359,34.728
2022-01,-55.1458,24.0541
2022-02,-58.7276,17.9419
2022-03,-54.3963,23.323
2022-04,-63.506,7.3461
2022-05,-55.4428,7.0171
2022-06,-54.0753,-6.476
2022-07,-51.2111,5.975
2022-08,-49.9848,-1.0604
2022-09,-62.8967,-15.1723
2022-10,-58.2236,-4.7938
2022-11,-56.0736,2.5667
2022-12,-60.3342,-6.6885
2023-01,-25.6056,1.7066
2023-02,-14.6661,-2.6389
2023-03,28.0544,3.3824
2023-04,-32.4917,5.1922
2023-05,53.5097,5.3234
2023-06,38.6626,14.6719
2023-07,58.4462,19.318
2023-08,15.658,15.8555
2023-09,-5.2208,7.3874
2023-10,-9.2318,3.4124
2023-11,8.6697,16.7228
2023-12,6.7596,23.5718
2024-01,-7.9906,25.5814
2024-02,37.4872,33.8415
2024-03,0.0711,40.152
2024-04,-16.6446,31.729
2024-05,9.8666,39.9573
2024-06,7.3786,47.1653
2024-07,-0.9334,48.4822
2024-08,-13.4568,52.2518
2024-09,-9.8579,56.8996
2024-10,-8.0038,53.9888
2024-11,39.0089,64.9036
2024-12,27.9984,58.9051
2025-01,16.0484,63.4833
2025-02,-13.4035,59.7959
2025-03,-22.0212,47.2077
2025-04,-18.0713,44.7597
2025-05,-0.6227,56.0242
2025-06,-8.1516,65.6463
2025-07,-11.7829,69.5302
2025-08,-36.4421,73.0197
2025-09,-34.1844,79.8002
2025-10,-32.7033,84.1449
2025-11,-44.2193,83.5328
2025-12,-47.242,82.6144
2026-01,-56.2685,84.8624
2026-02,-67.7515,81.9061
2026-03,-64.73,68.7336
2026-04,-61.9828,90.5101
2026-05,-52.5741,101.9612
2026-06,-59.3986,97.647
2026-07,-58.1691,96.4374
2026-08,-52.0856,100.4064
