Date,rate_NET_5D,rate_VOO_20D
2019-09,0.0,0.0
2019-10,-3.1902,0.9568
2019-11,13.2046,4.9512
2019-12,-3.7092,8.1742
2020-01,1.5763,7.3975
2020-02,20.8068,-4.1233
2020-03,29.8557,-19.7965
2020-04,26.2154,-6.1558
2020-05,52.4823,-0.797
2020-06,81.5859,1.0023
2020-07,101.299,7.9582
2020-08,77.3174,16.7034
2020-09,83.5775,10.5397
2020-10,124.5102,6.389
2020-11,212.193,20.3355
2020-12,202.7979,24.9924
2021-01,193.4304,22.591
2021-02,172.5365,25.871
2021-03,150.0748,33.0306
2021-04,192.3475,40.4557
2021-05,174.2419,40.5224
2021-06,243.3355,43.2614
2021-07,273.0236,46.3363
2021-08,268.0745,50.3444
2021-09,233.2415,41.0035
2021-10,460.299,51.7446
2021-11,425.1874,49.3205
2021-12,256.7112,56.2299
2022-01,155.1469,45.556
2022-02,201.5593,39.4437
2022-03,203.3272,44.8249
2022-04,113.7124,28.848
2022-05,36.7431,28.5189
2022-06,6.0573,15.0258
2022-07,21.6109,27.4768
2022-08,50.3663,20.4415
2022-09,31.8677,6.3295
2022-10,33.4185,16.708
2022-11,15.7136,24.0685
2022-12,6.0932,14.8134
2023-01,23.9551,23.2085
2023-02,39.7892,18.8629
2023-03,42.7373,24.8843
2023-04,8.2295,26.6941
2023-05,58.9203,26.8253
2023-06,48.9982,36.1737
2023-07,55.6453,40.8199
2023-08,46.0986,37.3574
2023-09,40.7528,28.8892
2023-10,25.8534,24.9143
2023-11,70.6205,38.2246
2023-12,82.6081,45.0736
2024-01,71.9066,47.0832
2024-02,112.5737,55.3433
2024-03,106.8517,61.6539
2024-04,85.0269,53.2308
2024-05,42.1652,61.4592
2024-06,73.0494,68.6671
2024-07,60.7511,69.984
2024-08,69.3692,73.7537
2024-09,65.6746,78.4014
2024-10,78.5446,75.4907
2024-11,101.7716,86.4055
2024-12,115.9059,80.4069
2025-01,175.1374,84.9852
2025-02,186.0539,81.2977
2025-03,119.7604,68.7095
2025-04,133.5926,66.2615
2025-05,218.0634,77.526
2025-06,271.7486,87.1482
2025-07,290.2459,91.032
2025-08,288.1813,94.5215
2025-09,295.0511,101.302
2025-10,361.5621,105.6468
2025-11,261.0377,105.0346
2025-12,252.1591,104.1162
2026-01,213.8614,106.3642
2026-02,202.0765,103.408
2026-03,258.8704,90.2355
2026-04,253.2803,112.012
2026-05,312.9939,123.4631
2026-06,314.9192,119.1488
2026-07,367.5575,117.9393
2026-08,386.3817,124.2507
