Date,rate_CTVA_5D,rate_VOO_20D
2019-05,0.0,-0.998
2019-06,8.4874,3.864
2019-07,6.5587,5.0206
2019-08,4.1454,2.5783
2019-09,-1.6299,4.452
2019-10,-6.2926,5.9152
2019-11,-5.6576,9.8906
2019-12,7.9668,13.087
2020-01,4.7524,12.3087
2020-02,7.8186,0.8403
2020-03,4.4887,-6.3067
2020-04,10.2638,8.1338
2020-05,17.6271,6.7371
2020-06,15.1471,6.5407
2020-07,18.8755,11.9951
2020-08,14.8372,20.6126
2020-09,13.0395,16.7541
2020-10,27.6653,12.5629
2020-11,39.8588,21.4641
2020-12,38.1106,26.0082
2021-01,37.0009,23.6232
2021-02,45.7133,21.5945
2021-03,44.4947,28.3578
2021-04,49.1027,35.4176
2021-05,40.5668,33.1479
2021-06,35.4536,35.7824
2021-07,29.3706,38.7357
2021-08,28.7322,42.5279
2021-09,23.8701,34.029
2021-10,26.0831,44.0501
2021-11,30.9969,44.01
2021-12,33.2104,46.9664
2022-01,32.1476,37.2829
2022-02,42.2676,31.7662
2022-03,47.5601,36.8019
2022-04,42.7392,30.7823
2022-05,51.4971,29.5725
2022-06,42.4463,16.537
2022-07,50.2872,28.6624
2022-08,59.5565,21.8791
2022-09,47.0095,8.1979
2022-10,66.5908,18.2069
2022-11,65.0988,25.3697
2022-12,50.5178,19.0743
2023-01,63.7941,27.3054
2023-02,47.8565,24.0453
2023-03,41.62,28.1701
2023-04,41.5755,26.968
2023-05,30.7007,26.6989
2023-06,38.665,35.7138
2023-07,35.7897,40.2191
2023-08,21.3259,38.0295
2023-09,22.4544,29.8697
2023-10,15.6046,26.0584
2023-11,5.7802,38.9806
2023-12,11.985,45.6316
2024-01,6.0786,47.6067
2024-02,25.8065,55.6375
2024-03,30.0212,61.7907
2024-04,21.5714,53.6836
2024-05,25.1837,61.685
2024-06,20.7824,68.6886
2024-07,25.3036,69.4482
2024-08,27.663,75.7031
2024-09,26.9666,76.8167
2024-10,26.9711,74.0155
2024-11,29.3064,84.5023
2024-12,18.2634,78.7502
2025-01,35.2121,83.1648
2025-02,29.9815,79.6353
2025-03,29.8361,67.5516
2025-04,25.978,67.1885
2025-05,43.4656,78.1778
2025-06,50.6798,87.5526
2025-07,45.1236,91.3296
2025-08,48.6614,90.6773
2025-09,35.2675,97.1845
2025-10,22.5686,101.3705
2025-11,34.283,100.827
2025-12,33.3536,99.9771
2026-01,44.3698,102.1534
2026-02,58.2865,99.3586
