Date,rate_GLD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,11.8507,-1.8027
2016-03,7.257,4.5695
2016-04,10.8433,3.6217
2016-05,2.1459,4.6859
2016-06,10.8263,4.2011
2016-07,11.208,7.3141
2016-08,6.2116,6.5393
2016-09,6.2015,5.8417
2016-10,2.5108,3.4057
2016-11,-6.3063,7.0013
2016-12,-7.5668,8.6582
2017-01,-1.959,9.9058
2017-02,1.3026,13.4199
2017-03,0.7932,12.5861
2017-04,2.4732,12.9516
2017-05,2.2531,13.7442
2017-06,-0.0735,14.6714
2017-07,2.2292,16.2352
2017-08,6.3803,15.7466
2017-09,2.5135,17.3266
2017-10,1.6332,19.2474
2017-11,1.9075,22.0133
2017-12,3.9472,22.6523
2018-01,7.133,28.4864
2018-02,4.6336,22.6807
2018-03,5.1284,18.8927
2018-04,3.9464,18.6249
2018-05,2.5961,20.8091
2018-06,-1.1678,20.9812
2018-07,-3.3444,24.5763
2018-08,-5.2802,27.7899
2018-09,-5.7454,27.6747
2018-10,-3.5753,18.1983
2018-11,-3.1817,19.8597
2018-12,1.6806,8.8011
2019-01,4.558,17.1215
2019-02,3.8092,20.4441
2019-03,2.1047,22.1999
2019-04,1.3852,26.5012
2019-05,3.1437,17.9266
2019-06,11.2937,25.7011
2019-07,11.0871,26.9004
2019-08,19.5275,24.2426
2019-09,15.0593,26.142
2019-10,17.6533,28.3311
2019-11,13.5224,32.3256
2019-12,17.3671,35.5485
2020-01,22.2615,34.7719
2020-02,21.0428,23.2511
2020-03,20.362,7.5779
2020-04,28.6371,21.2186
2020-05,31.3947,26.5774
2020-06,34.3811,28.3766
2020-07,48.1792,35.3325
2020-08,46.8432,44.0777
2020-09,39.9319,37.914
2020-10,38.5081,33.7633
2020-11,30.4089,47.7098
2020-12,38.9655,52.3667
2021-01,33.8776,49.9654
2021-02,24.9889,53.2453
2021-03,23.1736,60.4049
2021-04,27.1565,67.83
2021-05,36.445,67.8968
2021-06,26.1992,70.6358
2021-07,28.9799,73.7106
2021-08,28.4553,77.7187
2021-09,23.9203,68.3779
2021-10,25.4013,79.119
2021-11,24.1744,76.6949
2021-12,27.9129,83.6042
2022-01,25.3917,72.9303
2022-02,32.6953,66.8181
2022-03,33.9175,72.1992
2022-04,30.7194,56.2223
2022-05,26.0792,55.8933
2022-06,23.771,42.4002
2022-07,20.2811,54.8512
2022-08,16.4946,47.8158
2022-09,12.9466,33.7039
2022-10,10.7793,44.0824
2022-11,20.0101,51.4429
2022-12,23.2519,42.1877
2023-01,30.0471,50.5828
2023-02,22.728,46.2373
2023-03,32.146,52.2586
2023-04,32.9154,54.0684
2023-05,30.7753,54.1996
2023-06,27.53,63.548
2023-07,30.1328,68.1942
2023-08,28.1611,64.7317
2023-09,21.7756,56.2636
2023-10,30.4862,52.2886
2023-11,33.4602,65.5989
2023-12,34.7987,72.448
2024-01,32.5303,74.4576
2024-02,32.7904,82.7177
2024-03,43.9076,89.0282
2024-04,47.7407,80.6052
2024-05,49.639,88.8335
2024-06,48.9514,96.0415
2024-07,56.4288,97.3583
2024-08,59.1485,101.128
2024-09,66.6449,105.7758
2024-10,73.1341,102.865
2024-11,67.0733,113.7798
2024-12,64.1103,107.7813
2025-01,74.601,112.3595
2025-02,77.087,108.6721
2025-03,93.0396,96.0839
2025-04,102.6212,93.6359
2025-05,101.6223,104.9003
2025-06,101.5433,114.5225
2025-07,99.424,118.4064
2025-08,108.4376,121.8959
2025-09,131.8687,128.6764
2025-10,138.9507,133.0211
2025-11,150.5355,132.409
2025-12,154.6873,131.4906
2026-01,184.482,133.7386
2026-02,207.6175,130.7823
2026-03,190.4653,124.5474
