Date,rate_CRH_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.6323,-3.7423
2016-03,-4.8973,0.3764
2016-04,6.0844,5.1946
2016-05,7.6051,3.5695
2016-06,10.6185,4.8356
2016-07,5.6059,4.3651
2016-08,7.8854,7.2005
2016-09,19.1865,6.5176
2016-10,15.8634,5.8316
2016-11,9.3894,2.6321
2016-12,11.9001,6.5262
2017-01,16.1007,8.6002
2017-02,18.7297,9.8701
2017-03,15.9315,14.9815
2017-04,16.6887,12.5254
2017-05,20.0767,13.1716
2017-06,19.1503,14.581
2017-07,14.4352,14.626
2017-08,11.7474,16.4591
2017-09,13.0676,15.9061
2017-10,20.7492,17.2911
2017-11,16.415,19.4181
2017-12,9.1244,21.7575
2018-01,13.0959,22.6249
2018-02,15.0321,28.3844
2018-03,4.054,21.0506
2018-04,11.0056,18.8566
2018-05,14.7325,18.843
2018-06,20.2412,22.0592
2018-07,13.77,20.962
2018-08,6.5265,24.4135
2018-09,5.9675,27.7869
2018-10,5.5217,28.1445
2018-11,-3.1216,19.3954
2018-12,-11.1023,19.8359
2019-01,-15.0214,8.7501
2019-02,-5.3509,17.203
2019-03,4.1979,21.2677
2019-04,4.9727,23.6016
2019-05,9.9559,25.5902
2019-06,3.1622,17.8911
2019-07,9.0033,26.7327
2019-08,7.1507,25.8061
2019-09,10.1643,24.2046
2019-10,11.1527,24.595
2019-11,21.154,29.5299
2019-12,25.3153,32.3145
2020-01,31.3998,35.5516
2020-02,21.8733,34.7733
2020-03,9.4488,23.2161
2020-04,-14.2032,2.6957
2020-05,-2.3702,17.923
2020-06,9.0423,27.1545
2020-07,15.6112,29.2791
2020-08,20.4908,35.3897
2020-09,25.1407,45.4969
2020-10,19.1718,38.8421
2020-11,16.0007,33.8054
2020-12,32.947,49.4413
2021-01,39.6095,52.4925
2021-02,39.1543,52.5474
2021-03,44.6286,57.1165
2021-04,54.2309,62.2404
2021-05,54.9856,68.0147
2021-06,71.6486,67.9506
2021-07,65.6365,71.7835
2021-08,60.6936,73.9065
2021-09,69.6649,78.108
2021-10,51.1739,70.559
2021-11,54.5798,79.7147
2021-12,52.1306,74.8714
2022-01,66.4763,83.8439
2022-02,61.8956,74.2485
2022-03,35.0727,64.4857
2022-04,31.3272,72.8765
2022-05,28.6966,56.3809
2022-06,32.667,54.7432
2022-07,13.0821,43.9638
2022-08,23.5,54.5402
2022-09,16.2834,48.4061
2022-10,4.3509,33.808
2022-11,17.2722,43.6413
2022-12,30.6621,51.6237
2023-01,28.1699,42.3283
2023-02,54.375,52.4008
2023-03,51.8538,45.8599
2023-04,65.4071,52.4428
2023-05,56.3083,54.1535
2023-06,55.6745,55.8684
2023-07,78.944,63.7729
2023-08,91.1123,67.9151
2023-09,81.729,65.3142
2023-10,73.1305,56.4671
2023-11,79.437,54.158
2023-12,103.0292,66.8181
2024-01,119.9615,72.7134
2024-02,131.497,77.0248
2024-03,162.8537,84.7703
2024-04,166.2381,89.0895
2024-05,140.5357,80.3005
2024-06,154.5179,89.1407
2024-07,125.7699,96.817
2024-08,151.8777,94.9948
2024-09,180.9535,101.4737
2024-10,179.4413,104.2286
2024-11,192.913,104.0979
2024-12,213.9602,114.1559
2025-01,182.2326,108.1307
2025-02,200.3009,112.719
2025-03,208.9981,109.0154
2025-04,169.4889,97.097
2025-05,190.3803,95.2965
2025-06,177.7801,105.2137
2025-07,182.6996,114.7559
2025-08,186.9552,115.142
2025-09,238.4025,122.2543
2025-10,256.9121,129.8729
2025-11,252.5142,133.4127
2025-12,252.0977,131.7276
2026-01,264.9692,131.8756
2026-02,95.6184,120.852
