Date,rate_URI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.9917,-0.6039
2016-03,23.4776,5.2168
2016-04,26.9261,3.9893
2016-05,26.7222,4.6886
2016-06,17.7392,4.1237
2016-07,36.7937,7.1795
2016-08,36.8976,6.3603
2016-09,26.7427,5.6281
2016-10,19.5252,3.196
2016-11,57.6016,6.7601
2016-12,59.2288,8.3626
2017-01,90.6238,10.2536
2017-02,85.603,13.6522
2017-03,75.0379,12.7005
2017-04,49.141,12.9818
2017-05,44.8449,13.693
2017-06,47.3096,13.5288
2017-07,52.62,15.0481
2017-08,48.8045,14.5515
2017-09,71.78,16.1037
2017-10,71.6375,17.9557
2017-11,89.6432,20.6805
2017-12,100.2172,21.3029
2018-01,110.8972,28.0338
2018-02,99.4427,22.1441
2018-03,92.8549,18.3021
2018-04,64.4902,18.0902
2018-05,72.4297,20.2208
2018-06,57.0706,20.3415
2018-07,56.3915,23.8746
2018-08,61.8691,27.0072
2018-09,69.8825,27.7347
2018-10,23.1176,18.1437
2018-11,19.2525,19.7418
2018-12,3.8178,8.5778
2019-01,26.8233,17.1263
2019-02,35.3566,20.3748
2019-03,14.0238,22.0514
2019-04,39.9831,26.2651
2019-05,8.6123,17.5943
2019-06,30.3984,25.308
2019-07,23.6312,26.4355
2019-08,9.5364,23.7232
2019-09,21.2842,26.1617
2019-10,29.4992,28.2707
2019-11,47.3848,32.1761
2019-12,59.3661,35.3247
2020-01,29.7316,35.2749
2020-02,25.9241,23.5454
2020-03,-2.6509,7.7105
2020-04,21.8251,21.425
2020-05,31.3228,26.7132
2020-06,40.1812,28.4357
2020-07,45.3136,35.3124
2020-08,64.4657,43.9511
2020-09,60.7939,37.6938
2020-10,63.0669,33.4637
2020-11,105.8288,47.2943
2020-12,108.2298,51.8455
2021-01,118.1786,50.305
2021-02,164.1871,53.4604
2021-03,189.2154,59.4101
2021-04,177.7625,66.6882
2021-05,186.6849,66.6274
2021-06,170.8147,69.2184
2021-07,176.7841,72.1455
2021-08,193.0557,75.992
2021-09,188.5472,66.6118
2021-10,208.4133,77.1553
2021-11,172.6428,74.6519
2021-12,164.8663,81.397
2022-01,152.7614,70.7122
2022-02,151.6028,64.6001
2022-03,175.4366,69.8532
2022-04,143.1732,54.0273
2022-05,127.1973,53.6333
2022-06,83.6944,40.2902
2022-07,142.3372,52.5094
2022-08,117.6094,45.531
2022-09,99.8273,31.5965
2022-10,131.8774,41.7445
2022-11,157.2694,48.9584
2022-12,156.9325,39.838
2023-01,218.6918,48.5632
2023-02,236.6356,44.2258
2023-03,181.864,48.9578
2023-04,155.1369,50.6836
2023-05,135.1279,50.7741
2023-06,211.3973,59.884
2023-07,222.2145,64.3798
2023-08,228.7045,60.953
2023-09,204.081,52.6248
2023-10,175.7558,48.7132
2023-11,221.6954,61.6976
2023-12,284.2712,68.3392
2024-01,319.0624,71.0275
2024-02,361.5764,79.0476
2024-03,375.8783,83.99
2024-04,337.0317,75.7344
2024-05,335.3561,83.6813
2024-06,317.2349,89.2836
2024-07,384.4321,90.5002
2024-08,371.4198,94.0822
2024-09,414.8081,98.2932
2024-10,412.4186,95.412
2024-11,442.4373,105.8418
2024-12,337.699,99.9875
2025-01,370.9653,105.351
2025-02,297.0392,101.7087
2025-03,284.5589,89.4719
2025-04,284.6171,87.0451
2025-05,329.3553,97.8575
2025-06,353.2535,107.0685
2025-07,427.0589,110.7404
2025-08,467.4793,114.0337
2025-09,466.4857,121.6081
2025-10,412.905,125.7153
2025-11,377.3902,125.0226
2025-12,370.5047,124.0393
2026-01,354.6788,127.2713
2026-02,64.8598,125.3185
