Date,rate_MNST_5D,rate_VOO_20D
2016-01,-6.3618,-3.28
2016-02,-10.8124,-1.8027
2016-03,-2.5547,4.5695
2016-04,5.7296,3.6217
2016-05,8.7641,4.6859
2016-06,14.7678,4.2011
2016-07,12.6904,7.3141
2016-08,6.4215,6.5393
2016-09,0.825,5.8417
2016-10,-0.9497,3.4057
2016-11,-7.7437,7.0013
2016-12,-7.741,8.6582
2017-01,-10.7796,9.9058
2017-02,-12.3244,13.4199
2017-03,-1.5192,12.5861
2017-04,-3.108,12.9516
2017-05,8.2593,13.7442
2017-06,5.8836,14.6714
2017-07,12.0855,16.2352
2017-08,17.9236,15.7466
2017-09,15.8556,17.3266
2017-10,20.714,19.2474
2017-11,29.6121,22.0133
2017-12,29.6299,22.6523
2018-01,38.4532,28.4864
2018-02,27.2434,22.6807
2018-03,14.5412,18.8927
2018-04,9.6216,18.6249
2018-05,1.657,20.8091
2018-06,13.7572,20.9812
2018-07,18.6876,24.5763
2018-08,19.8814,27.7899
2018-09,14.1737,27.6747
2018-10,3.2156,18.1983
2018-11,16.3381,19.8597
2018-12,-4.3965,8.8011
2019-01,11.2962,17.1215
2019-02,23.73,20.4441
2019-03,5.2744,22.1999
2019-04,14.8677,26.5012
2019-05,18.9167,17.9266
2019-06,22.2351,25.7011
2019-07,22.9031,26.9004
2019-08,11.4179,24.2426
2019-09,10.0099,26.142
2019-10,6.2083,28.3311
2019-11,13.0356,32.3256
2019-12,19.7888,35.5485
2020-01,25.1084,34.7719
2020-02,16.7751,23.2511
2020-03,4.9842,7.5779
2020-04,15.3513,21.2186
2020-05,33.9228,26.5774
2020-06,28.4806,28.3766
2020-07,44.8664,35.3325
2020-08,53.9318,44.0777
2020-09,46.2934,37.914
2020-10,38.891,33.7633
2020-11,53.0377,47.7098
2020-12,65.9195,52.3667
2021-01,54.7753,49.9654
2021-02,55.4775,53.2453
2021-03,60.4974,60.4049
2021-04,69.9775,67.83
2021-05,64.0658,67.8968
2021-06,58.0579,70.6358
2021-07,62.3012,73.7106
2021-08,66.9411,77.7187
2021-09,51.1159,68.3779
2021-10,43.8902,79.119
2021-11,41.2104,76.6949
2021-12,61.2547,83.6042
2022-01,44.8589,72.9303
2022-02,40.4003,66.8181
2022-03,32.4284,72.1992
2022-04,41.5031,56.2223
2022-05,46.6178,55.8933
2022-06,51.897,42.4002
2022-07,62.4928,54.8512
2022-08,44.2257,47.8158
2022-09,40.6552,33.7039
2022-10,51.0455,44.0824
2022-11,65.0796,51.4429
2022-12,62.1779,42.1877
2023-01,65.4979,50.5828
2023-02,61.0679,46.2373
2023-03,70.2532,52.2586
2023-04,75.6939,54.0684
2023-05,82.9995,54.1996
2023-06,78.4013,63.548
2023-07,77.6942,68.1942
2023-08,76.5997,64.7317
2023-09,62.1441,56.2636
2023-10,55.8464,52.2886
2023-11,67.5419,65.5989
2023-12,74.2734,72.448
2024-01,65.7136,74.4576
2024-02,77.2537,82.7177
2024-03,77.0157,89.0282
2024-04,58.9508,80.6052
2024-05,53.836,88.8335
2024-06,47.4967,96.0415
2024-07,51.4477,97.3583
2024-08,38.2893,101.128
2024-09,52.6606,105.7758
2024-10,53.6604,102.865
2024-11,60.2821,113.7798
2024-12,52.2828,107.7813
2025-01,40.6911,112.3595
2025-02,57.4176,108.6721
2025-03,68.0013,96.0839
2025-04,71.9591,93.6359
2025-05,82.2383,104.9003
2025-06,77.8006,114.5225
2025-07,66.1223,118.4064
2025-08,75.8531,121.8959
2025-09,88.9499,128.6764
2025-10,86.8534,133.0211
2025-11,108.8344,132.409
2025-12,112.572,131.4906
2026-01,122.9247,133.7386
2026-02,134.3835,130.7823
2026-03,121.7016,129.7769
