Date,rate_DD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.8832,-1.8027
2016-03,8.6679,4.5695
2016-04,10.0053,3.6217
2016-05,5.4431,4.6859
2016-06,2.0566,4.2011
2016-07,9.899,7.3141
2016-08,8.6056,6.5393
2016-09,4.9188,5.8417
2016-10,8.411,3.4057
2016-11,11.4669,7.0013
2016-12,17.0665,8.6582
2017-01,20.6188,9.9058
2017-02,24.3128,13.4199
2017-03,25.9875,12.5861
2017-04,22.9163,12.9516
2017-05,19.9704,13.7442
2017-06,21.7967,14.6714
2017-07,23.7601,16.2352
2017-08,27.122,15.7466
2017-09,30.6582,17.3266
2017-10,35.0089,19.2474
2017-11,33.4818,22.0133
2017-12,30.7928,22.6523
2018-01,37.4852,28.4864
2018-02,27.3383,22.6807
2018-03,14.5921,18.8927
2018-04,13.2301,18.6249
2018-05,15.009,20.8091
2018-06,17.6076,20.9812
2018-07,22.0929,24.5763
2018-08,24.5098,27.7899
2018-09,13.5053,27.6747
2018-10,-5.1679,18.1983
2018-11,2.3331,19.8597
2018-12,-5.4456,8.8011
2019-01,-4.7148,17.1215
2019-02,-4.9284,20.4441
2019-03,-4.6664,22.1999
2019-04,2.3042,26.5012
2019-05,-18.3729,17.9266
2019-06,-4.6486,25.7011
2019-07,-7.8782,26.9004
2019-08,-13.0847,24.2426
2019-09,-8.4602,26.142
2019-10,-15.1145,28.3311
2019-11,-15.5504,32.3256
2019-12,-16.0238,35.5485
2020-01,-32.7737,34.7719
2020-02,-42.6825,23.2511
2020-03,-53.7512,7.5779
2020-04,-34.7114,21.2186
2020-05,-28.3526,26.5774
2020-06,-24.426,28.3766
2020-07,-23.0244,35.3325
2020-08,-19.3191,44.0777
2020-09,-19.4313,37.914
2020-10,-17.027,33.7633
2020-11,-5.8349,47.7098
2020-12,5.6387,52.3667
2021-01,17.9084,49.9654
2021-02,5.5745,53.2453
2021-03,15.7732,60.4049
2021-04,15.2556,67.83
2021-05,26.6145,67.8968
2021-06,15.4904,70.6358
2021-07,12.1738,73.7106
2021-08,10.4587,77.7187
2021-09,1.3416,68.3779
2021-10,3.6947,79.119
2021-11,10.5396,76.6949
2021-12,20.5668,83.6042
2022-01,14.0679,72.9303
2022-02,16.4683,66.8181
2022-03,10.6198,72.1992
2022-04,-1.013,56.2223
2022-05,3.8593,55.8933
2022-06,-14.9298,42.4002
2022-07,-5.5592,54.8512
2022-08,-14.0819,47.8158
2022-09,-21.9976,33.7039
2022-10,-11.1848,44.0824
2022-11,10.0971,51.4429
2022-12,7.0494,42.1877
2023-01,15.2495,50.5828
2023-02,14.1988,46.2373
2023-03,12.055,52.2586
2023-04,8.7249,54.0684
2023-05,5.2547,54.1996
2023-06,11.8362,63.548
2023-07,23.0612,68.1942
2023-08,21.6602,64.7317
2023-09,17.7848,56.2636
2023-10,14.9027,52.2886
2023-11,13.2976,65.5989
2023-12,21.655,72.448
2024-01,-2.4285,74.4576
2024-02,9.8514,82.7177
2024-03,21.5946,89.0282
2024-04,14.7765,80.6052
2024-05,30.4047,88.8335
2024-06,28.6488,96.0415
2024-07,33.5093,97.3583
2024-08,35.2821,101.128
2024-09,43.966,105.7758
2024-10,33.7199,102.865
2024-11,35.5945,113.7798
2024-12,23.9471,107.7813
2025-01,24.619,112.3595
2025-02,32.4372,108.6721
2025-03,21.3578,96.0839
2025-04,7.0761,93.6359
2025-05,9.6532,104.9003
2025-06,13.1754,114.5225
2025-07,18.4748,118.4064
2025-08,28.6173,121.8959
2025-09,30.6811,128.6764
2025-10,36.6898,133.0211
2025-11,61.1409,132.409
2025-12,62.3532,131.4906
2026-01,76.804,133.7386
2026-02,100.7096,130.7823
2026-03,84.5222,126.4154
