Date,rate_HBAR-USD_5D,rate_VOO_20D
2019-09,0.0,0.0
2019-10,-38.1165,1.0304
2019-11,-45.2582,5.0248
2019-12,-73.0639,8.2478
2020-01,-46.9963,7.4711
2020-02,57.943,-4.0497
2020-03,39.2115,-19.7229
2020-04,48.5136,-6.0822
2020-05,74.2679,-0.7234
2020-06,46.8359,1.0759
2020-07,64.0165,8.0318
2020-08,64.3797,16.777
2020-09,9.6213,10.6133
2020-10,1.1289,6.4626
2020-11,18.9604,20.409
2020-12,9.0587,25.0659
2021-01,179.3283,22.6646
2021-02,278.0302,25.9446
2021-03,1057.9835,33.1042
2021-04,800.2325,40.5293
2021-05,572.374,40.596
2021-06,439.7169,43.335
2021-07,470.7159,46.4099
2021-08,547.1726,50.418
2021-09,740.1516,41.0771
2021-10,876.5673,51.8182
2021-11,709.7484,49.3941
2021-12,552.8653,56.3035
2022-01,383.9656,45.6295
2022-02,388.402,39.5173
2022-03,387.4629,44.8985
2022-04,184.9397,28.9216
2022-05,86.698,28.5925
2022-06,23.4444,15.0994
2022-07,47.5402,27.5504
2022-08,21.4668,20.515
2022-09,9.8039,6.4031
2022-10,13.9062,16.7816
2022-11,-3.3809,24.1421
2022-12,-30.4184,14.887
2023-01,24.3962,23.2821
2023-02,32.4176,18.9365
2023-03,39.6495,24.9579
2023-04,20.6023,26.7677
2023-05,-3.1433,26.8989
2023-06,-4.4161,36.2473
2023-07,-1.1565,40.8934
2023-08,-0.8622,37.431
2023-09,-5.7968,28.9628
2023-10,-0.5362,24.9879
2023-11,14.1064,38.2982
2023-12,62.2835,45.1472
2024-01,30.3263,47.1568
2024-02,113.5441,55.4169
2024-03,113.7313,61.7274
2024-04,71.4333,53.3044
2024-05,81.8958,61.5327
2024-06,37.8883,68.7407
2024-07,12.9665,70.0576
2024-08,-10.5172,73.8273
2024-09,3.1427,78.475
2024-10,-16.8186,75.5643
2024-11,205.0455,86.4791
2024-12,378.1713,80.4805
2025-01,439.0337,85.0588
2025-02,269.4493,81.3713
2025-03,180.2826,68.7831
2025-04,209.781,66.3351
2025-05,182.1728,77.5996
2025-06,150.3313,87.2218
2025-07,315.8868,91.1056
2025-08,258.4616,94.5951
2025-09,248.5543,101.3756
2025-10,222.9346,105.7204
2025-11,125.5515,105.1082
2025-12,67.8478,104.1898
2026-01,45.7906,106.4378
2026-02,57.0715,103.4816
2026-03,36.519,90.309
2026-04,35.6821,112.0855
2026-05,49.3475,123.5367
2026-06,7.1587,119.2224
2026-07,5.8532,118.0129
2026-08,7.3925,125.4298
