Date,rate_AMCR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.9346,-3.7423
2016-03,-2.9102,0.3764
2016-04,17.9682,5.1946
2016-05,19.1942,3.5695
2016-06,23.304,4.8356
2016-07,12.7021,4.3651
2016-08,12.3716,7.2005
2016-09,15.3436,6.5176
2016-10,15.7625,5.8316
2016-11,14.1743,2.6321
2016-12,12.8766,6.5262
2017-01,1.4845,8.6002
2017-02,1.3626,9.8701
2017-03,6.9164,14.9815
2017-04,15.6558,12.5254
2017-05,15.1675,13.1716
2017-06,13.2843,14.581
2017-07,21.6419,14.626
2017-08,19.2374,16.4591
2017-09,25.0783,15.9061
2017-10,26.1277,17.2911
2017-11,24.9267,19.4181
2017-12,16.1308,21.7575
2018-01,20.5631,22.6249
2018-02,19.2292,28.3844
2018-03,14.1094,21.0506
2018-04,9.9007,18.8566
2018-05,3.939,18.843
2018-06,6.0386,22.0592
2018-07,6.6465,20.962
2018-08,12.5105,24.4135
2018-09,4.339,27.7869
2018-10,6.9785,28.1445
2018-11,-2.9423,19.3954
2018-12,6.4211,19.8359
2019-01,0.206,8.7501
2019-02,4.3996,17.203
2019-03,15.1505,21.2677
2019-04,21.0981,23.6016
2019-05,23.5474,25.5902
2019-06,24.6437,17.8911
2019-07,27.1699,26.7327
2019-08,16.3508,25.8061
2019-09,8.3629,24.2046
2019-10,6.5224,24.595
2019-11,8.3822,29.5299
2019-12,15.3744,32.3145
2020-01,21.5546,35.5516
2020-02,18.3195,34.7733
2020-03,3.8059,23.2161
2020-04,-11.2402,2.6957
2020-05,-1.7451,17.923
2020-06,16.573,27.1545
2020-07,17.9761,29.2791
2020-08,17.3058,35.3897
2020-09,27.6722,45.4969
2020-10,25.8837,38.8421
2020-11,18.8266,33.8054
2020-12,32.3447,49.4413
2021-01,34.5462,52.4925
2021-02,23.9612,52.5474
2021-03,29.451,57.1165
2021-04,33.2077,62.2404
2021-05,33.7114,68.0147
2021-06,36.1158,67.9506
2021-07,31.8032,71.7835
2021-08,31.327,73.9065
2021-09,43.657,78.108
2021-10,33.0822,70.559
2021-11,35.4428,79.7147
2021-12,28.6133,74.8714
2022-01,36.7531,83.8439
2022-02,38.4037,74.2485
2022-03,28.6158,64.4857
2022-04,31.4203,72.8765
2022-05,34.6383,56.3809
2022-06,50.5929,54.7432
2022-07,42.4388,43.9638
2022-08,47.6761,54.5402
2022-09,35.3486,48.4061
2022-10,21.982,33.808
2022-11,31.4665,43.6413
2022-12,41.4124,51.6237
2023-01,35.567,42.3283
2023-02,36.963,52.4008
2023-03,27.5166,45.8599
2023-04,29.8216,52.4428
2023-05,25.8407,54.1535
2023-06,11.7342,55.8684
2023-07,14.5866,63.7729
2023-08,14.7692,67.9151
2023-09,11.9742,65.3142
2023-10,6.1607,56.4671
2023-11,0.8807,54.158
2023-12,12.1618,66.8181
2024-01,12.9702,72.7134
2024-02,10.7286,77.0248
2024-03,7.7532,84.7703
2024-04,11.9367,89.0895
2024-05,15.9577,80.3005
2024-06,21.6477,89.1407
2024-07,14.6271,96.817
2024-08,25.217,94.9948
2024-09,36.1616,101.4737
2024-10,38.8437,104.2286
2024-11,25.5054,104.0979
2024-12,31.4684,114.1559
2025-01,16.0106,108.1307
2025-02,19.6797,112.719
2025-03,25.9912,109.0154
2025-04,21.9025,97.097
2025-05,12.6494,95.2965
2025-06,14.4948,105.2137
2025-07,18.8846,114.7559
2025-08,16.5883,115.142
2025-09,8.0554,122.2543
2025-10,2.4801,129.8729
2025-11,-1.1697,133.4127
2025-12,6.8465,131.7276
2026-01,4.2877,131.8756
2026-02,399.6582,120.852
