Date,rate_LVS_5D,rate_VOO_20D
2016-01,14.948,1.4254
2016-02,9.1744,0.6142
2016-03,16.445,6.1243
2016-04,-1.5373,4.6014
2016-05,0.9832,5.2878
2016-06,-4.009,4.687
2016-07,12.1689,7.7174
2016-08,9.7862,6.8637
2016-09,25.2248,5.9421
2016-10,23.1896,3.4868
2016-11,30.9346,6.843
2016-12,11.0237,8.2789
2017-01,8.4539,9.3935
2017-02,8.5569,12.821
2017-03,17.65,12.0413
2017-04,20.3873,12.4367
2017-05,19.4273,13.2406
2017-06,28.8,14.1802
2017-07,22.9115,15.6892
2017-08,22.9302,15.2834
2017-09,27.03,16.8657
2017-10,24.194,18.7799
2017-11,34.5424,21.509
2017-12,34.8522,22.1709
2018-01,48.822,27.9258
2018-02,36.646,22.2578
2018-03,34.4074,18.4465
2018-04,36.0116,18.162
2018-05,48.0638,20.337
2018-06,40.0533,20.5057
2018-07,30.7882,24.0401
2018-08,18.3644,27.2093
2018-09,8.1636,27.1082
2018-10,-3.158,17.9327
2018-11,-7.1079,19.5577
2018-12,-10.5176,8.5722
2019-01,0.6351,16.8959
2019-02,5.8379,20.2219
2019-03,6.1729,21.9603
2019-04,16.5036,26.2654
2019-05,-4.3259,20.4953
2019-06,4.1873,25.3574
2019-07,6.3539,26.514
2019-08,-2.3087,24.0717
2019-09,1.2546,25.9454
2019-10,8.5391,27.4086
2019-11,9.8859,31.384
2019-12,22.0349,34.5804
2020-01,14.9008,33.8021
2020-02,11.1071,22.3336
2020-03,-2.3771,15.1867
2020-04,-7.7636,29.6272
2020-05,-14.2996,28.2305
2020-06,-12.3113,28.0341
2020-07,-16.9657,33.4885
2020-08,-3.227,42.106
2020-09,-6.95,38.2475
2020-10,-3.4683,34.0563
2020-11,12.1293,42.9575
2020-12,11.9345,47.5016
2021-01,1.2697,45.1166
2021-02,21.0967,43.0879
2021-03,16.5162,49.8512
2021-04,14.6485,56.911
2021-05,7.8662,54.6413
2021-06,-1.7246,57.2758
2021-07,-21.0006,60.2291
2021-08,-16.3965,64.0213
2021-09,-24.3901,55.5224
2021-10,-20.6278,65.5435
2021-11,-23.7795,65.5034
2021-12,-23.5609,68.4598
2022-01,-11.7256,58.7763
2022-02,-14.1204,53.2596
2022-03,-16.3975,58.2953
2022-04,-24.7343,52.2757
2022-05,-25.8306,51.0659
2022-06,-29.4475,38.0304
2022-07,-24.9406,50.1558
2022-08,-24.7468,43.3725
2022-09,-24.6995,29.6913
2022-10,-27.7262,39.7003
2022-11,-17.1201,46.8631
2022-12,-16.0337,40.5677
2023-01,-3.8143,48.7988
2023-02,-5.6715,45.5387
2023-03,-7.6377,49.6635
2023-04,2.7127,48.4614
2023-05,-2.9956,48.1923
2023-06,-3.3682,57.2072
2023-07,-0.3178,61.7125
2023-08,-8.2114,59.5229
2023-09,-23.2313,51.3631
2023-10,-20.2578,47.5518
2023-11,-21.992,60.474
2023-12,-16.5587,67.125
2024-01,-16.8896,69.1001
2024-02,-6.8654,77.1309
2024-03,-11.59,83.2841
2024-04,-16.8553,75.177
2024-05,-18.2249,83.1784
2024-06,-19.4667,90.182
2024-07,-27.6023,90.9416
2024-08,-28.2133,97.1965
2024-09,-6.9925,98.31
2024-10,-3.9985,95.5089
2024-11,0.9475,105.9957
2024-12,-2.312,100.2436
2025-01,-12.6632,104.6582
2025-02,-14.1949,101.1287
2025-03,-19.4439,89.045
2025-04,-10.9739,88.6819
2025-05,0.616,99.6712
2025-06,1.1273,109.046
2025-07,14.7425,112.823
2025-08,22.2369,112.1707
2025-09,13.9225,118.6779
2025-10,25.5503,122.8639
2025-11,44.4555,122.3204
2025-12,37.5793,121.4705
2026-01,11.2594,123.6468
2026-02,20.1335,120.852
