Date,rate_PAYX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.4873,-3.7423
2016-03,5.7706,0.3764
2016-04,6.892,5.1946
2016-05,1.165,3.5695
2016-06,6.2558,4.8356
2016-07,14.8153,4.3651
2016-08,13.2154,7.2005
2016-09,14.8067,6.5176
2016-10,7.3621,5.8316
2016-11,2.5259,2.6321
2016-12,10.5966,6.5262
2017-01,13.8183,8.6002
2017-02,9.2289,9.8701
2017-03,16.5202,14.9815
2017-04,8.2277,12.5254
2017-05,8.1826,13.1716
2017-06,9.4612,14.581
2017-07,3.9456,14.626
2017-08,6.2467,16.4591
2017-09,6.3929,15.9061
2017-10,11.4557,17.2911
2017-11,19.5888,19.4181
2017-12,23.7855,21.7575
2018-01,25.0121,22.6249
2018-02,23.0058,28.3844
2018-03,15.7764,21.0506
2018-04,11.6357,18.8566
2018-05,10.5485,18.843
2018-06,20.6559,22.0592
2018-07,23.3375,20.962
2018-08,24.1596,24.4135
2018-09,31.6309,27.7869
2018-10,31.5077,28.1445
2018-11,16.1068,19.3954
2018-12,25.9099,19.8359
2019-01,15.2623,8.7501
2019-02,27.698,17.203
2019-03,36.7688,21.2677
2019-04,41.9629,23.6016
2019-05,42.7222,25.5902
2019-06,49.3519,17.8911
2019-07,44.2355,26.7327
2019-08,44.9021,25.8061
2019-09,40.1389,24.2046
2019-10,39.5686,24.595
2019-11,43.144,29.5299
2019-12,46.0035,32.3145
2020-01,43.2578,35.5516
2020-02,45.6368,34.7733
2020-03,31.7784,23.2161
2020-04,2.5961,2.6957
2020-05,12.6785,17.923
2020-06,22.5163,27.1545
2020-07,29.4782,29.2791
2020-08,23.6341,35.3897
2020-09,31.7053,45.4969
2020-10,36.4603,38.8421
2020-11,43.978,33.8054
2020-12,62.9575,49.4413
2021-01,61.2145,52.4925
2021-02,56.7363,52.5474
2021-03,61.8362,57.1165
2021-04,71.276,62.2404
2021-05,67.9726,68.0147
2021-06,74.0482,67.9506
2021-07,85.7315,71.7835
2021-08,96.9149,73.9065
2021-09,95.1414,78.108
2021-10,96.3703,70.559
2021-11,109.2673,79.7147
2021-12,101.2323,74.8714
2022-01,131.5458,83.8439
2022-02,102.106,74.2485
2022-03,99.7868,64.4857
2022-04,134.4487,72.8765
2022-05,112.3376,56.3809
2022-06,104.7539,54.7432
2022-07,93.5923,43.9638
2022-08,109.3055,54.5402
2022-09,105.4081,48.4061
2022-10,84.3263,33.808
2022-11,92.8527,43.6413
2022-12,105.7482,51.6237
2023-01,87.6926,42.3283
2023-02,90.1326,52.4008
2023-03,79.0919,45.8599
2023-04,84.4416,52.4428
2023-05,76.2435,54.1535
2023-06,72.2308,55.8684
2023-07,78.8936,63.7729
2023-08,100.2091,67.9151
2023-09,95.1304,65.3142
2023-10,82.8933,56.4671
2023-11,71.7996,54.158
2023-12,96.1037,66.8181
2024-01,87.5273,72.7134
2024-02,89.7419,77.0248
2024-03,91.9748,84.7703
2024-04,90.09,89.0895
2024-05,85.7503,80.3005
2024-06,87.5791,89.1407
2024-07,81.8076,96.817
2024-08,95.6945,94.9948
2024-09,103.5351,101.4737
2024-10,117.3516,104.2286
2024-11,113.6325,104.0979
2024-12,125.0404,114.1559
2025-01,114.6201,108.1307
2025-02,124.9147,112.719
2025-03,134.295,109.0154
2025-04,137.5672,97.097
2025-05,124.1381,95.2965
2025-06,141.8724,105.2137
2025-07,124.6406,114.7559
2025-08,112.9407,115.142
2025-09,112.1472,122.2543
2025-10,87.7915,129.8729
2025-11,76.5186,133.4127
2025-12,70.9906,131.7276
2026-01,72.9213,131.8756
2026-02,16.988,120.852
