Date,rate_GM_5D,rate_VOO_20D
2016-01,1.0996,1.4254
2016-02,-0.6539,0.6142
2016-03,6.8156,6.1243
2016-04,6.9213,4.6014
2016-05,4.2304,5.2878
2016-06,-4.3203,4.687
2016-07,6.9809,7.7174
2016-08,7.3619,6.8637
2016-09,7.2176,5.9421
2016-10,5.9071,3.4868
2016-11,15.0044,6.843
2016-12,15.5933,8.2789
2017-01,19.862,9.3935
2017-02,19.0619,12.821
2017-03,14.1566,12.0413
2017-04,10.9614,12.4367
2017-05,8.1408,13.2406
2017-06,11.9987,14.1802
2017-07,14.7085,15.6892
2017-08,15.8026,15.2834
2017-09,28.3348,16.8657
2017-10,35.1935,18.7799
2017-11,33.9421,21.509
2017-12,27.2121,22.1709
2018-01,30.3978,27.9258
2018-02,19.9209,22.2578
2018-03,11.2697,18.4465
2018-04,12.0716,18.162
2018-05,29.7479,20.337
2018-06,19.7908,20.5057
2018-07,14.5961,24.0401
2018-08,8.5521,27.2093
2018-09,2.2498,27.1082
2018-10,10.9519,17.9327
2018-11,10.7908,19.5577
2018-12,-1.5226,8.5722
2019-01,14.919,16.8959
2019-02,15.8093,20.2219
2019-03,9.684,21.9603
2019-04,14.8508,26.2654
2019-05,6.1308,20.4953
2019-06,17.7193,25.3574
2019-07,22.8296,26.514
2019-08,18.2164,24.0717
2019-09,19.8097,25.9454
2019-10,22.7475,27.4086
2019-11,18.4009,31.384
2019-12,21.2639,34.5804
2020-01,10.1919,33.8021
2020-02,0.4144,22.3336
2020-03,-29.88,15.1867
2020-04,-23.9446,29.6272
2020-05,-17.1775,28.2305
2020-06,-15.5552,28.0341
2020-07,-17.0519,33.4885
2020-08,-1.0159,42.106
2020-09,-7.0404,38.2475
2020-10,4.9532,34.0563
2020-11,23.9253,42.9575
2020-12,21.4171,47.5016
2021-01,44.0311,45.1166
2021-02,38.1583,43.0879
2021-03,47.3946,49.8512
2021-04,39.7661,56.911
2021-05,40.2254,54.6413
2021-06,39.2627,57.2758
2021-07,33.2216,60.2291
2021-08,15.9997,64.0213
2021-09,24.5038,55.5224
2021-10,28.1848,65.5435
2021-11,39.433,65.5034
2021-12,33.2067,68.4598
2022-01,19.3883,58.7763
2022-02,5.5456,53.2596
2022-03,-2.4854,58.2953
2022-04,-15.4911,52.2757
2022-05,-16.8368,51.0659
2022-06,-31.5195,38.0304
2022-07,-21.3843,50.1558
2022-08,-16.8925,43.3725
2022-09,-30.0899,29.6913
2022-10,-14.1307,39.7003
2022-11,-14.8386,46.8631
2022-12,-17.609,40.5677
2023-01,-7.891,48.7988
2023-02,-4.8081,45.5387
2023-03,-0.0056,49.6635
2023-04,-9.9817,48.4614
2023-05,-11.9209,48.1923
2023-06,4.9007,57.2072
2023-07,4.3287,61.7125
2023-08,-1.2995,59.5229
2023-09,-2.8783,51.3631
2023-10,-12.9826,47.5518
2023-11,-3.7091,60.474
2023-12,9.4035,67.125
2024-01,18.001,69.1001
2024-02,24.797,77.1309
2024-03,34.1817,83.2841
2024-04,29.2162,75.177
2024-05,30.2515,83.1784
2024-06,35.2517,90.182
2024-07,32.9772,90.9416
2024-08,50.9266,97.1965
2024-09,36.6193,98.31
2024-10,47.2542,95.5089
2024-11,43.0467,105.9957
2024-12,38.6662,100.2436
2025-01,28.4182,104.6582
2025-02,27.3242,101.1287
2025-03,21.7485,89.045
2025-04,22.1263,88.6819
2025-05,33.7068,99.6712
2025-06,29.285,109.046
2025-07,39.3187,112.823
2025-08,51.821,112.1707
2025-09,54.2102,118.6779
2025-10,74.2206,122.8639
2025-11,84.7269,122.3204
2025-12,104.5905,121.4705
2026-01,110.3917,123.6468
2026-02,96.2924,120.852
