Date,rate_TRGP_5D,rate_VOO_20D
2016-01,21.6525,1.4254
2016-02,27.7968,0.6142
2016-03,31.9567,6.1243
2016-04,75.706,4.6014
2016-05,72.8627,5.2878
2016-06,49.3942,4.687
2016-07,34.6812,7.7174
2016-08,50.4925,6.8637
2016-09,62.5898,5.9421
2016-10,42.6346,3.4868
2016-11,65.3286,6.843
2016-12,68.3268,8.2789
2017-01,62.6783,9.3935
2017-02,54.6162,12.821
2017-03,59.8599,12.0413
2017-04,50.7963,12.4367
2017-05,23.9354,13.2406
2017-06,20.6706,14.1802
2017-07,30.0706,15.6892
2017-08,23.657,15.2834
2017-09,30.0341,16.8657
2017-10,15.8367,18.7799
2017-11,20.0278,21.509
2017-12,32.8914,22.1709
2018-01,32.901,27.9258
2018-02,20.5456,22.2578
2018-03,17.9185,18.4465
2018-04,27.5318,18.162
2018-05,30.9124,20.337
2018-06,32.1644,20.5057
2018-07,37.7336,24.0401
2018-08,47.0526,27.2093
2018-09,48.8591,27.1082
2018-10,42.4511,17.9327
2018-11,26.5394,19.5577
2018-12,1.5296,8.5722
2019-01,23.7364,16.8959
2019-02,15.0549,20.2219
2019-03,18.3642,21.9603
2019-04,16.4613,26.2654
2019-05,15.1507,20.4953
2019-06,16.8669,25.3574
2019-07,18.0216,26.514
2019-08,16.6576,24.0717
2019-09,28.7184,25.9454
2019-10,28.5823,27.4086
2019-11,20.0342,31.384
2019-12,33.7037,34.5804
2020-01,21.8724,33.8021
2020-02,12.9856,22.3336
2020-03,-12.2461,15.1867
2020-04,76.2188,29.6272
2020-05,145.5659,28.2305
2020-06,128.9082,28.0341
2020-07,118.1739,33.4885
2020-08,112.8319,42.106
2020-09,77.882,38.2475
2020-10,102.2468,34.0563
2020-11,181.7439,42.9575
2020-12,188.1636,47.5016
2021-01,186.1087,45.1166
2021-02,185.8676,43.0879
2021-03,193.6556,49.8512
2021-04,210.1208,56.911
2021-05,241.6778,54.6413
2021-06,271.2814,57.2758
2021-07,259.365,60.2291
2021-08,253.4698,64.0213
2021-09,291.922,55.5224
2021-10,331.5005,65.5435
2021-11,303.0237,65.5034
2021-12,297.7964,68.4598
2022-01,332.5659,58.7763
2022-02,353.8659,53.2596
2022-03,377.9008,58.2953
2022-04,371.3021,52.2757
2022-05,363.4013,51.0659
2022-06,333.697,38.0304
2022-07,398.043,50.1558
2022-08,386.8254,43.3725
2022-09,326.2501,29.6913
2022-10,385.8146,39.7003
2022-11,401.9635,46.8631
2022-12,381.4143,40.5677
2023-01,368.0362,48.7988
2023-02,340.0346,45.5387
2023-03,343.0261,49.6635
2023-04,355.4701,48.4614
2023-05,327.3309,48.1923
2023-06,373.7372,57.2072
2023-07,415.2338,61.7125
2023-08,424.8574,59.5229
2023-09,415.9583,51.3631
2023-10,377.5724,47.5518
2023-11,401.5059,60.474
2023-12,377.6419,67.125
2024-01,366.0041,69.1001
2024-02,434.5087,77.1309
2024-03,504.2634,83.2841
2024-04,503.8184,75.177
2024-05,507.6274,83.1784
2024-06,556.4264,90.182
2024-07,571.5629,90.9416
2024-08,619.052,97.1965
2024-09,586.1459,98.31
2024-10,617.2355,95.5089
2024-11,714.5825,105.9957
2024-12,606.5415,100.2436
2025-01,675.7861,104.6582
2025-02,685.2136,101.1287
2025-03,701.48,89.045
2025-04,581.9035,88.6819
2025-05,525.4975,99.6712
2025-06,563.3195,109.046
2025-07,523.393,112.823
2025-08,523.9511,112.1707
2025-09,504.6142,118.6779
2025-10,455.6092,122.8639
2025-11,536.1354,122.3204
2025-12,564.7563,121.4705
2026-01,626.1932,123.6468
2026-02,750.0343,120.852
