Date,rate_STX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.6408,-0.6039
2016-03,10.8779,5.2168
2016-04,-31.3399,3.9893
2016-05,-18.9903,4.6886
2016-06,-9.6172,4.1237
2016-07,20.8094,7.1795
2016-08,24.2817,6.3603
2016-09,41.1215,5.6281
2016-10,21.9412,3.196
2016-11,40.2727,6.7601
2016-12,32.8648,8.3626
2017-01,56.7132,10.2536
2017-02,62.6246,13.6522
2017-03,52.5993,12.7005
2017-04,36.8334,12.9818
2017-05,39.0838,13.693
2017-06,23.7122,13.5288
2017-07,4.1178,15.0481
2017-08,-0.6908,14.5515
2017-09,6.4164,16.1037
2017-10,18.0002,17.9557
2017-11,22.198,20.6805
2017-12,33.4258,21.3029
2018-01,75.3646,28.0338
2018-02,66.6618,22.1441
2018-03,81.5737,18.3021
2018-04,76.5634,18.0902
2018-05,69.3419,20.2208
2018-06,68.9716,20.3415
2018-07,55.1276,23.8746
2018-08,55.922,27.0072
2018-09,39.7424,27.7347
2018-10,17.666,18.1437
2018-11,25.2037,19.7418
2018-12,13.1611,8.5778
2019-01,29.5586,17.1263
2019-02,35.1802,20.3748
2019-03,39.8186,22.0514
2019-04,39.8833,26.2651
2019-05,20.2222,17.5943
2019-06,36.4958,25.308
2019-07,33.1755,26.4355
2019-08,43.4804,23.7232
2019-09,55.5105,26.1617
2019-10,66.3597,28.2707
2019-11,69.4675,32.1761
2019-12,69.1756,35.3247
2020-01,62.1184,35.2749
2020-02,35.1422,23.5454
2020-03,38.4451,7.7105
2020-04,40.9097,21.425
2020-05,48.7939,26.7132
2020-06,36.7163,28.4357
2020-07,27.0785,35.3124
2020-08,34.2982,43.9511
2020-09,39.0276,37.6938
2020-10,34.2061,33.4637
2020-11,64.1915,47.2943
2020-12,74.0836,51.8455
2021-01,85.0543,50.305
2021-02,103.1828,53.4604
2021-03,112.8333,59.4101
2021-04,154.9334,66.6882
2021-05,162.0047,66.6274
2021-06,138.0037,69.2184
2021-07,135.6408,72.1455
2021-08,132.5756,75.992
2021-09,118.8617,66.6118
2021-10,134.0937,77.1553
2021-11,167.3444,74.6519
2021-12,193.1328,81.397
2022-01,175.2126,70.7122
2022-02,162.4316,64.6001
2022-03,128.4143,69.8532
2022-04,106.7563,54.0273
2022-05,111.7921,53.6333
2022-06,79.1316,40.2902
2022-07,99.4152,52.5094
2022-08,65.825,45.531
2022-09,32.8679,31.5965
2022-10,23.456,41.7445
2022-11,31.31,48.9584
2022-12,31.7292,39.838
2023-01,69.2011,48.5632
2023-02,60.1963,44.2258
2023-03,65.015,48.9578
2023-04,45.9578,50.6836
2023-05,48.6776,50.7741
2023-06,54.1374,59.884
2023-07,57.4983,64.3798
2023-08,74.7661,60.953
2023-09,63.6676,52.6248
2023-10,68.5832,48.7132
2023-11,94.4046,61.6976
2023-12,110.3543,68.3392
2024-01,111.1117,71.0275
2024-02,127.8567,79.0476
2024-03,128.0876,83.99
2024-04,109.31,75.7344
2024-05,125.8693,83.6813
2024-06,150.3658,89.2836
2024-07,146.1253,90.5002
2024-08,138.3437,94.0822
2024-09,163.9083,98.2932
2024-10,140.3034,95.412
2024-11,141.1491,105.8418
2024-12,105.8609,99.9875
2025-01,129.6323,105.351
2025-02,141.5429,101.7087
2025-03,101.8795,89.4719
2025-04,115.2457,87.0451
2025-05,177.4133,97.8575
2025-06,239.03,107.0685
2025-07,266.2839,110.7404
2025-08,287.8212,114.0337
2025-09,448.5185,121.6081
2025-10,489.7378,125.7153
2025-11,532.7012,125.0226
2025-12,526.5179,124.0393
2026-01,826.6428,127.2713
2026-02,347.8323,125.3185
