Date,rate_GDDY_5D,rate_VOO_20D
2016-01,4.035,1.4254
2016-02,4.8886,0.6142
2016-03,5.5276,6.1243
2016-04,-2.6325,4.6014
2016-05,4.7239,5.2878
2016-06,2.0203,4.687
2016-07,-1.2157,7.7174
2016-08,6.9044,6.8637
2016-09,12.8416,5.9421
2016-10,15.6172,3.4868
2016-11,13.4173,6.843
2016-12,10.879,8.2789
2017-01,12.4821,9.3935
2017-02,15.0461,12.821
2017-03,17.1341,12.0413
2017-04,19.181,12.4367
2017-05,24.7261,13.2406
2017-06,26.8771,14.1802
2017-07,27.0711,15.6892
2017-08,31.1696,15.2834
2017-09,26.0054,16.8657
2017-10,33.892,18.7799
2017-11,37.819,21.509
2017-12,40.7755,22.1709
2018-01,52.832,27.9258
2018-02,55.4236,22.2578
2018-03,59.3779,18.4465
2018-04,64.9295,18.162
2018-05,80.3651,20.337
2018-06,75.1357,20.5057
2018-07,79.9898,24.0401
2018-08,96.2459,27.2093
2018-09,97.9074,27.1082
2018-10,65.6663,17.9327
2018-11,44.7568,19.5577
2018-12,44.3004,8.5722
2019-01,49.6781,16.8959
2019-02,61.3963,20.2219
2019-03,60.8814,21.9603
2019-04,72.5818,26.2654
2019-05,55.9397,20.4953
2019-06,45.7838,25.3574
2019-07,51.3565,26.514
2019-08,38.8095,24.0717
2019-09,43.6935,25.9454
2019-10,40.8055,27.4086
2019-11,42.8296,31.384
2019-12,45.2005,34.5804
2020-01,42.7271,33.8021
2020-02,51.7798,22.3336
2020-03,44.5889,15.1867
2020-04,74.9207,29.6272
2020-05,70.5968,28.2305
2020-06,51.099,28.0341
2020-07,45.8508,33.4885
2020-08,72.3017,42.106
2020-09,67.2106,38.2475
2020-10,60.8029,34.0563
2020-11,68.4566,42.9575
2020-12,77.3479,47.5016
2021-01,66.5128,45.1166
2021-02,66.4377,43.0879
2021-03,67.3817,49.8512
2021-04,85.985,56.911
2021-05,72.2955,54.6413
2021-06,83.8608,57.2758
2021-07,76.0504,60.2291
2021-08,53.1855,64.0213
2021-09,44.8777,55.5224
2021-10,43.1067,65.5435
2021-11,44.534,65.5034
2021-12,74.0604,68.4598
2022-01,51.1273,58.7763
2022-02,64.5419,53.2596
2022-03,61.8666,58.2953
2022-04,53.7924,52.2757
2022-05,55.5053,51.0659
2022-06,43.5012,38.0304
2022-07,52.4175,50.1558
2022-08,55.1234,43.3725
2022-09,44.3462,29.6913
2022-10,63.0783,39.7003
2022-11,57.496,46.8631
2022-12,47.3712,40.5677
2023-01,61.1583,48.7988
2023-02,56.8065,45.5387
2023-03,60.2403,49.6635
2023-04,54.9653,48.4614
2023-05,55.119,48.1923
2023-06,58.1599,57.2072
2023-07,61.6289,61.7125
2023-08,51.4861,59.5229
2023-09,53.1012,51.3631
2023-10,49.7641,47.5518
2023-11,103.7935,60.474
2023-12,115.0069,67.125
2024-01,114.855,69.1001
2024-02,119.9906,77.1309
2024-03,127.4594,83.2841
2024-04,130.7191,75.177
2024-05,161.5845,83.1784
2024-06,160.1394,90.182
2024-07,166.6753,90.9416
2024-08,190.5561,97.1965
2024-09,178.6303,98.31
2024-10,187.6813,95.5089
2024-11,235.7755,105.9957
2024-12,233.2153,100.2436
2025-01,256.6881,104.6582
2025-02,199.1135,101.1287
2025-03,198.3825,89.045
2025-04,212.2875,88.6819
2025-05,200.242,99.6712
2025-06,195.0763,109.046
2025-07,163.2808,112.823
2025-08,140.4502,112.1707
2025-09,120.7298,118.6779
2025-10,113.792,122.8639
2025-11,104.4097,122.3204
2025-12,97.521,121.4705
2026-01,59.4935,123.6468
2026-02,37.8732,120.852
