Date,rate_EW_5D,rate_VOO_20D
2016-01,-0.798,-3.28
2016-02,10.336,-1.8027
2016-03,8.041,4.5695
2016-04,27.0107,3.6217
2016-05,12.8193,4.6859
2016-06,11.8329,4.2011
2016-07,26.6514,7.3141
2016-08,24.0395,6.5393
2016-09,26.98,5.8417
2016-10,-1.8182,3.4057
2016-11,-14.1229,7.0013
2016-12,-1.4117,8.6582
2017-01,1.3672,9.9058
2017-02,-1.1623,13.4199
2017-03,-1.0462,12.5861
2017-04,15.3991,12.9516
2017-05,20.1035,13.7442
2017-06,22.1451,14.6714
2017-07,17.8553,16.2352
2017-08,15.4183,15.7466
2017-09,10.3145,17.3266
2017-10,2.7443,19.2474
2017-11,17.6561,22.0133
2017-12,12.4767,22.6523
2018-01,25.7366,28.4864
2018-02,31.7153,22.6807
2018-03,36.2669,18.8927
2018-04,23.2169,18.6249
2018-05,31.8224,20.8091
2018-06,38.5014,20.9812
2018-07,34.3205,24.5763
2018-08,34.9133,27.7899
2018-09,61.5436,27.6747
2018-10,35.4966,18.1983
2018-11,47.5147,19.8597
2018-12,38.2308,8.8011
2019-01,52.6292,17.1215
2019-02,50.2692,20.4441
2019-03,68.2811,22.1999
2019-04,53.3156,26.5012
2019-05,47.3925,17.9266
2019-06,58.2761,25.7011
2019-07,80.7533,26.9004
2019-08,86.4407,24.2426
2019-09,82.9156,26.142
2019-10,96.3661,28.3311
2019-11,99.6709,32.3256
2019-12,88.2014,35.5485
2020-01,75.6849,34.7719
2020-02,62.2854,23.2511
2020-03,48.3213,7.5779
2020-04,70.1334,21.2186
2020-05,74.481,26.5774
2020-06,59.7322,28.3766
2020-07,79.9714,35.3325
2020-08,95.4465,44.0777
2020-09,80.1885,37.914
2020-10,60.6291,33.7633
2020-11,86.7309,47.7098
2020-12,101.4825,52.3667
2021-01,80.8881,49.9654
2021-02,80.726,53.2453
2021-03,80.5586,60.4049
2021-04,104.7453,67.83
2021-05,103.9413,67.8968
2021-06,118.5561,70.6358
2021-07,134.9621,73.7106
2021-08,143.1584,77.7187
2021-09,132.8989,68.3779
2021-10,144.4873,79.119
2021-11,117.2043,76.6949
2021-12,160.2094,83.6042
2022-01,117.5098,72.9303
2022-02,122.1949,66.8181
2022-03,131.0679,72.1992
2022-04,106.0511,56.2223
2022-05,95.1403,55.8933
2022-06,82.896,42.4002
2022-07,92.2278,54.8512
2022-08,71.2657,47.8158
2022-09,56.2756,33.7039
2022-10,36.3958,44.0824
2022-11,44.9909,51.4429
2022-12,39.5193,42.1877
2023-01,42.9467,50.5828
2023-02,49.317,46.2373
2023-03,52.9883,52.2586
2023-04,62.0449,54.0684
2023-05,54.4813,54.1996
2023-06,72.2907,63.548
2023-07,49.2262,68.1942
2023-08,38.5566,64.7317
2023-09,25.1704,56.2636
2023-10,14.8886,52.2886
2023-11,21.9078,65.5989
2023-12,36.9977,72.448
2024-01,40.5894,74.4576
2024-02,51.5941,82.7177
2024-03,70.0839,89.0282
2024-04,50.11,80.6052
2024-05,53.5373,88.8335
2024-06,62.6562,96.0415
2024-07,10.6609,97.3583
2024-08,22.6824,101.128
2024-09,15.5246,105.7758
2024-10,17.1719,102.865
2024-11,24.5726,113.7798
2024-12,29.0103,107.7813
2025-01,25.9987,112.3595
2025-02,24.3235,108.6721
2025-03,25.5927,96.0839
2025-04,30.5721,93.6359
2025-05,35.014,104.9003
2025-06,34.6897,114.5225
2025-07,36.2879,118.4064
2025-08,39.452,121.8959
2025-09,33.0153,128.6764
2025-10,40.7314,133.0211
2025-11,47.5667,132.409
2025-12,44.775,131.4906
2026-01,37.8209,133.7386
2026-02,46.1393,130.7823
2026-03,46.9602,129.7769
