Date,rate_KDP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.4776,-0.6039
2016-03,-5.2204,5.2168
2016-04,-2.9933,3.9893
2016-05,-2.2295,4.6886
2016-06,4.0272,4.1237
2016-07,5.511,7.1795
2016-08,-0.2857,6.3603
2016-09,-2.2269,5.6281
2016-10,-5.7591,3.196
2016-11,-6.3073,6.7601
2016-12,-0.8386,8.3626
2017-01,-0.2645,10.2536
2017-02,2.2338,13.6522
2017-03,7.5461,12.7005
2017-04,0.2313,12.9818
2017-05,1.5001,13.693
2017-06,0.1552,13.5288
2017-07,0.1448,15.0481
2017-08,-0.0033,14.5515
2017-09,-2.2552,16.1037
2017-10,-5.2298,17.9557
2017-11,-0.0214,20.6805
2017-12,8.1819,21.3029
2018-01,32.7979,28.0338
2018-02,27.965,22.1441
2018-03,29.7702,18.3021
2018-04,30.3269,18.0902
2018-05,28.4726,20.2208
2018-06,30.2997,20.3415
2018-07,35.2891,23.8746
2018-08,26.025,27.0072
2018-09,28.0699,27.7347
2018-10,43.5097,18.1437
2018-11,47.5166,19.7418
2018-12,38.7759,8.5778
2019-01,48.1389,17.1263
2019-02,35.5523,20.3748
2019-03,49.497,22.0514
2019-04,54.7533,26.2651
2019-05,48.6889,17.5943
2019-06,51.1053,25.308
2019-07,46.572,26.4355
2019-08,40.9485,23.7232
2019-09,41.1551,26.1617
2019-10,45.2424,28.2707
2019-11,58.3686,32.1761
2019-12,46.9336,35.3247
2020-01,45.5635,35.2749
2020-02,41.2059,23.5454
2020-03,22.0954,7.7105
2020-04,33.3854,21.425
2020-05,40.0445,26.7132
2020-06,41.5598,28.4357
2020-07,52.3051,35.3124
2020-08,47.5359,43.9511
2020-09,35.6282,37.6938
2020-10,32.1747,33.4637
2020-11,48.9037,47.2943
2020-12,55.5206,51.8455
2021-01,55.2777,50.305
2021-02,48.0439,53.4604
2021-03,66.4408,59.4101
2021-04,72.3683,66.6882
2021-05,76.3987,66.6274
2021-06,67.841,69.2184
2021-07,66.5572,72.1455
2021-08,67.6589,75.992
2021-09,60.3835,66.6118
2021-10,68.4928,77.1553
2021-11,57.6631,74.6519
2021-12,70.0254,81.397
2022-01,74.8205,70.7122
2022-02,76.9753,64.6001
2022-03,73.2091,69.8532
2022-04,69.8463,54.0273
2022-05,56.867,53.6333
2022-06,59.827,40.2902
2022-07,73.9859,52.5094
2022-08,70.1915,45.531
2022-09,59.9065,31.5965
2022-10,72.4401,41.7445
2022-11,70.7651,48.9584
2022-12,56.6219,39.838
2023-01,55.8315,48.5632
2023-02,51.8919,44.2258
2023-03,55.3128,48.9578
2023-04,43.3009,50.6836
2023-05,35.8677,50.7741
2023-06,36.9452,59.884
2023-07,48.4338,64.3798
2023-08,46.2825,60.953
2023-09,37.659,52.6248
2023-10,31.845,48.7132
2023-11,36.843,61.6976
2023-12,43.9583,68.3392
2024-01,36.7648,71.0275
2024-02,29.6753,79.0476
2024-03,33.5802,83.99
2024-04,46.3203,75.7344
2024-05,48.2022,83.6813
2024-06,44.9375,89.2836
2024-07,48.2899,90.5002
2024-08,57.8113,94.0822
2024-09,62.5529,98.2932
2024-10,42.3383,95.412
2024-11,40.6089,105.8418
2024-12,37.9177,99.9875
2025-01,38.8192,105.351
2025-02,44.5117,101.7087
2025-03,48.0402,89.4719
2025-04,49.1079,87.0451
2025-05,44.6843,97.8575
2025-06,42.6299,107.0685
2025-07,40.4179,110.7404
2025-08,24.7452,114.0337
2025-09,10.3816,121.6081
2025-10,17.3982,125.7153
2025-11,20.4438,125.0226
2025-12,20.7152,124.0393
2026-01,19.2501,127.2713
2026-02,42.924,125.3185
