Date,rate_HWM_5D,rate_VOO_20D
2016-11,0.0,0.0
2016-12,-3.4578,6.2073
2017-01,19.9657,7.4549
2017-02,42.0543,10.969
2017-03,21.8265,10.1351
2017-04,22.6174,10.5006
2017-05,20.0386,11.2933
2017-06,-3.2525,12.2204
2017-07,6.2625,13.7843
2017-08,8.4015,13.2957
2017-09,5.1349,14.8756
2017-10,5.7146,16.7964
2017-11,3.1419,19.5623
2017-12,13.9686,20.2014
2018-01,24.6738,26.0354
2018-02,-0.0598,20.2297
2018-03,-5.4943,16.4417
2018-04,-26.6688,16.1739
2018-05,-25.8967,18.3581
2018-06,-27.3592,18.5302
2018-07,-5.7532,22.1253
2018-08,-2.4281,25.339
2018-09,-3.935,25.2238
2018-10,-11.1284,15.7474
2018-11,-5.8253,17.4087
2018-12,-25.8779,6.3502
2019-01,-16.2072,14.6706
2019-02,-17.0449,17.9931
2019-03,-13.7001,19.7489
2019-04,-2.6024,24.0503
2019-05,-0.6121,15.4757
2019-06,17.1808,23.2501
2019-07,13.1098,24.4495
2019-08,16.4053,21.7917
2019-09,16.6535,23.6911
2019-10,22.8393,25.8802
2019-11,37.6213,29.8746
2019-12,35.7934,33.0976
2020-01,31.2848,32.3209
2020-02,27.8903,20.8001
2020-03,-30.3359,5.1269
2020-04,-25.4809,18.7676
2020-05,-24.7323,24.1264
2020-06,-8.2038,25.9257
2020-07,-14.1452,32.8816
2020-08,2.1138,41.6268
2020-09,-2.5889,35.4631
2020-10,0.4873,31.3124
2020-11,36.6094,45.2589
2020-12,65.244,49.9158
2021-01,41.2297,47.5144
2021-02,60.5488,50.7944
2021-03,82.1223,57.954
2021-04,79.6645,65.3791
2021-05,97.832,65.4458
2021-06,90.5,68.1848
2021-07,79.8673,71.2597
2021-08,72.6754,75.2678
2021-09,68.4685,65.9269
2021-10,59.1752,76.668
2021-11,49.8575,74.2439
2021-12,68.6872,81.1533
2022-01,63.7031,70.4794
2022-02,87.9339,64.3671
2022-03,86.8146,69.7483
2022-04,76.0963,53.7714
2022-05,83.4149,53.4423
2022-06,60.2044,39.9492
2022-07,88.0696,52.4002
2022-08,78.2571,45.3648
2022-09,54.6831,31.2529
2022-10,76.8953,41.6314
2022-11,86.2838,48.9919
2022-12,93.6366,39.7368
2023-01,98.6328,48.1319
2023-02,104.5609,43.7863
2023-03,104.0991,49.8077
2023-04,111.9461,51.6175
2023-05,103.2127,51.7487
2023-06,134.0376,61.0971
2023-07,139.7873,65.7433
2023-08,130.3634,62.2808
2023-09,113.9056,53.8126
2023-10,102.6749,49.8377
2023-11,140.251,63.148
2023-12,145.5047,69.997
2024-01,153.4696,72.0066
2024-02,197.7167,80.2667
2024-03,203.8314,86.5773
2024-04,194.2039,78.1542
2024-05,270.3572,86.3826
2024-06,236.9578,93.5905
2024-07,312.232,94.9074
2024-08,313.0197,98.6771
2024-09,324.9351,103.3248
2024-10,319.3157,100.4141
2024-11,393.8346,111.3289
2024-12,352.5439,105.3303
2025-01,419.6134,109.9086
2025-02,457.4299,106.2211
2025-03,425.1,93.6329
2025-04,456.4399,91.1849
2025-05,577.801,102.4494
2025-06,636.4858,112.0716
2025-07,605.5251,115.9554
2025-08,579.1276,119.4449
2025-09,659.3176,126.2254
2025-10,690.5152,130.5702
2025-11,680.3738,129.958
2025-12,675.8832,129.0396
2026-01,681.2816,131.2876
2026-02,879.3659,128.3314
2026-03,831.3266,123.9644
