Date,rate_SRE_5D,rate_VOO_20D
2016-01,1.6485,-3.28
2016-02,2.1879,-1.8027
2016-03,10.1462,4.5695
2016-04,6.4473,3.6217
2016-05,8.9655,4.6859
2016-06,15.1795,4.2011
2016-07,10.9691,7.3141
2016-08,2.5592,6.5393
2016-09,5.5959,5.8417
2016-10,4.9476,3.4057
2016-11,-2.4089,7.0013
2016-12,-0.6076,8.6582
2017-01,1.1616,9.9058
2017-02,8.9348,13.4199
2017-03,9.3899,12.5861
2017-04,11.275,12.9516
2017-05,14.065,13.7442
2017-06,9.6271,14.6714
2017-07,10.1662,16.2352
2017-08,14.3432,15.7466
2017-09,10.796,17.3266
2017-10,13.552,19.2474
2017-11,16.3407,22.0133
2017-12,3.0379,22.6523
2018-01,3.0116,28.4864
2018-02,4.7944,22.6807
2018-03,7.6711,18.8927
2018-04,7.9555,18.6249
2018-05,2.6153,20.8091
2018-06,13.5329,20.9812
2018-07,13.4177,24.5763
2018-08,13.4962,27.7899
2018-09,11.6913,27.6747
2018-10,7.7938,18.1983
2018-11,12.5491,19.8597
2018-12,7.9762,8.8011
2019-01,16.5005,17.1215
2019-02,19.4995,20.4441
2019-03,25.2806,22.1999
2019-04,26.6929,26.5012
2019-05,29.5204,17.9266
2019-06,34.6792,25.7011
2019-07,33.8141,26.9004
2019-08,39.1167,24.2426
2019-09,45.0179,26.142
2019-10,41.0489,28.3311
2019-11,42.809,32.3256
2019-12,48.7643,35.5485
2020-01,56.6926,34.7719
2020-02,35.3872,23.2511
2020-03,9.9073,7.5779
2020-04,20.5317,21.2186
2020-05,22.587,26.5774
2020-06,14.368,28.3766
2020-07,21.0318,35.3325
2020-08,19.8722,44.0777
2020-09,15.4446,37.914
2020-10,21.9609,33.7633
2020-11,23.6422,47.7098
2020-12,24.186,52.3667
2021-01,20.2462,49.9654
2021-02,12.3754,53.2453
2021-03,29.249,60.4049
2021-04,33.648,67.83
2021-05,31.1191,67.8968
2021-06,27.7447,70.6358
2021-07,26.6119,73.7106
2021-08,27.8692,77.7187
2021-09,22.8746,68.3779
2021-10,23.6587,79.119
2021-11,15.8255,76.6949
2021-12,28.6208,83.6042
2022-01,33.9224,72.9303
2022-02,39.3304,66.8181
2022-03,62.8737,72.1992
2022-04,55.5082,56.2223
2022-05,57.1833,55.8933
2022-06,43.49,42.4002
2022-07,58.7537,54.8512
2022-08,57.2337,47.8158
2022-09,43.3501,33.7039
2022-10,43.7721,44.0824
2022-11,57.7006,51.4429
2022-12,47.0891,42.1877
2023-01,52.0176,50.5828
2023-02,41.6309,46.2373
2023-03,43.4152,52.2586
2023-04,47.0096,54.0684
2023-05,35.2198,54.1996
2023-06,36.7563,63.548
2023-07,41.7889,68.1942
2023-08,33.2397,64.7317
2023-09,29.8697,56.2636
2023-10,33.355,52.2886
2023-11,38.3803,65.5989
2023-12,42.6197,72.448
2024-01,36.1529,74.4576
2024-02,33.9526,82.7177
2024-03,37.1182,89.0282
2024-04,36.3795,80.6052
2024-05,46.2588,88.8335
2024-06,45.1434,96.0415
2024-07,52.3385,97.3583
2024-08,55.8346,101.128
2024-09,59.2121,105.7758
2024-10,58.1525,102.865
2024-11,77.0828,113.7798
2024-12,66.3407,107.7813
2025-01,56.687,112.3595
2025-02,34.7942,108.6721
2025-03,35.2974,96.0839
2025-04,40.4732,93.6359
2025-05,48.2527,104.9003
2025-06,43.7427,114.5225
2025-07,54.5221,118.4064
2025-08,55.7178,121.8959
2025-09,69.181,128.6764
2025-10,73.5072,133.0211
2025-11,78.1131,132.409
2025-12,66.6592,131.4906
2026-01,63.7005,133.7386
2026-02,80.5295,130.7823
2026-03,78.7548,129.7769
