Date,rate_SBUX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.2752,-0.6039
2016-03,-2.2902,5.2168
2016-04,-8.0065,3.9893
2016-05,-8.7565,4.6886
2016-06,-3.6079,4.1237
2016-07,-1.5624,7.1795
2016-08,-4.0728,6.3603
2016-09,-7.2728,5.6281
2016-10,-8.3804,3.196
2016-11,1.3768,6.7601
2016-12,-3.1299,8.3626
2017-01,-3.6524,10.2536
2017-02,0.0917,13.6522
2017-03,2.6806,12.7005
2017-04,5.3912,12.9818
2017-05,11.6384,13.693
2017-06,1.6797,13.5288
2017-07,-5.9649,15.0481
2017-08,-3.7793,14.5515
2017-09,-5.6431,16.1037
2017-10,-3.4204,17.9557
2017-11,2.4586,20.6805
2017-12,1.6801,21.3029
2018-01,0.583,28.0338
2018-02,1.6386,22.1441
2018-03,3.028,18.3021
2018-04,2.4377,18.0902
2018-05,1.2294,20.2208
2018-06,-12.7883,20.3415
2018-07,-6.0327,23.8746
2018-08,-3.2677,27.0072
2018-09,2.823,27.7347
2018-10,5.3817,18.1437
2018-11,21.0644,19.7418
2018-12,16.1821,8.5778
2019-01,22.9254,17.1263
2019-02,26.6805,20.3748
2019-03,33.1786,22.0514
2019-04,38.1951,26.2651
2019-05,34.9311,17.5943
2019-06,47.6684,25.308
2019-07,65.3742,26.4355
2019-08,67.563,23.7232
2019-09,53.5011,26.1617
2019-10,45.6093,28.2707
2019-11,46.7352,32.1761
2019-12,49.9092,35.3247
2020-01,44.6419,35.2749
2020-02,33.4585,23.5454
2020-03,11.1279,7.7105
2020-04,29.5232,21.425
2020-05,31.7697,26.7132
2020-06,23.6939,28.4357
2020-07,28.1072,35.3124
2020-08,41.4731,43.9511
2020-09,43.0118,37.6938
2020-10,43.8757,33.4637
2020-11,61.975,47.2943
2020-12,75.4782,51.8455
2021-01,58.8107,50.305
2021-02,76.6905,53.4604
2021-03,77.3461,59.4101
2021-04,84.3766,66.6882
2021-05,82.6383,66.6274
2021-06,77.9462,69.2184
2021-07,91.7981,72.1455
2021-08,84.8354,75.992
2021-09,72.2456,66.6118
2021-10,64.4899,77.1553
2021-11,69.6703,74.6519
2021-12,79.8728,81.397
2022-01,50.175,70.7122
2022-02,40.235,64.6001
2022-03,38.4246,69.8532
2022-04,13.1205,54.0273
2022-05,19.4872,53.6333
2022-06,16.0609,40.2902
2022-07,28.492,52.5094
2022-08,27.7613,45.531
2022-09,27.631,31.5965
2022-10,30.7507,41.7445
2022-11,54.6061,48.9584
2022-12,49.3463,39.838
2023-01,64.3079,48.5632
2023-02,53.704,44.2258
2023-03,56.0847,48.9578
2023-04,70.5208,50.6836
2023-05,45.7195,50.7741
2023-06,47.2653,59.884
2023-07,50.4054,64.3798
2023-08,44.4975,60.953
2023-09,34.8432,52.6248
2023-10,35.8619,48.7132
2023-11,46.6546,61.6976
2023-12,41.279,68.3392
2024-01,36.8971,71.0275
2024-02,40.0503,79.0476
2024-03,34.4686,83.99
2024-04,29.8282,75.7344
2024-05,18.415,83.6813
2024-06,14.677,89.2836
2024-07,14.6725,90.5002
2024-08,39.8147,94.0822
2024-09,44.1055,98.2932
2024-10,43.9474,95.412
2024-11,51.3605,105.8418
2024-12,34.3499,99.9875
2025-01,58.5254,105.351
2025-02,70.7348,101.7087
2025-03,44.0115,89.4719
2025-04,17.1704,87.0451
2025-05,23.5623,97.8575
2025-06,34.5719,107.0685
2025-07,30.5825,110.7404
2025-08,29.7849,114.0337
2025-09,24.54,121.6081
2025-10,18.8249,125.7153
2025-11,28.7026,125.0226
2025-12,24.1998,124.0393
2026-01,35.6091,127.2713
2026-02,24.3492,125.3185
