Date,rate_LLY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.7473,-1.8027
2016-03,-6.8317,4.5695
2016-04,-1.0421,3.6217
2016-05,-0.8204,4.6859
2016-06,4.2344,4.2011
2016-07,8.9779,7.3141
2016-08,1.851,6.5393
2016-09,4.9882,5.8417
2016-10,-3.8571,3.4057
2016-11,-11.4774,7.0013
2016-12,-1.7857,8.6582
2017-01,2.983,9.9058
2017-02,11.0869,13.4199
2017-03,11.9817,12.5861
2017-04,8.5293,12.9516
2017-05,5.4604,13.7442
2017-06,8.7182,14.6714
2017-07,8.7312,16.2352
2017-08,8.56,15.7466
2017-09,13.9004,17.3266
2017-10,8.5066,19.2474
2017-11,12.3291,22.0133
2017-12,11.5411,22.6523
2018-01,7.1303,28.4864
2018-02,1.7549,22.6807
2018-03,2.1814,18.8927
2018-04,6.9795,18.6249
2018-05,12.7772,20.8091
2018-06,12.7426,20.9812
2018-07,30.0297,24.5763
2018-08,38.7418,27.7899
2018-09,39.7249,27.6747
2018-10,40.0047,18.1983
2018-11,52.6225,19.8597
2018-12,47.445,8.8011
2019-01,51.388,17.1215
2019-02,58.8578,20.4441
2019-03,61.5977,22.1999
2019-04,44.3945,26.5012
2019-05,42.7336,17.9266
2019-06,35.4248,25.7011
2019-07,32.3355,26.9004
2019-08,37.1879,24.2426
2019-09,34.9877,26.142
2019-10,36.7835,28.3311
2019-11,40.8479,32.3256
2019-12,56.7747,35.5485
2020-01,65.3174,34.7719
2020-02,49.0447,23.2511
2020-03,62.8444,7.5779
2020-04,80.1892,21.2186
2020-05,77.5924,26.5774
2020-06,89.0776,28.3766
2020-07,71.6331,35.3325
2020-08,69.0405,44.0777
2020-09,67.4295,37.914
2020-10,46.6024,33.7633
2020-11,63.5786,47.7098
2020-12,88.3765,52.3667
2021-01,130.1634,49.9654
2021-02,125.6607,53.2453
2021-03,103.94,60.4049
2021-04,97.9494,67.83
2021-05,115.5782,67.8968
2021-06,145.6977,70.6358
2021-07,158.3282,73.7106
2021-08,172.4219,77.7187
2021-09,141.5057,68.3779
2021-10,164.0511,79.119
2021-11,157.4897,76.6949
2021-12,184.246,83.6042
2022-01,150.3007,72.9303
2022-02,153.8539,66.8181
2022-03,188.4685,72.1992
2022-04,191.7088,56.2223
2022-05,213.2169,55.8933
2022-06,221.1902,42.4002
2022-07,223.7448,54.8512
2022-08,196.1506,47.8158
2022-09,215.1653,33.7039
2022-10,249.9585,44.0824
2022-11,256.5308,51.4429
2022-12,248.4957,42.1877
2023-01,225.1069,50.5828
2023-02,192.7286,46.2373
2023-03,220.5083,52.2586
2023-04,266.5094,54.0684
2023-05,297.4072,54.1996
2023-06,330.2558,63.548
2023-07,313.5128,68.1942
2023-08,400.9199,64.7317
2023-09,381.3055,56.2636
2023-10,392.1724,52.2886
2023-11,421.6953,65.5989
2023-12,410.2254,72.448
2024-01,460.3496,74.4576
2024-02,549.7021,82.7177
2024-03,564.8154,89.0282
2024-04,561.8611,80.6052
2024-05,590.3402,88.8335
2024-06,655.5012,96.0415
2024-07,565.4918,97.3583
2024-08,688.8387,101.128
2024-09,621.9551,105.7758
2024-10,570.7049,102.865
2024-11,540.961,113.7798
2024-12,517.2902,107.7813
2025-01,543.5219,112.3595
2025-02,629.4452,108.6721
2025-03,549.3589,96.0839
2025-04,601.4047,93.6359
2025-05,474.8671,104.9003
2025-06,503.0483,114.5225
2025-07,468.3814,118.4064
2025-08,462.0461,121.8959
2025-09,481.2594,128.6764
2025-10,552.6155,133.0211
2025-11,710.8955,132.409
2025-12,704.45,131.4906
2026-01,670.7441,133.7386
2026-02,681.2986,130.7823
2026-03,637.3424,126.4154
