Date,rate_PYPL_5D,rate_VOO_20D
2016-01,3.892,-3.28
2016-02,6.1756,-1.8027
2016-03,4.3955,4.5695
2016-04,4.3333,3.6217
2016-05,-0.1753,4.6859
2016-06,-3.7518,4.2011
2016-07,-1.2249,7.3141
2016-08,-1.2499,6.5393
2016-09,9.129,5.8417
2016-10,10.0307,3.4057
2016-11,2.9351,7.0013
2016-12,3.3987,8.6582
2017-01,3.9455,9.9058
2017-02,9.5195,13.4199
2017-03,11.4542,12.5861
2017-04,22.8113,12.9516
2017-05,32.9015,13.7442
2017-06,34.6312,14.6714
2017-07,44.8545,16.2352
2017-08,50.1503,15.7466
2017-09,53.3965,17.3266
2017-10,71.0535,19.2474
2017-11,75.3073,22.0133
2017-12,67.4013,22.6523
2018-01,90.8197,28.4864
2018-02,74.6932,22.6807
2018-03,64.3068,18.8927
2018-04,59.3236,18.6249
2018-05,72.9607,20.8091
2018-06,72.9694,20.9812
2018-07,68.3044,24.5763
2018-08,86.6914,27.7899
2018-09,75.1251,27.6747
2018-10,65.7537,18.1983
2018-11,66.9932,19.8597
2018-12,61.8259,8.8011
2019-01,69.0405,17.1215
2019-02,84.7049,20.4441
2019-03,93.2405,22.1999
2019-04,107.2576,26.5012
2019-05,99.2088,17.9266
2019-06,105.2798,25.7011
2019-07,95.6341,26.9004
2019-08,91.0899,24.2426
2019-09,79.6138,26.142
2019-10,78.7807,28.3311
2019-11,83.7327,32.3256
2019-12,82.2576,35.5485
2020-01,90.1161,34.7719
2020-02,78.5668,23.2511
2020-03,56.9699,7.5779
2020-04,100.3165,21.2186
2020-05,150.0382,26.5774
2020-06,177.9109,28.3766
2020-07,209.0353,35.3325
2020-08,217.8543,44.0777
2020-09,203.0632,37.914
2020-10,183.0061,33.7633
2020-11,221.9368,47.7098
2020-12,248.0363,52.3667
2021-01,244.1316,49.9654
2021-02,277.1784,53.2453
2021-03,248.31,60.4049
2021-04,271.9651,67.83
2021-05,264.5994,67.8968
2021-06,304.2098,70.6358
2021-07,277.8267,73.7106
2021-08,291.5436,77.7187
2021-09,249.1873,68.3779
2021-10,208.9463,79.119
2021-11,143.329,76.6949
2021-12,146.197,83.6042
2022-01,122.6763,72.9303
2022-02,43.9472,66.8181
2022-03,48.195,72.1992
2022-04,12.2436,56.2223
2022-05,8.6227,55.8933
2022-06,-10.9934,42.4002
2022-07,10.3715,54.8512
2022-08,19.0042,47.8158
2022-09,9.4257,33.7039
2022-10,6.1526,44.0824
2022-11,-0.4676,51.4429
2022-12,-9.5798,42.1877
2023-01,3.5697,50.5828
2023-02,-6.5009,46.2373
2023-03,-3.4601,52.2586
2023-04,-3.3446,54.0684
2023-05,-21.0978,54.1996
2023-06,-14.8414,63.548
2023-07,-3.0711,68.1942
2023-08,-20.0328,64.7317
2023-09,-25.0223,56.2636
2023-10,-33.3149,52.2886
2023-11,-25.4574,65.5989
2023-12,-20.3042,72.448
2024-01,-20.1728,74.4576
2024-02,-21.293,82.7177
2024-03,-12.3961,89.0282
2024-04,-11.0263,80.6052
2024-05,-17.3485,88.8335
2024-06,-23.6897,96.0415
2024-07,-13.2532,97.3583
2024-08,-4.3457,101.128
2024-09,3.0824,105.7758
2024-10,4.7351,102.865
2024-11,14.5664,113.7798
2024-12,12.5605,107.7813
2025-01,16.6946,112.3595
2025-02,-6.5012,108.6721
2025-03,-14.0715,96.0839
2025-04,-13.1802,93.6359
2025-05,-7.2034,104.9003
2025-06,-1.8102,114.5225
2025-07,-9.1398,118.4064
2025-08,-7.1511,121.8959
2025-09,-11.2287,128.6764
2025-10,-8.203,133.0211
2025-11,-16.663,132.409
2025-12,-22.2548,131.4906
2026-01,-29.656,133.7386
2026-02,-38.0813,130.7823
2026-03,-38.5512,129.7769
