Date,rate_FISV_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.8276,-0.6039
2016-03,6.6661,5.2168
2016-04,-0.2315,3.9893
2016-05,7.1258,4.6886
2016-06,9.1625,4.1237
2016-07,9.3671,7.1795
2016-08,1.008,6.3603
2016-09,-2.7185,5.6281
2016-10,-3.4898,3.196
2016-11,2.8012,6.7601
2016-12,4.2552,8.3626
2017-01,5.3812,10.2536
2017-02,12.8647,13.6522
2017-03,11.7193,12.7005
2017-04,14.5633,12.9818
2017-05,19.4763,13.693
2017-06,15.5278,13.5288
2017-07,20.4505,15.0481
2017-08,14.8811,14.5515
2017-09,18.9843,16.1037
2017-10,18.4902,17.9557
2017-11,19.6054,20.6805
2017-12,18.477,21.3029
2018-01,27.2371,28.0338
2018-02,28.3824,22.1441
2018-03,26.5876,18.3021
2018-04,24.7965,18.0902
2018-05,26.8549,20.2208
2018-06,28.4219,20.3415
2018-07,29.7829,23.8746
2018-08,36.6243,27.0072
2018-09,40.559,27.7347
2018-10,34.063,18.1437
2018-11,32.8764,19.7418
2018-12,22.4631,8.5778
2019-01,38.1678,17.1263
2019-02,39.935,20.3748
2019-03,44.5982,22.0514
2019-04,41.6272,26.2651
2019-05,38.3077,17.5943
2019-06,45.867,25.308
2019-07,67.2569,26.4355
2019-08,67.9524,23.7232
2019-09,62.6929,26.1617
2019-10,65.1239,28.2707
2019-11,79.1025,32.1761
2019-12,76.3596,35.3247
2020-01,80.8989,35.2749
2020-02,65.0506,23.5454
2020-03,42.037,7.7105
2020-04,53.2935,21.425
2020-05,57.6869,26.7132
2020-06,43.0346,28.4357
2020-07,45.2859,35.3124
2020-08,44.0514,43.9511
2020-09,48.1693,37.6938
2020-10,36.3971,33.4637
2020-11,63.6656,47.2943
2020-12,60.6088,51.8455
2021-01,44.8673,50.305
2021-02,61.7477,53.4604
2021-03,65.7232,59.4101
2021-04,66.0088,66.6882
2021-05,58.1099,66.6274
2021-06,45.8036,69.2184
2021-07,56.1484,72.1455
2021-08,58.9226,75.992
2021-09,45.5059,66.6118
2021-10,31.4108,77.1553
2021-11,28.2409,74.6519
2021-12,37.4328,81.397
2022-01,39.3209,70.7122
2022-02,28.1469,64.6001
2022-03,32.6112,69.8532
2022-04,27.5821,54.0273
2022-05,30.1276,53.6333
2022-06,15.2008,40.2902
2022-07,36.5112,52.5094
2022-08,30.2235,45.531
2022-09,20.0047,31.5965
2022-10,31.4323,41.7445
2022-11,33.0606,48.9584
2022-12,28.4385,39.838
2023-01,35.5639,48.5632
2023-02,45.7265,44.2258
2023-03,42.5358,48.9578
2023-04,53.4193,50.6836
2023-05,40.3419,50.7741
2023-06,57.2365,59.884
2023-07,56.6177,64.3798
2023-08,49.98,60.953
2023-09,39.0089,52.6248
2023-10,39.5187,48.7132
2023-11,59.6466,61.6976
2023-12,61.6768,68.3392
2024-01,72.6667,71.0275
2024-02,80.7863,79.0476
2024-03,92.5813,83.99
2024-04,83.0027,75.7344
2024-05,78.6539,83.6813
2024-06,76.9576,89.2836
2024-07,93.3041,90.5002
2024-08,105.301,94.0822
2024-09,111.2387,98.2932
2024-10,131.3963,95.412
2024-11,156.8075,105.8418
2024-12,137.2786,99.9875
2025-01,149.5349,105.351
2025-02,170.5639,101.7087
2025-03,151.9047,89.4719
2025-04,109.2828,87.0451
2025-05,83.6586,97.8575
2025-06,93.6431,107.0685
2025-07,55.3398,110.7404
2025-08,53.9883,114.0337
2025-09,43.6811,121.6081
2025-10,-25.8829,125.7153
2025-11,-31.4439,125.0226
2025-12,-24.7946,124.0393
2026-01,-28.6455,127.2713
2026-02,-49.697,125.3185
