Date,rate_AMGN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-3.6267,-3.7423
2016-03,-4.022,0.3764
2016-04,1.0678,5.1946
2016-05,3.4822,3.5695
2016-06,4.551,4.8356
2016-07,1.2989,4.3651
2016-08,14.1264,7.2005
2016-09,10.3935,6.5176
2016-10,7.0955,5.8316
2016-11,-10.2363,2.6321
2016-12,-7.6205,6.5262
2017-01,-4.4992,8.6002
2017-02,4.6621,9.8701
2017-03,17.2062,14.9815
2017-04,6.8257,12.5254
2017-05,5.4396,13.1716
2017-06,1.7457,14.581
2017-07,12.0448,14.626
2017-08,12.6346,16.4591
2017-09,15.6834,15.9061
2017-10,19.9088,17.2911
2017-11,11.9596,19.4181
2017-12,13.2965,21.7575
2018-01,10.6381,22.6249
2018-02,17.5981,28.3844
2018-03,16.3188,21.0506
2018-04,7.623,18.8566
2018-05,6.5916,18.843
2018-06,16.1688,22.0592
2018-07,16.2682,20.962
2018-08,22.7941,24.4135
2018-09,25.3762,27.7869
2018-10,29.0311,28.1445
2018-11,19.4955,19.3954
2018-12,29.2138,19.8359
2019-01,20.0258,8.7501
2019-02,14.8173,17.203
2019-03,17.8134,21.2677
2019-04,17.7277,23.6016
2019-05,7.723,25.5902
2019-06,2.6544,17.8911
2019-07,14.6807,26.7327
2019-08,14.1222,25.8061
2019-09,28.5255,24.2046
2019-10,18.4296,24.595
2019-11,33.1536,29.5299
2019-12,43.5182,32.3145
2020-01,46.4667,35.5516
2020-02,30.4136,34.7733
2020-03,20.9595,23.2161
2020-04,19.3868,2.6957
2020-05,38.9688,17.923
2020-06,38.6685,27.1545
2020-07,55.0977,29.2791
2020-08,47.7823,35.3897
2020-09,53.5269,45.4969
2020-10,55.3385,38.8421
2020-11,31.1398,33.8054
2020-12,38.4009,49.4413
2021-01,40.7186,52.4925
2021-02,46.4513,52.5474
2021-03,38.6527,57.1165
2021-04,51.4912,62.2404
2021-05,44.9219,68.0147
2021-06,43.7598,67.9506
2021-07,51.252,71.7835
2021-08,47.2186,73.9065
2021-09,36.556,78.108
2021-10,30.2807,70.559
2021-11,27.3398,79.7147
2021-12,22.5782,74.8714
2022-01,36.9787,83.8439
2022-02,38.7213,74.2485
2022-03,37.2721,64.4857
2022-04,47.6496,72.8765
2022-05,41.0163,56.3809
2022-06,53.8384,54.7432
2022-07,48.3898,43.9638
2022-08,47.8301,54.5402
2022-09,48.3099,48.4061
2022-10,35.6174,33.808
2022-11,63.1658,43.6413
2022-12,71.8472,51.6237
2023-01,57.0563,42.3283
2023-02,46.7201,52.4008
2023-03,41.3765,45.8599
2023-04,44.2153,52.4428
2023-05,42.0175,54.1535
2023-06,28.2134,55.8684
2023-07,32.5235,63.7729
2023-08,38.1774,67.9151
2023-09,53.6194,65.3142
2023-10,60.2243,56.4671
2023-11,54.8799,54.158
2023-12,62.4291,66.8181
2024-01,71.0217,72.7134
2024-02,91.8924,77.0248
2024-03,66.2549,84.7703
2024-04,67.1841,89.0895
2024-05,63.1756,80.3005
2024-06,80.558,89.1407
2024-07,82.7988,96.817
2024-08,96.3423,94.9948
2024-09,98.3561,101.4737
2024-10,89.4253,104.2286
2024-11,87.9331,104.0979
2024-12,67.1227,114.1559
2025-01,53.4143,108.1307
2025-02,67.4623,112.719
2025-03,85.6478,109.0154
2025-04,84.1857,97.097
2025-05,69.6034,95.2965
2025-06,75.8584,105.2137
2025-07,76.6104,114.7559
2025-08,79.7951,115.142
2025-09,77.8816,122.2543
2025-10,83.8568,129.8729
2025-11,83.1024,133.4127
2025-12,110.641,131.7276
2026-01,103.3881,131.8756
2026-02,121.2545,120.852
