Date,rate_DTE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.8573,-0.6039
2016-03,7.1664,5.2168
2016-04,3.4176,3.9893
2016-05,4.1532,4.6886
2016-06,13.7015,4.1237
2016-07,9.8587,7.1795
2016-08,3.368,6.3603
2016-09,4.7257,5.6281
2016-10,6.8826,3.196
2016-11,3.1518,6.7601
2016-12,9.6701,8.3626
2017-01,9.813,10.2536
2017-02,12.0905,13.6522
2017-03,12.9252,12.7005
2017-04,14.7749,12.9818
2017-05,19.2086,13.693
2017-06,14.8725,13.5288
2017-07,15.3936,15.0481
2017-08,20.168,14.5515
2017-09,14.7614,16.1037
2017-10,17.3213,17.9557
2017-11,21.8964,20.6805
2017-12,15.4822,21.3029
2018-01,11.4961,28.0338
2018-02,5.9604,22.1441
2018-03,10.4249,18.3021
2018-04,11.0837,18.0902
2018-05,7.551,20.2208
2018-06,9.4892,20.3415
2018-07,14.2596,23.8746
2018-08,16.511,27.0072
2018-09,15.3313,27.7347
2018-10,18.2579,18.1437
2018-11,25.3526,19.7418
2018-12,15.7548,8.5778
2019-01,23.4978,17.1263
2019-02,28.8503,20.3748
2019-03,30.2283,22.0514
2019-04,30.4021,26.2651
2019-05,29.358,17.5943
2019-06,31.9789,25.308
2019-07,30.3436,26.4355
2019-08,32.1289,23.7232
2019-09,36.4461,26.1617
2019-10,29.7847,28.2707
2019-11,26.6585,32.1761
2019-12,32.0424,35.3247
2020-01,34.8028,35.2749
2020-02,12.823,23.5454
2020-03,-3.3504,7.7105
2020-04,5.8896,21.425
2020-05,9.7244,26.7132
2020-06,10.4543,28.4357
2020-07,18.4786,35.3124
2020-08,21.236,43.9511
2020-09,18.1605,37.6938
2020-10,26.4087,33.4637
2020-11,28.3007,47.2943
2020-12,24.3969,51.8455
2021-01,21.6667,50.305
2021-02,20.2196,53.4604
2021-03,36.6094,59.4101
2021-04,42.9717,66.6882
2021-05,40.1547,66.6274
2021-06,32.0891,69.2184
2021-07,39.8688,72.1455
2021-08,42.7832,75.992
2021-09,32.8697,66.6118
2021-10,34.2776,77.1553
2021-11,27.8292,74.6519
2021-12,41.5868,81.397
2022-01,42.0008,70.7122
2022-02,42.751,64.6001
2022-03,55.5677,69.8532
2022-04,53.3298,54.0273
2022-05,54.5313,53.6333
2022-06,47.8826,40.2902
2022-07,51.2794,52.5094
2022-08,50.6147,45.531
2022-09,33.3318,31.5965
2022-10,29.4506,41.7445
2022-11,33.5365,48.9584
2022-12,35.9288,39.838
2023-01,34.5985,48.5632
2023-02,26.4707,44.2258
2023-03,27.0619,48.9578
2023-04,30.0422,50.6836
2023-05,24.1126,50.7741
2023-06,27.6953,59.884
2023-07,32.2754,64.3798
2023-08,19.3004,60.953
2023-09,15.4569,52.6248
2023-10,11.9855,48.7132
2023-11,20.8045,61.6976
2023-12,28.8154,68.3392
2024-01,23.2164,71.0275
2024-02,26.3143,79.0476
2024-03,31.6092,83.99
2024-04,29.1497,75.7344
2024-05,36.067,83.6813
2024-06,30.4412,89.2836
2024-07,41.3067,90.5002
2024-08,46.0889,94.0822
2024-09,51.2416,98.2932
2024-10,45.7778,95.412
2024-11,47.1488,105.8418
2024-12,42.0891,99.9875
2025-01,41.0753,105.351
2025-02,56.8363,101.7087
2025-03,62.8633,89.4719
2025-04,60.7451,87.0451
2025-05,59.7439,97.8575
2025-06,55.5551,107.0685
2025-07,61.9726,110.7404
2025-08,59.3255,114.0337
2025-09,66.1682,121.6081
2025-10,58.6624,125.7153
2025-11,59.8595,125.0226
2025-12,51.3247,124.0393
2026-01,57.5997,127.2713
2026-02,49.3461,125.3185
