Date,rate_XLM-USD_5D,rate_VOO_20D
2017-11,0.0,0.0
2017-12,551.665,3.7241
2018-01,587.5013,9.5581
2018-02,237.2913,3.7524
2018-03,79.322,-0.0356
2018-04,241.0469,-0.3034
2018-05,113.8769,1.8808
2018-06,30.394,2.0529
2018-07,82.1034,5.648
2018-08,38.9777,8.8616
2018-09,57.9474,8.7465
2018-10,31.8565,-0.7299
2018-11,-8.0994,0.9314
2018-12,-34.4376,-10.1272
2019-01,-50.4009,-1.8067
2019-02,-45.4942,1.5158
2019-03,-28.0606,3.2716
2019-04,-31.8426,7.573
2019-05,-6.7449,-1.0016
2019-06,-26.8986,6.7728
2019-07,-40.1837,7.9722
2019-08,-53.7189,5.3144
2019-09,-52.5014,7.2137
2019-10,-47.0925,9.4029
2019-11,-50.0953,13.3973
2019-12,-60.5954,16.6203
2020-01,-43.3733,15.8436
2020-02,-45.631,4.3228
2020-03,-60.1487,-11.3504
2020-04,-30.6902,2.2903
2020-05,-26.9156,7.6491
2020-06,-29.9867,9.4484
2020-07,2.3658,16.4043
2020-08,2.4194,25.1495
2020-09,-21.3237,18.9858
2020-10,-17.6519,14.8351
2020-11,115.2657,28.7815
2020-12,35.0071,33.4384
2021-01,219.0459,31.0371
2021-02,316.9173,34.3171
2021-03,313.3246,41.4766
2021-04,422.8572,48.9017
2021-05,290.8252,48.9685
2021-06,169.4913,51.7075
2021-07,168.3871,54.7824
2021-08,215.8252,58.7905
2021-09,154.6,49.4496
2021-10,235.9331,60.1907
2021-11,198.5789,57.7666
2021-12,134.3993,64.6759
2022-01,73.1843,54.002
2022-02,69.2263,47.8898
2022-03,94.6579,53.271
2022-04,43.134,37.2941
2022-05,26.1721,36.965
2022-06,-6.1463,23.4719
2022-07,-1.1017,35.9229
2022-08,-12.428,28.8875
2022-09,-3.6913,14.7756
2022-10,-6.2587,25.1541
2022-11,-24.329,32.5146
2022-12,-39.6798,23.2595
2023-01,-22.3249,31.6546
2023-02,-25.1893,27.309
2023-03,-3.211,33.3304
2023-04,-18.1598,35.1402
2023-05,-19.6507,35.2714
2023-06,-3.5721,44.6198
2023-07,31.0786,49.2659
2023-08,-0.1,45.8035
2023-09,-2.3907,37.3353
2023-10,5.3847,33.3604
2023-11,2.725,46.6707
2023-12,11.902,53.5197
2024-01,-4.7906,55.5293
2024-02,5.708,63.7894
2024-03,22.1711,70.0999
2024-04,-6.9014,61.6769
2024-05,-8.0198,69.9052
2024-06,-21.1286,77.1132
2024-07,-12.5836,78.4301
2024-08,-19.4406,82.1998
2024-09,-13.9703,86.8475
2024-10,-19.0564,83.9368
2024-11,359.6631,94.8516
2024-12,188.1955,88.853
2025-01,256.7832,93.4313
2025-02,144.7851,89.7438
2025-03,124.0862,77.1556
2025-04,128.7797,74.7076
2025-05,121.5007,85.9721
2025-06,98.5183,95.5942
2025-07,232.8041,99.4781
2025-08,190.3053,102.9676
2025-09,197.5822,109.7481
2025-10,147.4041,114.0929
2025-11,100.5673,113.4807
2025-12,61.0491,112.5623
2026-01,44.5664,114.8103
2026-02,26.9374,111.8541
2026-03,33.0956,98.6815
2026-04,25.693,120.458
2026-05,105.2456,131.9091
2026-06,48.7432,127.5949
2026-07,35.1545,126.3854
2026-08,38.9157,131.7335
2026-09,34.8655,128.9397
